Analista,,,,,,,,,
Fecha de inicio,17/04/2023 09:42 a. m.  GMT: 17/04/2023 03:42 p. m.,,,,,,,,
Hoja de trabajo,SA000980-REE_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.0021,,mg/L,0.3,0.119,0.1194,0.1191,0.1186
,BLANCO,0.0015,,mg/L,85.7,0.0002,0.0001,0.0001,0.0004
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0001,0.0001,-0.0001
,SA000968-003,9.1279,,mg/L,0.7,0.0441,0.0438,0.0443,0.0443
,SA000968-004,26.3924,,mg/L,0.4,0.1257,0.1261,0.1251,0.1258
,SA000968-005,57.3679,,mg/L,1,0.2739,0.2711,0.2742,0.2764
,SA000968-006,0.1046,,mg/L,39.1,0.0005,0.0007,0.0004,0.0003
,SA000968-007,44.9378,,mg/L,0.4,0.2122,0.2127,0.2111,0.2128
,PATRON,1.0357,,mg/L,0.1,0.123,0.1229,0.1231,0.1229
,SA000968-008,73.7879,,mg/L,0.4,0.3287,0.3278,0.3282,0.3302
,SA000968-009,70.1764,,mg/L,0.2,0.317,0.3167,0.3166,0.3176
,SA000968-010,62.4135,,mg/L,0.4,0.2931,0.2922,0.2943,0.2927
,SA000968-011,72.9879,,mg/L,0.3,0.3332,0.334,0.3324,0.3331
,SA000968-012,114.722,,mg/L,0.4,0.056,0.0557,0.056,0.0561
,PATRON,1.0111,,mg/L,0.5,0.1201,0.1194,0.1201,0.1207
,BLANCO,0.0015,,mg/L,60.4,0.0002,0.0003,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0,-0.0002,-0.0002
,SA000970-022,10.1046,,mg/L,0.6,0.0493,0.0491,0.0496,0.0491
,SA000970-023,6.7872,,mg/L,1.4,0.033,0.0329,0.0325,0.0335
,SA000970-024,8.4155,,mg/L,0.2,0.0402,0.0402,0.0401,0.0402
,SA000970-025,15.5257,,mg/L,0.6,0.0756,0.0752,0.0755,0.0761
,SA000970-026,4.4359,,mg/L,0.3,0.0216,0.0215,0.0217,0.0215
,PATRON,1.0174,,mg/L,0.3,0.1208,0.1205,0.1208,0.1212
,SA000970-027,5.9545,,mg/L,0.3,0.0286,0.0286,0.0286,0.0287
,SA000970-028,5.9908,,mg/L,0.8,0.0295,0.0298,0.0295,0.0294
,SA000973-001,34.8187,,mg/L,0.8,0.1711,0.1702,0.1727,0.1705
,SA000973-003,37.5265,,mg/L,0.3,0.1775,0.1773,0.1771,0.1781
,SA000973-005,37.9011,,mg/L,0.8,0.1793,0.1809,0.1779,0.1791
,PATRON,0.9956,,mg/L,0.1,0.12,0.12,0.1201,0.1198
,BLANCO,-0.0014,,mg/L,>100,-0.0002,-0.0001,0,-0.0004
,BLANCO REACTIVO,0,,mg/L,14.8,-0.0006,-0.0006,-0.0005,-0.0006
,SA000973-007,0.1365,,mg/L,71.3,0.0007,0.0012,0.0005,0.0003
,SA000973-008,28.8768,,mg/L,0.2,0.1446,0.1449,0.1444,0.1445
,PATRON,1.0097,,mg/L,0.5,0.1217,0.121,0.1221,0.122
,BLANCO,-0.002,,mg/L,20,-0.0002,-0.0002,-0.0002,-0.0003
,BLANCO REACTIVO,0,,mg/L,11.7,-0.001,-0.001,-0.0008,-0.0011
