PATRON,4.8559,,mg/L,0.4,0.0507,1,1,1,0.0508,0.0508,0.0504
BLANCO,-0.0573,,mg/L,1.1,-0.0006,1,1,1,-0.0006,-0.0006,-0.0006
BLANCO REACTIVO,0,,mg/L,19.9,-0.0013,1,1,1,-0.0016,-0.0013,-0.001
FASE 1,0.0168,,mg/L,95,0.0002,1,1,1,0,0.0001,0.0004
FASE 2,0.0122,,mg/L,10.4,0.0001,1,1,1,0.0001,0.0001,0.0001
FASE 3,0.0124,,mg/L,>100,0.0001,1,1,1,-0.0001,0.0002,0.0003
VSP NORTE,0.0049,,mg/L,>100,0.0001,1,1,1,0.0001,0.0003,-0.0002
CELDA 8.1,0.0204,,mg/L,73.2,0.0002,1,1,1,0.0004,0.0001,0.0002
CELDA 8.2,0.012,,mg/L,43.5,0.0001,1,1,1,0.0001,0.0001,0.0002
CELDA 8.3,0.0761,,mg/L,25.9,0.0008,1,1,1,0.0007,0.001,0.0007
PATRON,4.8694,,mg/L,0.5,0.0508,1,1,1,0.0505,0.051,0.0509
BLANCO,-0.0095,,mg/L,>100,-0.0001,1,1,1,0,-0.0002,0
BLANCO REACTIVO,0,,mg/L,4.1,-0.0018,1,1,1,-0.0018,-0.0019,-0.0017
