Analista,NR,,,,,,,,
Fecha de inicio,10:26 a. m. 12/01/2026  GMT: 04:26 p. m. 12/01/2026,,,,,,,,
Hoja de trabajo,SA007635,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.4996,,mg/L,1,0.9,0.0191,0.002,
Au,BLANCO,-0.0091,,mg/L,1,>100,-0.0003,0.0006,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0003,0.0005,
Au,SA007635-001,0.0108,,mg/L,1,17.9,0.0018,0.0014,30.02
Au,SA007635-002,0.0122,,mg/L,1,8.7,0.002,0.0012,30
Au,SA007635-003,0.0118,,mg/L,1,15.9,0.0019,0.001,30.04
Au,SA007635-004,0.0056,,mg/L,1,39.1,0.0009,0.0011,30.01
Au,SA007635-005,0.0374,,mg/L,1,6.3,0.0061,0.0012,3
Au,PATRON,0.4871,,mg/L,1,1.7,0.0186,0.0019,
Au,SA007635-006,0.1038,,mg/L,1,1.4,0.017,0.0012,3
Au,SA007635-007,0.0785,,mg/L,1,1.3,0.0128,0.0012,30
Au,SA007635-008,0.0752,,mg/L,1,0.6,0.0123,0.0015,30.02
Au,SA007635-009,0.0694,,mg/L,1,1.8,0.0113,0.0014,30
Au,SA007635-010,0.101,,mg/L,1,19.8,0.0162,0.0012,30
Au,PATRON,0.4808,,mg/L,1,2.5,0.0184,0.0024,
Au,BLANCO,-0.0047,,mg/L,1,>100,-0.0002,0.0015,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0004,0.001,
Au,SA007635-011,0.0289,,mg/L,1,1.9,0.0047,0.0019,30.01
Au,SA007635-012,0.164,,mg/L,1,1,0.027,0.0017,30.02
Au,SA007635-013,0.2338,,mg/L,1,0.8,0.0387,0.0019,30
Au,SA007635-014,0.1189,,mg/L,1,1,0.0195,0.0018,30
Au,SA007635-015,0.0789,,mg/L,1,2.5,0.0129,0.0019,30
Au,PATRON,0.4869,,mg/L,1,2.4,0.0186,0.0032,
Au,SA007635-016,0.0309,,mg/L,1,4.1,0.005,0.0019,30.01
Au,SA007635-017,0.0514,,mg/L,1,2.6,0.0084,0.0019,30
Au,SA007635-018,0.235,,mg/L,1,1.5,0.0389,0.0018,30.02
Au,SA007635-019,0.0366,,mg/L,1,4.7,0.0059,0.0019,30
Au,SA007635-020,0.0255,,mg/L,1,6.9,0.0041,0.0021,30.02
Au,PATRON,0.4887,,mg/L,1,0.8,0.0187,0.0032,
Au,BLANCO,0.0059,,mg/L,1,56.7,0.0002,0.0009,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,0.0005,
Au,SA007635-021,0.0761,,mg/L,1,0.9,0.0124,0.001,30
Au,SA007635-022,0.0069,,mg/L,1,23.8,0.0011,0.0009,3
Au,SA007635-023,0.0407,,mg/L,1,4.1,0.0066,0.0009,30.01
Au,SA007635-024,0.0045,,mg/L,1,21.5,0.0007,0.001,30.02
Au,SA007635-025,1.1281,,mg/L,1,0.5,0.1941,0.0011,30
Au,PATRON,0.4822,,mg/L,1,1.6,0.0184,0.0022,
Au,SA007635-026,0.0348,,mg/L,1,3.7,0.0057,0.0011,30.02
Au,SA007635-027,0.0318,,mg/L,1,1.6,0.0052,0.001,30.02
Au,SA007635-028,0.0288,,mg/L,1,3.8,0.0047,0.0009,30
Au,SA007635-029,0.0585,,mg/L,1,3.1,0.0095,0.001,30.01
Au,SA007635-030,0.0086,,mg/L,1,9.9,0.0014,0.0011,30
Au,PATRON,0.4833,,mg/L,1,2.9,0.0185,0.0022,
Au,BLANCO,-0.0078,,mg/L,1,37.3,-0.0003,-0.0001,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,0.0006,
Au,SA007635-031,0.0773,,mg/L,1,0.8,0.0124,0.0017,30
Au,SA007635-032,0.1186,,mg/L,1,2.9,0.0191,0.0012,30.02
Au,PATRON,0.5128,,mg/L,1,0.2,0.0192,0.0033,
Au,BLANCO,-0.008,,mg/L,1,72.6,-0.0003,0.0004,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0003,0.0007,
