Analista,JGS,,,,,,,,
Fecha de inicio,09/03/2023 10:18 p. m.  GMT: 10/03/2023 04:18 a. m.,,,,,,,,
Hoja de trabajo,SA000608-RE_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.99,,mg/L,2.4,0.12,0.1231,0.1195,0.1175
,BLANCO,-0.0009,,mg/L,26.3,-0.0001,-0.0001,-0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,59,-0.0001,-0.0001,0,-0.0001
,SA000572-001,1.4033,,mg/L,0.8,0.0069,0.0068,0.0068,0.0069
,SA000572-003,0.2144,,mg/L,25.9,0.0011,0.0008,0.0011,0.0013
,SA000572-004,0.8893,,mg/L,0.2,0.0045,0.0044,0.0045,0.0045
,SA000572-006,1.6576,,mg/L,0.7,0.0082,0.0082,0.0082,0.0083
,SA000572-007,1.6556,,mg/L,1.7,0.0084,0.0084,0.0086,0.0084
,PATRON,0.9882,,mg/L,1.8,0.1198,0.1195,0.1221,0.1178
,SA000573-017,2.0268,,mg/L,1.2,0.0104,0.0102,0.0104,0.0104
,SA000573-018,1.5066,,mg/L,3.2,0.0076,0.0074,0.0078,0.0078
,SA000573-019,0.9362,,mg/L,2.8,0.0047,0.0046,0.0046,0.0048
,SA000573-020,0.27,,mg/L,13.5,0.0014,0.0012,0.0013,0.0016
,SA000573-021,1.056,,mg/L,2,0.0053,0.0052,0.0053,0.0054
,PATRON,1.0056,,mg/L,1.6,0.1219,0.1198,0.1222,0.1237
,BLANCO,0.0056,,mg/L,22.7,0.0007,0.0008,0.0007,0.0005
,BLANCO REACTIVO,0,,mg/L,39.8,0.0006,0.0008,0.0007,0.0003
,SA000573-022,0.6949,,mg/L,8.2,0.0034,0.0037,0.0035,0.0031
,SA000573-023,1.2388,,mg/L,1,0.0063,0.0063,0.0063,0.0062
,SA000575-025,0.9895,,mg/L,0.5,0.0049,0.0048,0.0049,0.0049
,SA000575-026,2.3488,,mg/L,1.6,0.0117,0.0115,0.0116,0.0119
,SA000575-028,4.2746,,mg/L,0.4,0.021,0.021,0.0209,0.0211
,PATRON,1.0112,,mg/L,2.6,0.1167,0.1146,0.1155,0.1202
,SA000575-029,15.2432,,mg/L,1,0.0742,0.0749,0.0735,0.0742
,SA000575-030,15.7115,,mg/L,0.7,0.075,0.0751,0.0745,0.0755
,SA000575-031,3.9275,,mg/L,3.8,0.0187,0.0179,0.0193,0.0188
,SA000575-032,7.3993,,mg/L,1.8,0.035,0.0343,0.0355,0.0353
,PATRON,1.0061,,mg/L,2.4,0.1162,0.1147,0.1144,0.1194
,BLANCO,-0.0006,,mg/L,>100,-0.0001,0.0006,-0.0006,-0.0002
,BLANCO REACTIVO,0,,mg/L,0.4,-0.0004,-0.0004,-0.0004,-0.0004
