Analista,JS,,,,,,,,
Fecha de inicio,04:58 p. m. 23/12/2025  GMT: 10:58 p. m. 23/12/2025,,,,,,,,
Hoja de trabajo,SA007361,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.496,,mg/L,1,1.3,0.0188,0.0012,
Au,BLANCO,0.0073,,mg/L,1,>100,0.0003,-0.0007,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,0.0015,
Au,SA007361-001,0.0671,,mg/L,1,3.5,0.0109,0,30.01
Au,SA007361-002,0.1044,,mg/L,1,1.1,0.017,0.0002,30.04
Au,SA007361-003,0.0676,,mg/L,1,2.8,0.0109,0.0001,30
Au,SA007361-004,0.0603,,mg/L,1,3.5,0.0097,0.0002,30.01
Au,SA007361-005,0.1471,,mg/L,1,1.4,0.024,0.0006,30.03
Au,PATRON,0.5023,,mg/L,1,0.3,0.019,0.0029,
Au,SA007361-006,0.0088,,mg/L,1,22.6,0.0014,0.0017,30.02
Au,SA007361-007,0.0035,,mg/L,1,51.4,0.0006,0.0016,30.03
Au,SA007361-008,0.0869,,mg/L,1,2.1,0.0141,0.0016,30
Au,SA007361-009,0.0849,,mg/L,1,1.3,0.0138,0.0017,30.02
Au,SA007361-010,0.5908,,mg/L,1,0.4,0.0989,0.0012,30
Au,PATRON,0.4982,,mg/L,1,0.9,0.0189,0.0038,
Au,BLANCO,0.0031,,mg/L,1,>100,0.0001,0.0018,
Au,BLANCO REACTIVO,0,,mg/L,1,47.7,0.0003,0.0018,
Au,SA007361-011,0.3573,,mg/L,1,0.2,0.0591,0.0019,30.01
Au,SA007361-012,0.1314,,mg/L,1,0.9,0.0214,0.0013,30.02
Au,SA007361-013,0.4135,,mg/L,1,1.2,0.0687,0.0013,30.01
Au,SA007361-014,0.1156,,mg/L,1,1.2,0.0188,0.0013,30.01
Au,SA007361-015,0.065,,mg/L,1,2.6,0.0105,0.0017,30.03
Au,PATRON,0.4932,,mg/L,1,2,0.0187,0.0029,
Au,SA007361-016,0.2024,,mg/L,1,1.1,0.0331,0.0016,30.01
Au,SA007361-017,0.2507,,mg/L,1,1.1,0.0412,0.0018,30.02
Au,SA007361-018,0.2526,,mg/L,1,0.8,0.0415,0.0011,30.02
Au,SA007361-019,-0.0058,,mg/L,1,20.7,-0.0009,0.0019,3
Au,SA007361-020,0.1512,,mg/L,1,1,0.0247,0.0029,30.02
Au,PATRON,0.5011,,mg/L,1,0.8,0.019,0.0054,
Au,BLANCO,0.0074,,mg/L,1,13.2,0.0003,0.0036,
Au,BLANCO REACTIVO,0,,mg/L,1,26.4,-0.001,0.0026,
Au,SA007361-021,0.2478,,mg/L,1,0.4,0.0407,0.0042,30.03
Au,SA007361-022,0.4493,,mg/L,1,0.4,0.0748,0.0048,30.02
Au,PATRON,0.5111,,mg/L,1,0.9,0.0194,0.0048,
Au,BLANCO,0.0132,,mg/L,1,54.8,0.0005,0.0027,
Au,BLANCO REACTIVO,0,,mg/L,1,56.2,-0.0006,0.0026,
