PATRON,1.0175,,mg/L,0.1,0.1267,0.0006,0.1268,0.1266,0.1269
BLANCO,0.0049,,mg/L,17.4,0.0006,0,0.0006,0.0006,0.0008
BLANCO REACTIVO,0,,mg/L,48,0.0003,0.0003,0.0004,0.0004,0.0001
H KCA PO,-0.0098,,mg/L,26.7,-0.0013,0.0018,-0.0016,-0.0013,-0.0009
H KCA PO,-0.0115,,mg/L,16.8,-0.0015,0.002,-0.0014,-0.0018,-0.0013
H KCA PO,-0.0095,,mg/L,31.3,-0.0012,0.0015,-0.0008,-0.0016,-0.0013
PATRON,1.0005,,mg/L,0.2,0.1247,0.0009,0.1251,0.1245,0.1246
H KCA PO,-0.0096,,mg/L,22.4,-0.0012,0.0015,-0.0014,-0.0014,-0.0009
H KCA PO,-0.0089,,mg/L,37.6,-0.0011,0.0012,-0.0012,-0.0016,-0.0007
PATRON,0.9899,,mg/L,0.5,0.1235,0.0009,0.1227,0.1237,0.124
BLANCO,-0.004,,mg/L,81.4,-0.0005,-0.0001,-0.001,-0.0003,-0.0003
BLANCO REACTIVO,0,,mg/L,68.3,-0.0005,0.0004,-0.0005,-0.0001,-0.0008
M1 PO,-0.0077,,mg/L,11.1,-0.001,0.0023,-0.0011,-0.001,-0.0009
M2 PO,-0.0061,,mg/L,66,-0.0008,0.0023,-0.0009,-0.0002,-0.0012
M3 PO,-0.0077,,mg/L,32,-0.001,0.0023,-0.0007,-0.0013,-0.0009
M4 PO,-0.0074,,mg/L,37.1,-0.001,0.0022,-0.0013,-0.001,-0.0006
PATRON,0.997,,mg/L,0.3,0.1243,0.0013,0.1242,0.124,0.1247
P KCA PO,-0.0079,,mg/L,20.5,-0.001,0.0022,-0.0008,-0.0012,-0.001
PATRON,0.9995,,mg/L,0.3,0.1246,0.0011,0.1249,0.1242,0.1247
BLANCO,-0.0001,,mg/L,>100,0,0.0004,0.0002,0.0001,-0.0003
BLANCO REACTIVO,0,,mg/L,84.8,-0.0005,-0.0001,-0.0009,-0.0001,-0.0003
CELDA 8,-0.0056,,mg/L,25.7,-0.0007,0.0022,-0.0007,-0.0006,-0.0009
PATRON,1.0191,,mg/L,0.1,0.1269,0.0011,0.1271,0.1269,0.1268
BLANCO,0.0028,,mg/L,88.6,0.0004,-0.0001,0.0006,0.0004,0
BLANCO REACTIVO,0,,mg/L,27.7,-0.0003,-0.0003,-0.0003,-0.0002,-0.0004
H KCA PE,-0.0102,,mg/L,33.4,-0.0013,0.0024,-0.0008,-0.0015,-0.0016
H KCA PE,-0.0109,,mg/L,5.5,-0.0014,0.0024,-0.0014,-0.0015,-0.0013
H KCA PE,-0.0069,,mg/L,41,-0.0009,0.002,-0.0008,-0.0013,-0.0006
PATRON,1.0048,,mg/L,0.3,0.1252,0.0006,0.125,0.1256,0.1251
H KCA PE,-0.0112,,mg/L,9.6,-0.0014,0.0024,-0.0016,-0.0014,-0.0013
H KCA PE,-0.01,,mg/L,25.4,-0.0013,0.0023,-0.0012,-0.0011,-0.0017
PATRON,1.0009,,mg/L,0.4,0.1248,0.0011,0.1254,0.1247,0.1242
BLANCO,-0.0008,,mg/L,>100,-0.0001,-0.0001,0.0001,-0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,48.6,-0.0005,-0.0004,-0.0003,-0.0004,-0.0007
M1 PE,-0.0102,,mg/L,14.6,-0.0013,0.0024,-0.0011,-0.0013,-0.0015
M2 PE,-0.0093,,mg/L,12.7,-0.0012,0.0022,-0.001,-0.0013,-0.0013
M3 PE,-0.0113,,mg/L,13.8,-0.0015,0.0023,-0.0017,-0.0013,-0.0015
M4 PE,-0.0106,,mg/L,19.7,-0.0014,0.0023,-0.0011,-0.0014,-0.0016
PATRON,1.0072,,mg/L,1,0.1255,0.0006,0.1263,0.1262,0.1241
P KCA PE,-0.0097,,mg/L,24.5,-0.0013,0.0021,-0.0014,-0.0014,-0.0009
PATRON,0.9949,,mg/L,0.6,0.124,0.0007,0.1236,0.1249,0.1236
BLANCO,-0.0021,,mg/L,>100,-0.0003,-0.0002,-0.0007,-0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,5.6,-0.0009,-0.0003,-0.001,-0.0009,-0.0009
ELY 1,-0.0088,,mg/L,21.9,-0.0011,0.0029,-0.001,-0.0014,-0.001
ELY 2,-0.0068,,mg/L,8.4,-0.0009,0.0025,-0.0008,-0.0009,-0.001
ELY 3,-0.0039,,mg/L,11.9,-0.0005,0.0024,-0.0005,-0.0006,-0.0005
ELY 4,-0.0069,,mg/L,40.8,-0.0009,0.0024,-0.0005,-0.0012,-0.0009
PATRON,0.9999,,mg/L,0.1,0.1246,0.0009,0.1245,0.1246,0.1248
ELY P,-0.0055,,mg/L,42.1,-0.0007,0.0023,-0.0009,-0.0004,-0.0009
PATRON,0.9937,,mg/L,0.6,0.1239,0.0007,0.1238,0.1246,0.1233
BLANCO,0.0015,,mg/L,98.1,0.0002,-0.0002,0.0003,0,0.0003
BLANCO REACTIVO,0,,mg/L,33.1,-0.0011,-0.0007,-0.0008,-0.0015,-0.0009
