Analista,GGP,,,,,,,,,,,,
Fecha de inicio,17/09/2024 11:47 a. m.  GMT: 17/09/2024 05:47 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005550_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5065,,mg/L,0.5,0.0161,0.0016,,,,0.0162,0.0161,0.0162
,BLANCO,-0.0093,,mg/L,93.5,-0.0003,0.0004,,,,0,-0.0004,-0.0005
,BLANCO REACTIVO,0,,mg/L,96.9,-0.0003,0.0004,,,,-0.0006,-0.0001,-0.0001
,SA005550-001,2.6295,,mg/L,0.1,0.2368,0.0014,20.01,,,0.2368,0.2365,0.2371
,SA005550-002,1.1051,,mg/L,0.4,0.1011,0.0012,20.01,,,0.1012,0.1006,0.1014
,SA005550-003,1.3123,,mg/L,0.4,0.1201,0.001,20.03,,,0.1196,0.1205,0.12
,SA005550-004,1.3102,,mg/L,0.5,0.1198,0.0012,20.03,,,0.1194,0.1195,0.1205
,SA005550-005,1.3219,,mg/L,0.6,0.121,0.0009,20.04,,,0.1204,0.1208,0.1218
,PATRON,0.5159,,mg/L,1.5,0.0164,0.0015,,,,0.0167,0.0162,0.0165
,SA005550-006,0.0035,,mg/L,12.4,0.0003,0.001,2,,,0.0003,0.0003,0.0004
,SA005550-007,0.0083,,mg/L,25.5,0.0008,0.0008,20,,,0.0006,0.0007,0.001
,SA005550-008,0.6369,,mg/L,0.1,0.0582,0.0009,20.02,,,0.0582,0.0583,0.0582
,PATRON,0.5097,,mg/L,1.6,0.0162,0.0016,,,,0.0165,0.0162,0.016
,BLANCO,-0.003,,mg/L,>100,-0.0001,0.0007,,,,-0.0003,0.0002,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0002,,,,0.0001,-0.0001,-0.0002
