PATRON,5.0554,,mg/L,2.6,0.0526,1,1,1,0.0534,0.0533,0.051
BLANCO,-0.0328,,mg/L,34.8,-0.0004,1,1,1,-0.0005,-0.0004,-0.0002
BLANCO REACTIVO,0,,mg/L,29.9,-0.0007,1,1,1,-0.0005,-0.0009,-0.0008
FASE 1,0.0247,,mg/L,90.1,0.0003,1,1,1,0,0.0003,0.0005
FASE 2,0.0193,,mg/L,53,0.0002,1,1,1,0.0002,0.0003,0.0001
FASE 3,0.0363,,mg/L,20,0.0004,1,1,1,0.0005,0.0004,0.0003
VSP NORTE,0.0109,,mg/L,84.3,0.0001,1,1,1,0.0001,0.0002,0
CELDA 8.1,0.0106,,mg/L,>100,0.0001,1,1,1,0.0002,-0.0001,0.0002
CELDA 8.2,0.0094,,mg/L,99.5,0.0001,1,1,1,0.0001,0,0.0002
CELDA 8.3,0.0488,,mg/L,5.2,0.0005,1,1,1,0.0005,0.0006,0.0005
