Analista,,,,,,,,,,
Fecha de inicio,25/02/2023 03:49 p. m.  GMT: 25/02/2023 09:49 p. m.,,,,,,,,,
Hoja de trabajo,SA000483_3-,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.4963,,mg/L,2.3,0.016,-0.0015,0.0164,0.0159,0.0156
,BLANCO,-0.0139,,mg/L,58,-0.0004,-0.001,-0.0007,-0.0002,-0.0005
,BLANCO REACTIVO,0,,mg/L,21,0.0008,-0.0005,0.0009,0.001,0.0007
,SA000483-001,0.1486,,mg/L,2.2,0.0136,-0.0042,0.014,0.0135,0.0134
,SA000483-002,0.0925,,mg/L,1.6,0.0084,-0.0022,0.0083,0.0085,0.0086
,SA000483-003,0.1288,,mg/L,2.5,0.0118,-0.0018,0.0119,0.012,0.0115
,SA000483-004,0.1601,,mg/L,2.6,0.0147,-0.0045,0.0145,0.0151,0.0145
,SA000483-005,0.1175,,mg/L,2.8,0.0108,-0.0022,0.0108,0.011,0.0104
,PATRON,0.4808,,mg/L,2.6,0.0155,-0.0023,0.0159,0.0154,0.0151
,SA000483-006,0.1526,,mg/L,0.5,0.014,-0.0045,0.0141,0.014,0.014
,SA000483-007,0.2432,,mg/L,1.8,0.0225,-0.0021,0.0223,0.023,0.0223
,SA000483-008,0.2145,,mg/L,1.1,0.0198,-0.0023,0.0196,0.02,0.0199
,SA000483-009,0.2259,,mg/L,1.3,0.0209,-0.0019,0.0211,0.021,0.0206
,SA000483-010,0.1809,,mg/L,1.1,0.0167,-0.0045,0.0168,0.0168,0.0164
,PATRON,0.4918,,mg/L,1.7,0.0158,-0.0026,0.0161,0.0156,0.0157
,BLANCO,-0.0019,,mg/L,>100,-0.0001,-0.0017,0.0001,0,-0.0003
,BLANCO REACTIVO,0,,mg/L,12.5,0.0009,-0.0008,0.0008,0.0008,0.001
,SA000483-011,0.1408,,mg/L,1.3,0.0129,-0.0021,0.0131,0.0129,0.0128
,SA000483-012,0.0375,,mg/L,9.1,0.0034,-0.002,0.003,0.0036,0.0036
,SA000483-013,0.1035,,mg/L,0.6,0.0095,-0.0045,0.0094,0.0094,0.0095
,SA000483-014,0.0977,,mg/L,1.3,0.0089,-0.0022,0.0091,0.0089,0.0088
,SA000483-015,0.2353,,mg/L,0.5,0.0218,-0.0022,0.0219,0.0217,0.0218
,PATRON,0.4952,,mg/L,1,0.0159,-0.0029,0.0161,0.0158,0.0159
,SA000483-016,0.1709,,mg/L,0.8,0.0157,-0.0023,0.0159,0.0157,0.0156
,SA000483-017,0.115,,mg/L,1.2,0.0105,-0.0047,0.0105,0.0107,0.0104
,SA000483-018,0.8194,,mg/L,0.4,0.0797,-0.0024,0.0794,0.0795,0.08
,SA000483-019,1.1896,,mg/L,0.2,0.1185,-0.0018,0.1185,0.1183,0.1187
,SA000483-020,0.0557,,mg/L,2.3,0.0051,-0.0022,0.005,0.005,0.0052
,PATRON,0.4894,,mg/L,2.6,0.0158,-0.0031,0.0162,0.0156,0.0155
,BLANCO,-0.0032,,mg/L,>100,-0.0001,-0.0019,-0.0001,0.0001,-0.0002
,BLANCO REACTIVO,0,,mg/L,18.9,0.0008,-0.0009,0.001,0.0007,0.0009
,SA000483-021,0.1609,,mg/L,0.5,0.0148,-0.005,0.0149,0.0147,0.0148
,SA000483-022,0.1609,,mg/L,0.5,0.0148,-0.0026,0.0148,0.0147,0.0149
,SA000483-023,0.0957,,mg/L,2.5,0.0087,-0.0027,0.0089,0.0085,0.0088
,SA000483-024,0.1443,,mg/L,1.1,0.0132,-0.0027,0.0131,0.0134,0.0132
,SA000483-025,0.1268,,mg/L,1.9,0.0116,-0.0024,0.0116,0.0118,0.0114
,PATRON,0.4988,,mg/L,2.3,0.0161,-0.0028,0.0164,0.0161,0.0157
,SA000483-026,0.0418,,mg/L,1.5,0.0038,-0.0026,0.0038,0.0038,0.0037
,SA000483-027,0.288,,mg/L,1,0.0268,-0.0025,0.0265,0.027,0.0268
,SA000483-028,0.2769,,mg/L,0.4,0.0258,-0.0023,0.0257,0.0257,0.0259
,SA000483-029,0.0322,,mg/L,10,0.0029,-0.0049,0.003,0.0026,0.0032
,SA000483-030,0.0073,,mg/L,37.5,0.0007,-0.0027,0.0009,0.0005,0.0006
,PATRON,0.5023,,mg/L,1.1,0.0162,-0.0028,0.0164,0.0161,0.016
,BLANCO,0.0052,,mg/L,27.7,0.0002,-0.002,0.0002,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,16.4,0.0012,-0.0012,0.0013,0.0009,0.0013
,SA000483-031,0.5639,,mg/L,1,0.0537,-0.0028,0.0531,0.0541,0.054
,SA000483-032,0.1953,,mg/L,2.9,0.018,-0.003,0.0186,0.018,0.0175
,PATRON,0.4896,,mg/L,1.2,0.0158,-0.0031,0.0157,0.016,0.0156
,BLANCO,-0.0085,,mg/L,33.6,-0.0003,-0.0022,-0.0002,-0.0003,-0.0004
,BLANCO REACTIVO,0,,mg/L,6.2,0.0012,-0.0013,0.0011,0.0012,0.0013
