PATRON,5.0215,,mg/L,0.4,0.0993,0.099,0.0992,0.0998
BLANCO,-0.0043,,mg/L,77.2,-0.0001,-0.0001,0,-0.0001
BLANCO REACTIVO,0,,mg/L,69.7,-0.0001,-0.0001,-0.0001,0
H,4.9707,,mg/L,0.2,0.0983,0.0986,0.0982,0.0983
C1,5.0049,,mg/L,0.5,0.099,0.0985,0.0994,0.099
C2,5.0242,,mg/L,0.6,0.0994,0.0999,0.0988,0.0994
PATRON,4.9612,,mg/L,0.6,0.0981,0.098,0.0988,0.0977
BLANCO,-0.0081,,mg/L,32.2,-0.0002,-0.0001,-0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,29.6,-0.0004,-0.0005,-0.0003,-0.0003
C3,4.9433,,mg/L,0.3,0.0978,0.0977,0.0976,0.0981
C4,4.9916,,mg/L,0.3,0.0987,0.0985,0.0986,0.0991
T,4.9206,,mg/L,0.4,0.0974,0.097,0.0977,0.0973
PATRON,4.9613,,mg/L,0.7,0.0981,0.0989,0.0975,0.098
BLANCO,-0.0067,,mg/L,11.9,-0.0001,-0.0002,-0.0001,-0.0001
BLANCO REACTIVO,0,,mg/L,13.7,-0.0004,-0.0003,-0.0004,-0.0004
ELY1,5.0374,,mg/L,0.3,0.0996,0.0994,0.1,0.0995
ELY2,4.9273,,mg/L,0.5,0.0975,0.097,0.098,0.0975
ELY3,4.8992,,mg/L,0.2,0.0969,0.0971,0.0967,0.0971
PATRON,4.935,,mg/L,0.2,0.0976,0.0977,0.0975,0.0977
BLANCO,-0.0078,,mg/L,16.8,-0.0002,-0.0002,-0.0001,-0.0002
BLANCO REACTIVO,0,,mg/L,9.1,-0.0006,-0.0006,-0.0006,-0.0007
ELY4,4.9159,,mg/L,1.1,0.0973,0.097,0.0963,0.0985
ELY5,4.9144,,mg/L,0.3,0.0972,0.097,0.0972,0.0976
PATRON,4.9642,,mg/L,0.6,0.0982,0.098,0.0989,0.0977
BLANCO,-0.0082,,mg/L,53.9,-0.0002,-0.0002,-0.0002,-0.0001
BLANCO REACTIVO,0,,mg/L,18.3,-0.0008,-0.0008,-0.0007,-0.001
