Analista,GGP,,,,,,,,,,,,
Fecha de inicio,03/11/2024 01:49 p. m.  GMT: 03/11/2024 07:49 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005725_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5056,,mg/L,2.2,0.0172,0.0004,1,1,1,0.017,0.0171,0.0177
,BLANCO,-0.0059,,mg/L,78.2,-0.0002,-0.0001,1,1,1,-0.0003,-0.0002,0
,BLANCO REACTIVO,0,,mg/L,66.3,-0.0002,-0.0004,1,1,1,-0.0002,-0.0003,-0.0001
,SA005725-001,0.0015,,mg/L,54.8,0.0001,-0.0006,20.025,7,1,0.0001,0.0002,0.0001
,SA005725-002,0.0052,,mg/L,49.3,0.0005,-0.0011,20.05,7,1,0.0002,0.0006,0.0007
,SA005725-003,0.0078,,mg/L,19.5,0.0008,-0.001,20,7,1,0.0007,0.0007,0.0009
,SA005725-004,0.0032,,mg/L,82.9,0.0003,-0.0006,20.058,7,1,0.0002,0.0006,0.0002
,SA005725-005,0.0081,,mg/L,31.9,0.0008,-0.0009,20.04,7,1,0.0006,0.0011,0.0007
,PATRON,0.4996,,mg/L,0.3,0.017,0.0002,1,1,1,0.017,0.0171,0.017
,SA005725-006,0.0064,,mg/L,56.1,0.0006,-0.0011,20.034,7,1,0.0007,0.0009,0.0002
,SA005725-007,0.4649,,mg/L,0.8,0.0456,-0.0015,20.07,7,1,0.0452,0.0455,0.046
,PATRON,0.5023,,mg/L,1.5,0.0171,-0.0003,1,1,1,0.0171,0.0168,0.0174
,BLANCO,0.004,,mg/L,>100,0.0001,-0.0015,1,1,1,-0.0001,0.0001,0.0005
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0009,1,1,1,-0.0003,0.0006,-0.0003
