Analista,GGP,,,,,,,,,,,,
Fecha de inicio,02/10/2024 04:33 p. m.  GMT: 02/10/2024 10:33 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005629_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4951,,mg/L,0.2,0.0164,0.0017,1,1,1,0.0164,0.0163,0.0164
,BLANCO,-0.0013,,mg/L,>100,0,0.0016,1,1,1,0.0001,-0.0003,0.0001
,BLANCO REACTIVO,0,,mg/L,8.4,-0.0012,-0.0001,1,1,1,-0.0013,-0.0011,-0.0012
,SA005629-001,0.2113,,mg/L,1.6,0.02,0.0011,20,7,1,0.0199,0.0203,0.0197
,SA005629-002,0.042,,mg/L,9.9,0.004,0.0012,20,7,1,0.0041,0.0035,0.0043
,SA005629-003,0.0407,,mg/L,6.1,0.0038,0.0009,20,7,1,0.004,0.0036,0.0039
,SA005629-004,0.287,,mg/L,1.8,0.0273,0.0008,20,7,1,0.0277,0.0275,0.0268
,SA005629-005,0.298,,mg/L,0.3,0.0284,0.0011,20,7,1,0.0284,0.0285,0.0283
,PATRON,0.5097,,mg/L,0.5,0.0169,0.0015,1,1,1,0.017,0.0168,0.0169
,SA005629-006,0.3112,,mg/L,1.4,0.0297,0.0008,20,7,1,0.0292,0.0298,0.03
,SA005629-007,0.0022,,mg/L,66.3,0.0002,0.0012,20,7,1,0.0003,0.0003,0
,SA005629-008,0.0026,,mg/L,14.3,0.0002,0.0012,20,7,1,0.0003,0.0002,0.0003
,SA005629-009,0.2119,,mg/L,0.8,0.0201,0.001,20,7,1,0.0199,0.0203,0.0202
,PATRON,0.5041,,mg/L,1.1,0.0167,0.0016,1,1,1,0.0169,0.0165,0.0168
,BLANCO,0.0058,,mg/L,>100,0.0002,0.0007,1,1,1,0.0003,0.0003,0
,BLANCO REACTIVO,0,,mg/L,39.3,-0.0003,0,1,1,1,-0.0003,-0.0004,-0.0002
