PATRON,0.0512,,mg/L,10.4,0.003,-0.0012,0.0028,0.0029,0.0033
BLANCO,-0.0018,,mg/L,>100,0.0003,0.0002,0.0004,0.0006,-0.0001
BLANCO REACTIVO,0,,mg/L,>100,0.0002,0.0003,0.0004,0.0002,-0.0001
H KCA PO,0.0431,,mg/L,15.3,0.0024,0.0022,0.0028,0.0022,0.0022
H KCA PO,0.0431,,mg/L,12,0.0023,0.0021,0.0021,0.0026,0.0023
H KCA PO,0.0431,,mg/L,25.8,0.0022,0.002,0.0016,0.0027,0.0024
PATRON,0.0513,,mg/L,4.3,0.0029,-0.0014,0.003,0.003,0.0028
H KCA PO,0.0431,,mg/L,4,0.0024,0.0009,0.0025,0.0024,0.0023
H KCA PO,0.0431,,mg/L,12,0.0022,0.0011,0.0023,0.0024,0.0019
PATRON,0.047,,mg/L,2.9,0.0028,-0.0011,0.0029,0.0027,0.0028
BLANCO,0.0005,,mg/L,94.7,0.0004,-0.0008,0.0009,0.0003,0.0001
BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0004,0,0.0006,0
M1 PO,0.0262,,mg/L,24.9,0.0018,0.0019,0.0018,0.0013,0.0022
M2 PO,0.0214,,mg/L,7.9,0.0015,0.0017,0.0016,0.0016,0.0014
M3 PO,0.0163,,mg/L,49.6,0.0013,0.0012,0.002,0.0008,0.0011
M4 PO,0.0185,,mg/L,33.3,0.0014,0.0007,0.0011,0.0012,0.0019
PATRON,0.054,,mg/L,4.3,0.0031,-0.0018,0.0032,0.0032,0.003
P KCA PO,0.0043,,mg/L,41.1,0.0007,0.0016,0.0008,0.0009,0.0004
PATRON,0.0538,,mg/L,16.3,0.0031,-0.0017,0.0033,0.0035,0.0026
BLANCO,0.0009,,mg/L,3.6,0.0005,-0.0007,0.0005,0.0005,0.0005
BLANCO REACTIVO,0,,mg/L,56.7,0.0008,-0.001,0.0007,0.0004,0.0012
CELDA 8,0.0413,,mg/L,6.5,0.0025,0.0006,0.0024,0.0027,0.0024
PATRON,0.0504,,mg/L,10.3,0.003,-0.0023,0.0032,0.0026,0.003
BLANCO,-0.0008,,mg/L,97.3,0.0004,-0.002,0,0.0006,0.0008
BLANCO REACTIVO,0,,mg/L,68.6,0.0007,-0.0014,0.0008,0.0002,0.0011
H KCA PE,0.0225,,mg/L,21.7,0.0015,-0.001,0.0012,0.0019,0.0015
H KCA PE,0.0225,,mg/L,16.9,0.0015,0.0001,0.0017,0.0016,0.0012
H KCA PE,0.0225,,mg/L,24.5,0.0015,-0.0011,0.0016,0.0011,0.0019
PATRON,0.0537,,mg/L,13.6,0.0031,-0.0034,0.0033,0.0034,0.0026
H KCA PE,0.0225,,mg/L,6.3,0.0014,0.0006,0.0015,0.0013,0.0014
H KCA PE,0.0225,,mg/L,23.9,0.0015,-0.0003,0.0012,0.0019,0.0014
PATRON,0.0539,,mg/L,6.1,0.0031,-0.0029,0.0029,0.0032,0.0033
BLANCO,0.006,,mg/L,6.8,0.0008,-0.0025,0.0008,0.0007,0.0008
BLANCO REACTIVO,0,,mg/L,64.6,0.0008,-0.0014,0.0002,0.0011,0.001
M1 PE,0.0156,,mg/L,17.5,0.0012,0.0008,0.0013,0.0014,0.001
M2 PE,0.0089,,mg/L,33.8,0.0009,0.0006,0.0008,0.0013,0.0007
M3 PE,0.0057,,mg/L,60.3,0.0008,0.0006,0.0012,0.0008,0.0003
M4 PE,0.0024,,mg/L,39.5,0.0006,0.0004,0.0006,0.0009,0.0004
PATRON,0.0537,,mg/L,7.2,0.0031,-0.0038,0.0032,0.0032,0.0029
P KCA PE,0.0158,,mg/L,17,0.0013,-0.0001,0.0013,0.001,0.0015
PATRON,0.0534,,mg/L,5,0.0031,-0.0034,0.0033,0.003,0.003
BLANCO,0.0042,,mg/L,53.5,0.0007,-0.0027,0.0011,0.0003,0.0007
BLANCO REACTIVO,0,,mg/L,28.6,0.0009,-0.0014,0.0009,0.0012,0.0007
ELY 1,0.0178,,mg/L,14.1,0.0014,0.0003,0.0015,0.0011,0.0014
ELY 2,0.0166,,mg/L,18.9,0.0013,0.0002,0.0014,0.0015,0.001
ELY 3,0.0092,,mg/L,31.6,0.0009,0.0001,0.0007,0.0013,0.0008
ELY 4,0.0095,,mg/L,31.4,0.0009,-0.0002,0.0011,0.0006,0.0011
PATRON,0.0487,,mg/L,5.5,0.0029,-0.0039,0.0027,0.003,0.0029
ELY P,0.0082,,mg/L,32.1,0.0009,0.0001,0.0006,0.0012,0.0008
PATRON,0.0522,,mg/L,8.4,0.003,-0.0036,0.0033,0.0028,0.0031
BLANCO,0.002,,mg/L,43.4,0.0006,-0.0024,0.0004,0.0009,0.0005
BLANCO REACTIVO,0,,mg/L,33.5,0.0013,-0.0014,0.0008,0.0017,0.0013
