PATRON,0.1877,,mg/L,1.4,0.0089,-0.0009,1,1,1,0.009,0.0088,0.0089
BLANCO,-0.0089,,mg/L,19.3,-0.0006,0.0001,1,1,1,-0.0007,-0.0006,-0.0005
BLANCO REACTIVO,0,,mg/L,24.4,-0.0009,0.0008,1,1,1,-0.0011,-0.0007,-0.0008
CELDA 8,0.0024,,mg/L,>100,0,0.0049,1,1,1,-0.0002,-0.0001,0.0001
CANAL,0.0021,,mg/L,>100,-0.0001,0.004,1,1,1,-0.0002,-0.0004,0.0005
FASE 1,0.0119,,mg/L,82.2,0.0004,0.0042,1,1,1,0.0006,0,0.0006
FASE 2,0.011,,mg/L,21.6,0.0004,0.0046,1,1,1,0.0004,0.0003,0.0004
FASE 3,0.0326,,mg/L,30.3,0.0014,0.0049,1,1,1,0.0011,0.0019,0.0013
VSP NORTE,0.0188,,mg/L,60.4,0.0007,0.0051,1,1,1,0.0012,0.0003,0.0007
CELDA 8.1,0.0009,,mg/L,>100,-0.0001,0.0043,1,1,1,-0.0005,-0.0007,0.0008
CELDA 8.2,-0.0073,,mg/L,24,-0.0005,0.0043,1,1,1,-0.0004,-0.0005,-0.0006
CELDA 8.3,-0.0046,,mg/L,93.7,-0.0004,0.0047,1,1,1,-0.0007,0,-0.0005
S. RICA,-0.0092,,mg/L,51.8,-0.0006,0.0049,1,1,1,-0.0003,-0.0005,-0.001
PATRON,0.1911,,mg/L,1.3,0.0091,0.0012,1,1,1,0.009,0.0091,0.0092
BLANCO,-0.0099,,mg/L,36.2,-0.0006,0.0019,1,1,1,-0.0008,-0.0007,-0.0004
BLANCO REACTIVO,0,,mg/L,19.6,-0.0011,0.0005,1,1,1,-0.0013,-0.0011,-0.0008
TRITURADORA,-0.001,,mg/L,>100,-0.0002,0.0054,1,1,1,0,-0.0008,0.0002
VICTORIA,0.0072,,mg/L,83.7,0.0002,0.0046,1,1,1,0.0001,0.0001,0.0004
CELDA 1,-0.0036,,mg/L,>100,-0.0003,0.0054,1,1,1,0.0001,-0.0006,-0.0005
CELDA 2,-0.0067,,mg/L,61.5,-0.0005,0.0058,1,1,1,-0.0003,-0.0008,-0.0003
CELDA 3,0.0064,,mg/L,>100,0.0001,0.005,1,1,1,0.0002,0.0003,-0.0001
PATRON,0.1872,,mg/L,3.1,0.0089,0.0007,1,1,1,0.0092,0.0087,0.0087
BLANCO,-0.0022,,mg/L,51.5,-0.0003,0.0014,1,1,1,-0.0003,-0.0004,-0.0001
BLANCO REACTIVO,0,,mg/L,10.5,-0.0015,0.0005,1,1,1,-0.0014,-0.0017,-0.0014
CELDA 4A,0.0016,,mg/L,>100,-0.0001,0.0068,1,1,1,-0.0001,0.0001,-0.0003
CELDA 4B,0.0104,,mg/L,84.4,0.0003,0.0061,1,1,1,0.0006,0.0004,0
CELDA 5A,0.0092,,mg/L,>100,0.0003,0.0065,1,1,1,0.0005,0.0005,-0.0002
CELDA 5B,0.0093,,mg/L,>100,0.0003,0.006,1,1,1,0.0003,-0.0002,0.0007
PATRON,0.1893,,mg/L,4,0.009,0.0017,1,1,1,0.0093,0.0086,0.0091
BLANCO,0.0027,,mg/L,>100,0,0.0018,1,1,1,-0.0004,0.0004,-0.0001
BLANCO REACTIVO,0,,mg/L,27.2,-0.0013,0.0004,1,1,1,-0.0017,-0.0011,-0.0012
