PATRON,5.0077,,mg/L,0.5,0.0504,0.0504,0.0502,0.0507
BLANCO,0.0206,,mg/L,49.4,0.0002,0.0001,0.0002,0.0003
BLANCO REACTIVO,0,,mg/L,48.5,0.0003,0.0001,0.0004,0.0004
FASE 1,0.0226,,mg/L,33.4,0.0002,0.0002,0.0001,0.0003
FASE 2,0.0186,,mg/L,31,0.0002,0.0002,0.0002,0.0003
FASE 3,0.0407,,mg/L,15.6,0.0004,0.0005,0.0003,0.0004
VSP NORTE,0.0356,,mg/L,28.3,0.0004,0.0004,0.0002,0.0004
CELDA 8.1,0.0597,,mg/L,5.7,0.0006,0.0006,0.0006,0.0006
CELDA 8.2,0.0554,,mg/L,9,0.0006,0.0006,0.0005,0.0006
CELDA 8.3,0.0753,,mg/L,7.5,0.0008,0.0007,0.0008,0.0008
PATRON,4.894,,mg/L,1.1,0.0493,0.0487,0.0496,0.0497
BLANCO,0.0189,,mg/L,31.1,0.0002,0.0002,0.0001,0.0003
BLANCO REACTIVO,0,,mg/L,7.4,0.0008,0.0008,0.0008,0.0009
