Analista,MVG,,,,,,,,
Fecha de inicio,05:52 a. m. 23/02/2026  GMT: 11:52 a. m. 23/02/2026,,,,,,,,
Hoja de trabajo,SA008080,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.4964,,mg/L,1,2.5,0.0147,-0.0013,
,BLANCO,0.0057,,mg/L,1,>100,0.0002,-0.0007,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,-0.0003,
,SA008080-001,0.2807,,mg/L,1,1,0.0359,-0.0028,30
,SA008080-002,0.1177,,mg/L,1,1.5,0.015,-0.0026,30.02
,SA008080-003,0.1016,,mg/L,1,2.1,0.0129,-0.0026,30.01
,SA008080-004,0.1543,,mg/L,1,1.5,0.0197,-0.0023,30.03
,SA008080-005,0.1793,,mg/L,1,2.5,0.0229,-0.0025,30
,PATRON,0.508,,mg/L,1,1.1,0.0151,-0.0015,
,SA008080-006,0.1142,,mg/L,1,2.4,0.0145,-0.0007,30.03
,SA008080-007,0.1966,,mg/L,1,1.8,0.0251,-0.001,30
,SA008080-008,0.1217,,mg/L,1,1.5,0.0155,-0.0006,30.02
,SA008080-009,0.1776,,mg/L,1,0.6,0.0227,-0.001,30.02
,SA008080-010,0.1795,,mg/L,1,0.7,0.0229,-0.0012,30.03
,PATRON,0.5078,,mg/L,1,1.3,0.0151,-0.0025,
,BLANCO,0.025,,mg/L,1,52.5,0.0007,0.0002,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0003,-0.0006,
,SA008080-011,0.2637,,mg/L,1,1.7,0.0337,-0.0003,30
,SA008080-012,0.2021,,mg/L,1,0.3,0.0258,-0.0013,30.02
,SA008080-013,0.1372,,mg/L,1,1.6,0.0175,-0.001,30.01
,SA008080-014,0.3351,,mg/L,1,0.3,0.043,-0.0008,30.03
,SA008080-015,0.3251,,mg/L,1,1,0.0417,-0.0011,30.01
,PATRON,0.4861,,mg/L,1,0.9,0.0144,-0.0023,
,SA008080-016,0.3379,,mg/L,1,0.8,0.0434,-0.0015,30.02
,SA008080-017,0.007,,mg/L,1,82.6,0.0009,-0.0009,30.02
,SA008080-018,0.0989,,mg/L,1,0.8,0.0126,-0.0014,30.03
,SA008080-019,9.421,,mg/L,1,3.7,0.1126,0.0032,30.02
,SA008080-020,0.2074,,mg/L,1,1.3,0.0247,-0.0006,30.01
,PATRON,0.4786,,mg/L,1,3.2,0.0142,-0.0021,
,BLANCO,-0.0129,,mg/L,1,>100,-0.0004,-0.0022,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0002,-0.0017,
,SA008080-021,0.1904,,mg/L,1,13.7,0.0227,-0.0014,30.01
,SA008080-022,0.0737,,mg/L,1,4.4,0.0094,-0.0025,30
,SA008080-023,0.2526,,mg/L,1,2.4,0.0323,-0.0024,30
,SA008080-024,0.4897,,mg/L,1,2.2,0.063,-0.0029,30
,SA008080-025,0.2182,,mg/L,1,1.3,0.026,-0.0001,30
,PATRON,0.5092,,mg/L,1,3.1,0.0151,-0.0031,
,SA008080-026,0.2059,,mg/L,1,4.1,0.0263,-0.0019,30.01
,SA008080-027,0.0222,,mg/L,1,10.6,0.0028,-0.002,30.01
,SA008080-028,0.0102,,mg/L,1,39.8,0.0013,-0.0015,3
,SA008080-029,0.0315,,mg/L,1,9.5,0.004,-0.0016,30.03
,SA008080-030,0.6594,,mg/L,1,1.3,0.0852,-0.0021,30.02
,PATRON,0.5033,,mg/L,1,2.6,0.0149,-0.0032,
,BLANCO,-0.0073,,mg/L,1,>100,-0.0002,-0.0016,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0001,-0.0015,
,SA008080-031,0.4382,,mg/L,1,1.4,0.0564,-0.0021,30.04
,SA008080-032,0.0825,,mg/L,1,2,0.0098,0.0006,30
,PATRON,0.4776,,mg/L,1,5.2,0.0132,-0.0008,
,BLANCO,0.0034,,mg/L,1,>100,0.0001,0.0001,
,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,0.0004,
