PATRON,4.8503,,mg/L,0.2,0.0509,1,1,1,0.0508,0.0509,0.0509
BLANCO,-0.1741,,mg/L,13.5,-0.0019,1,1,1,-0.0021,-0.0019,-0.0016
BLANCO REACTIVO,0,,mg/L,4.8,-0.0026,1,1,1,-0.0025,-0.0027,-0.0027
FASE 1,0.0083,,mg/L,>100,0.0001,1,1,1,0.0004,0.0001,-0.0003
FASE 2,0.0356,,mg/L,50,0.0004,1,1,1,0.0006,0.0003,0.0002
FASE 3,-0.0336,,mg/L,75.2,-0.0004,1,1,1,-0.0005,-0.0006,-0.0001
VSP NORTE,-0.0735,,mg/L,53.4,-0.0008,1,1,1,-0.0011,-0.001,-0.0003
CELDA 8.1,-0.0772,,mg/L,9.5,-0.0008,1,1,1,-0.0008,-0.0009,-0.0008
CELDA 8.2,-0.0955,,mg/L,18.2,-0.001,1,1,1,-0.001,-0.0008,-0.0012
CELDA 8.3,-0.0294,,mg/L,42.1,-0.0003,1,1,1,-0.0004,-0.0002,-0.0003
PATRON,4.9773,,mg/L,0.5,0.0522,1,1,1,0.0521,0.0525,0.052
BLANCO,-0.0113,,mg/L,38.3,-0.0001,1,1,1,-0.0002,-0.0001,-0.0001
BLANCO REACTIVO,0,,mg/L,5.8,-0.0042,1,1,1,-0.004,-0.0043,-0.0044
