Analista,GGP,,,,,,,,,
Fecha de inicio,02:52 p. m. 15/12/2025  GMT: 08:52 p. m. 15/12/2025,,,,,,,,,
Hoja de trabajo,SA007211_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.4958,,mg/L,1,1,0.0184,0.001,1,1
,BLANCO,0.0031,,mg/L,1,>100,0.0001,-0.0004,1,1
,BLANCO REACTIVO,0,,mg/L,1,32.4,0.0007,0.0022,1,1
,SA007211-001,0.2134,,mg/L,1,0.3,0.0342,0.0001,30.015,7
,SA007211-002,0.1944,,mg/L,1,1.9,0.0311,0.0001,30.032,7
,SA007211-003,0.1095,,mg/L,1,4.1,0.0174,-0.0001,30.019,7
,SA007211-004,0.1401,,mg/L,1,2.3,0.0223,0.0005,30,7
,SA007211-005,0.1908,,mg/L,1,1.8,0.0305,-0.0001,30.02,7
,PATRON,0.4913,,mg/L,1,2.8,0.0182,0.0008,1,1
,SA007211-006,0.2248,,mg/L,1,1.3,0.036,-0.0002,30.007,7
,SA007211-007,0.1801,,mg/L,1,2.1,0.0288,0.0002,30.021,7
,SA007211-008,0.1973,,mg/L,1,1.6,0.0316,0.0002,30.012,7
,SA007211-009,0.0255,,mg/L,1,6.4,0.004,-0.0005,30.004,7
,SA007211-010,0.1674,,mg/L,1,1.1,0.0268,0.0004,30.022,7
,PATRON,0.522,,mg/L,1,2,0.0197,0.0011,1,1
,BLANCO,0.0071,,mg/L,1,>100,0.0003,0,1,1
,BLANCO REACTIVO,0,,mg/L,1,39.4,0.0006,-0.0007,1,1
,SA007211-011,0.1461,,mg/L,1,1.9,0.0233,0.0004,30.008,7
,SA007211-012,0.1707,,mg/L,1,0.8,0.0273,0.0006,30,7
,SA007211-013,0.2056,,mg/L,1,0.4,0.0329,0.0002,30.016,7
,SA007211-014,0.8233,,mg/L,1,0.4,0.1349,-0.0002,30.024,7
,SA007211-015,0.2442,,mg/L,1,1.2,0.0392,-0.0003,30.006,7
,PATRON,0.5119,,mg/L,1,2,0.019,0.0006,1,1
,SA007211-016,0.4823,,mg/L,1,1.3,0.0801,-0.0007,30.002,7
,SA007211-017,0.4776,,mg/L,1,0.2,0.0793,-0.0011,30.005,7
,SA007211-018,0.0041,,mg/L,1,39.4,0.0006,0.0001,30,7
,SA007211-019,0.1521,,mg/L,1,1.7,0.0243,0.0004,30.033,7
,SA007211-020,0.1108,,mg/L,1,3.3,0.0177,0.0002,30.036,7
,PATRON,0.496,,mg/L,1,0.3,0.0184,0.0011,1,1
,BLANCO,-0.0069,,mg/L,1,>100,-0.0003,-0.0003,1,1
,BLANCO REACTIVO,0,,mg/L,1,53.7,0.0006,0.0019,1,1
,SA007211-021,0.0882,,mg/L,1,1.7,0.014,0,30.023,7
,SA007211-022,0.2856,,mg/L,1,1.6,0.046,-0.0003,30.021,7
,SA007211-023,0.1114,,mg/L,1,1.1,0.0177,0.0006,30.011,7
,SA007211-024,0.5943,,mg/L,1,1.1,0.097,0.0003,30.039,7
,SA007211-025,0.0079,,mg/L,1,17.9,0.0012,0.0009,30.007,7
,PATRON,0.4961,,mg/L,1,2.4,0.0184,0.001,1,1
,SA007211-026,0.2542,,mg/L,1,1.5,0.0402,0.0012,30.038,7
,SA007211-027,0.4818,,mg/L,1,1.8,0.0783,-0.0003,30.024,7
,SA007211-028,0.4835,,mg/L,1,1.6,0.0772,0.0002,30.014,7
,SA007211-029,0.2588,,mg/L,1,1.8,0.0416,-0.0006,30.012,7
,SA007211-030,0.0418,,mg/L,1,4,0.0066,0,30.004,7
,PATRON,0.5006,,mg/L,1,1.2,0.0186,0.0012,1,1
,BLANCO,0.0037,,mg/L,1,>100,0.0001,0.0021,1,1
,BLANCO REACTIVO,0,,mg/L,1,>100,0,0.0018,1,1
,SA007211-031,0.2132,,mg/L,1,1.7,0.0348,-0.0006,30.028,7
,SA007211-032,0.518,,mg/L,1,0.5,0.0829,0.0008,30.018,7
,PATRON,0.5155,,mg/L,1,1.8,0.0188,0.0021,1,1
,BLANCO,0.0005,,mg/L,1,>100,0,0.0005,1,1
,BLANCO REACTIVO,0,,mg/L,1,35.4,0.0005,0.0014,1,1
