Analista,CCPR,,,,,,,,,,,,
Fecha de inicio,26/09/2024 11:12 a. m.  GMT: 26/09/2024 05:12 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005626_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.4838,,mg/L,3.2,0.0138,-0.0001,,,,0.0133,0.0139,0.0141
,BLANCO,0.0009,,mg/L,>100,0,-0.0003,,,,0.0005,-0.0006,0.0001
,BLANCO REACTIVO,0,,mg/L,19.6,0.0004,-0.0009,,,,0.0004,0.0003,0.0005
,SA005626-001,0.1685,,mg/L,1.5,0.0137,0.0002,19.98,,,0.0135,0.0137,0.0139
,SA005626-002,0.1008,,mg/L,3.6,0.0082,-0.0004,20.03,,,0.0085,0.008,0.0081
,SA005626-003,0.0976,,mg/L,3.6,0.0079,-0.0002,19.9,,,0.0083,0.0078,0.0078
,SA005626-004,-0.0095,,mg/L,24.1,-0.0008,-0.0003,20.07,,,-0.001,-0.0006,-0.0008
,SA005626-005,0.1955,,mg/L,1.3,0.0159,-0.0008,19.99,,,0.016,0.0157,0.016
,PATRON,0.4918,,mg/L,0.7,0.014,0.0003,,,,0.0141,0.014,0.0139
,SA005626-006,0.113,,mg/L,0.7,0.0092,0,20.01,,,0.0092,0.0092,0.0091
,SA005626-007,0.1241,,mg/L,1.5,0.0101,-0.0005,20.06,,,0.0101,0.0103,0.01
,SA005626-008,-0.0068,,mg/L,>100,-0.0006,-0.0003,2,,,-0.0004,-0.0012,0
,SA005626-009,0.2123,,mg/L,2.1,0.0173,0,20.02,,,0.017,0.0172,0.0177
,SA005626-010,0.2105,,mg/L,2.3,0.0172,0,20.02,,,0.0171,0.0168,0.0176
,PATRON,0.4828,,mg/L,1.1,0.0138,0.0005,,,,0.0136,0.0138,0.0139
,BLANCO,-0.0391,,mg/L,35.9,-0.0011,-0.0005,,,,-0.0007,-0.0014,-0.0012
,BLANCO REACTIVO,0,,mg/L,4.8,-0.0002,-0.0004,,,,-0.0002,-0.0002,-0.0002
