PATRON,0.4954,,mg/L,0.4,0.0693,0.001,0.0692,0.0692,0.0696
BLANCO,0.0031,,mg/L,62.4,0.0004,-0.0001,0.0005,0.0007,0.0001
BLANCO REACTIVO,0,,mg/L,62.7,0.0009,-0.0007,0.0015,0.0008,0.0004
H KCA PO,0.004,,mg/L,57.9,0.0006,0.0007,0.0009,0.0006,0.0002
H KCA PO,0.0015,,mg/L,71.3,0.0002,0.0009,0.0004,0.0002,0.0001
H KCA PO,0.0021,,mg/L,46.5,0.0003,0.0006,0.0001,0.0004,0.0004
PATRON,0.4905,,mg/L,0.4,0.0687,-0.0011,0.0687,0.0684,0.0689
H KCA PO,0.0036,,mg/L,27,0.0005,0.0006,0.0005,0.0007,0.0004
H KCA PO,0.0027,,mg/L,80.3,0.0004,0.0007,0.0003,0.0007,0.0001
PATRON,0.4897,,mg/L,0.4,0.0686,-0.0007,0.0684,0.0685,0.0689
BLANCO,-0.002,,mg/L,81.9,-0.0003,-0.0013,-0.0005,-0.0003,0
BLANCO REACTIVO,0,,mg/L,24,0.0009,-0.0007,0.0007,0.0012,0.0008
M1 PO,0.0048,,mg/L,62.2,0.0007,0.0003,0.0012,0.0003,0.0006
M2 PO,0.0031,,mg/L,66.9,0.0004,0.0001,0.0007,0.0005,0.0001
M3 PO,0.0051,,mg/L,22.8,0.0007,0.0003,0.0009,0.0006,0.0007
M4 PO,0.0066,,mg/L,64.2,0.001,-0.0001,0.0003,0.001,0.0016
PATRON,0.4945,,mg/L,0.7,0.0692,-0.0015,0.0688,0.0697,0.0692
P KCA PO,0.007,,mg/L,33.5,0.001,0.0003,0.0012,0.0012,0.0006
PATRON,0.4924,,mg/L,0.7,0.0676,0.0003,0.0682,0.0673,0.0673
BLANCO,-0.0002,,mg/L,>100,0,0,-0.0002,0.0007,-0.0006
BLANCO REACTIVO,0,,mg/L,64.5,0.0004,-0.0002,0.0002,0.0004,0.0007
CELDA 8,2.449,R,mg/L,0,0.1945,0.0033,0.1945,,
CANAL,0.0065,,mg/L,44,0.0009,0.0018,0.0007,0.0014,0.0006
FASE 1,0.0048,,mg/L,48.7,0.0007,0.0016,0.001,0.0004,0.0007
FASE 2,0.0047,,mg/L,43.3,0.0007,0.0016,0.0008,0.0009,0.0003
FASE 3,0.0041,,mg/L,51,0.0006,0.0019,0.0005,0.0003,0.0009
VSP NORTE,0.0037,,mg/L,57,0.0005,0.0022,0.0004,0.0003,0.0009
CELDA 8.1,0.0154,,mg/L,3.3,0.0022,0.0015,0.0023,0.0021,0.0021
CELDA 8.2,0.0205,,mg/L,14.4,0.0029,0.0012,0.0028,0.0025,0.0033
CELDA 8.3,0.0097,,mg/L,17.1,0.0014,0.0007,0.0011,0.0015,0.0015
S. RICA,0.0085,,mg/L,17.5,0.0012,0.0015,0.0014,0.001,0.0011
PATRON,0.4857,,mg/L,0.8,0.0667,-0.0007,0.0662,0.0666,0.0673
BLANCO,-0.0015,,mg/L,>100,-0.0002,-0.0024,-0.0003,-0.0005,0.0002
BLANCO REACTIVO,0,,mg/L,3.7,0.0017,-0.0007,0.0018,0.0018,0.0017
H KCA PE,-0.0039,,mg/L,>100,-0.0005,0.0009,-0.0001,-0.0003,-0.0012
H KCA PE,0.0002,,mg/L,>100,0,0.0001,0.0007,-0.0001,-0.0005
