Analista,,,,,,,,,,
Fecha de inicio,06/03/2023 05:53 p. m.  GMT: 06/03/2023 11:53 p. m.,,,,,,,,,
Hoja de trabajo,SA000576_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,BLANCO,0.0058,,mg/L,98.1,0.0002,0.0007,0.0004,0.0002,0
,PATRON,0.5006,,mg/L,1.2,0.0158,-0.0002,0.016,0.0158,0.0156
,SA000576-001,0.2735,,mg/L,1.8,0.0248,0.0002,0.0252,0.0249,0.0243
,SA000576-002,0.1818,,mg/L,0.6,0.0164,0.0004,0.0165,0.0163,0.0163
,SA000576-003,0.2202,,mg/L,1.8,0.0199,0.0004,0.0195,0.0201,0.0202
,SA000576-004,0.1766,,mg/L,2.4,0.016,0.0003,0.0163,0.0161,0.0156
,BLANCO REACTIVO,0,,mg/L,>100,0,0,0.0003,0,-0.0004
,PATRON,0.5012,,mg/L,1.9,0.0158,0.0001,0.0156,0.0156,0.0161
,SA000576-005,0.2303,,mg/L,2.5,0.0209,0.0006,0.0214,0.0203,0.021
,SA000576-006,0.2553,,mg/L,2.1,0.0232,0.0004,0.0229,0.0229,0.0237
,SA000576-007,0.1141,,mg/L,1.1,0.0102,0.0006,0.0101,0.0104,0.0102
,SA000576-008,0.2516,,mg/L,1.4,0.0229,0.0006,0.0231,0.023,0.0225
,SA000576-009,0.2842,,mg/L,0.6,0.0258,0.0005,0.0259,0.0259,0.0257
,SA000576-010,0.2619,,mg/L,0.7,0.0238,0.0003,0.0239,0.0237,0.0236
,BLANCO,-0.0064,,mg/L,74.2,-0.0002,0.0003,-0.0003,0,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0,0.0001,0,0.0004,-0.0003
,PATRON,0.492,,mg/L,2.2,0.0155,0,0.0157,0.0151,0.0157
,SA000576-011,0.0005,,mg/L,>100,0,0.0003,0.0002,-0.0001,0
,SA000576-012,0.2095,,mg/L,2.3,0.0189,0.0007,0.0186,0.0188,0.0194
,SA000576-013,0.1664,,mg/L,3,0.015,0.0005,0.0155,0.0147,0.0149
,SA000576-014,0.2056,,mg/L,2.1,0.0186,0.0005,0.0182,0.0189,0.0188
,SA000576-015,0.407,,mg/L,0.2,0.0373,0.0004,0.0372,0.0373,0.0373
,PATRON,0.5115,,mg/L,0.8,0.0161,0,0.0162,0.0162,0.016
,SA000576-016,0.0016,,mg/L,>100,0.0001,0.0003,0.0002,-0.0002,0.0004
,SA000576-017,0.3556,,mg/L,0.7,0.0325,0.0003,0.0327,0.0324,0.0323
,SA000576-018,0.2117,,mg/L,1,0.0192,0.0002,0.0194,0.019,0.0192
,SA000576-019,0.1094,,mg/L,1.3,0.0098,0.0005,0.0099,0.0098,0.0097
,SA000576-020,0.1813,,mg/L,1,0.0163,0.0002,0.0161,0.0165,0.0164
,BLANCO,-0.0016,,mg/L,>100,0,-0.0002,-0.0002,0.0003,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,0.0002,-0.0001,-0.0001,0.0001
,PATRON,0.4962,,mg/L,3,0.0156,0.0003,0.0151,0.0157,0.016
,SA000576-021,0.3578,,mg/L,0.1,0.0327,0.0004,0.0327,0.0327,0.0327
,SA000576-022,0.2339,,mg/L,1.1,0.0212,0.0005,0.021,0.0211,0.0214
,SA000576-023,0.2149,,mg/L,0.9,0.0194,0.0002,0.0196,0.0194,0.0193
,SA000576-024,0.6969,,mg/L,0.4,0.065,0.0003,0.0653,0.065,0.0648
,SA000576-025,0.2402,,mg/L,0.3,0.0217,0.0005,0.0217,0.0217,0.0218
,PATRON,0.5127,,mg/L,1.1,0.0162,0.0003,0.016,0.0162,0.0163
,SA000576-026,0.2008,,mg/L,1,0.0182,0.0005,0.018,0.0182,0.0183
,SA000576-027,0.2807,,mg/L,0.5,0.0254,0.0006,0.0254,0.0256,0.0254
,SA000576-028,0.928,,mg/L,0.3,0.0875,0.0007,0.0877,0.0875,0.0872
,SA000576-029,0.7273,,mg/L,1.1,0.0679,0.0006,0.068,0.0685,0.0671
,SA000576-030,0.2851,,mg/L,1,0.0259,0.0006,0.0256,0.0259,0.0261
,BLANCO,0.0032,,mg/L,>100,0.0001,0.0001,-0.0001,0.0001,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0003,0,0,-0.0003
,PATRON,0.4965,,mg/L,0.9,0.0156,0.0003,0.0155,0.0158,0.0156
,SA000576-031,0.126,,mg/L,0.4,0.0113,0.0005,0.0113,0.0113,0.0113
,SA000576-032,0.2147,,mg/L,0.7,0.0194,0.0008,0.0194,0.0193,0.0196
,BLANCO,0.0004,,mg/L,>100,0,0.0004,0,-0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,85.2,-0.0003,0.0006,-0.0004,-0.0005,0
,PATRON,0.5048,,mg/L,1.7,0.0159,0.0003,0.016,0.0156,0.0161
,BLANCO ,,,mg/L,,,,,,
