PATRON,4.883,,mg/L,1.1,0.0501,1,1,1,0.05,0.0506,0.0496
BLANCO,0.0992,,mg/L,7.3,0.001,1,1,1,0.0011,0.001,0.001
BLANCO REACTIVO,0,,mg/L,14.3,0.0013,1,1,1,0.0014,0.0013,0.0011
FASE 1,0.0417,,mg/L,47.1,0.0004,1,1,1,0.0004,0.0007,0.0003
PATRON,4.894,,mg/L,1.2,0.0502,1,1,1,0.0496,0.0502,0.0507
FASE 2,0.0755,,mg/L,28.6,0.0008,1,1,1,0.0009,0.0009,0.0005
FASE 3,0.0937,,mg/L,9,0.001,1,1,1,0.0011,0.0009,0.001
PATRON,4.9468,,mg/L,0.9,0.0507,1,1,1,0.0512,0.0506,0.0503
BLANCO,0.0319,,mg/L,76.1,0.0003,1,1,1,0.0001,0.0006,0.0003
BLANCO REACTIVO,0,,mg/L,24.6,0.0021,1,1,1,0.0017,0.0027,0.002
VSP NORTE,0.0381,,mg/L,50.1,0.0004,1,1,1,0.0002,0.0006,0.0004
CELDA 8.1,0.0155,,mg/L,60.2,0.0002,1,1,1,0.0002,0.0001,0.0003
CELDA 8.2,0.024,,mg/L,>100,0.0002,1,1,1,0.0002,0,0.0005
CELDA 8.3,0.6846,,mg/L,2.1,0.0071,1,1,1,0.0071,0.0072,0.0069
PATRON,4.9548,,mg/L,0.9,0.0508,1,1,1,0.0503,0.051,0.0511
BLANCO,0.0287,,mg/L,53.4,0.0003,1,1,1,0.0001,0.0004,0.0004
BLANCO REACTIVO,0,,mg/L,15.5,0.0023,1,1,1,0.0022,0.0019,0.0026
