PATRON,0.0479,,mg/L,17.1,0.0024,-0.0009,0.0028,0.0024,0.002
BLANCO,-0.0071,,mg/L,>100,0,-0.0005,0,0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,26.2,-0.001,-0.0001,-0.0011,-0.0013,-0.0007
H KCA PO,0.0235,,mg/L,19,0.0012,0.0026,0.001,0.0012,0.0014
H KCA PO,0.0235,,mg/L,6.9,0.0014,0.0021,0.0013,0.0015,0.0013
H KCA PO,0.0235,,mg/L,24,0.001,0.002,0.001,0.0008,0.0013
PATRON,0.0472,,mg/L,7.4,0.0024,-0.001,0.0023,0.0022,0.0026
H KCA PO,0.0235,,mg/L,14.2,0.0011,0.0024,0.0012,0.0011,0.0009
H KCA PO,0.0235,,mg/L,15.1,0.001,0.0021,0.0008,0.0011,0.0011
PATRON,0.0508,,mg/L,21.2,0.0025,-0.0011,0.0031,0.0024,0.0021
BLANCO,-0.0108,,mg/L,26.5,-0.0002,0.0001,-0.0002,-0.0002,-0.0001
BLANCO REACTIVO,0,,mg/L,24.4,-0.0016,-0.0004,-0.0017,-0.0012,-0.002
M1 PO,0.0114,,mg/L,40.4,0.0008,0.0031,0.0009,0.001,0.0004
M2 PO,0.0106,,mg/L,26.2,0.0008,0.0026,0.0007,0.001,0.0006
M3 PO,0.0079,,mg/L,9.8,0.0006,0.0017,0.0006,0.0007,0.0006
M4 PO,0.0112,,mg/L,32.5,0.0008,0.0014,0.0011,0.0006,0.0007
PATRON,0.0463,,mg/L,5.6,0.0023,-0.0005,0.0025,0.0023,0.0022
P KCA PO,0.001,,mg/L,46,0.0003,0.0032,0.0003,0.0002,0.0005
PATRON,0.0511,,mg/L,10.6,0.0025,-0.0004,0.0029,0.0024,0.0024
BLANCO,-0.0039,,mg/L,70.8,0.0001,0.0004,0,0.0002,0.0001
BLANCO REACTIVO,0,,mg/L,7,-0.0018,-0.0004,-0.0018,-0.0019,-0.0016
CELDA 8,0.0202,,mg/L,13.7,0.0012,0.0028,0.001,0.0013,0.0012
CANAL,0.0119,,mg/L,6.7,0.0008,0.0024,0.0009,0.0008,0.0008
FASE 1,0.0243,,mg/L,24.4,0.0012,0.0046,0.0011,0.001,0.0015
FASE 2,0.0181,,mg/L,5.2,0.0009,0.0047,0.0009,0.0009,0.001
FASE 3,0.0224,,mg/L,12,0.0011,0.0043,0.001,0.0012,0.0012
VSP NORTE,0.0311,,mg/L,27.1,0.0015,0.0045,0.0019,0.0011,0.0016
CELDA 8.1,0.0081,,mg/L,30.2,0.0004,0.0036,0.0003,0.0004,0.0006
CELDA 8.2,0.0157,,mg/L,44.7,0.0008,0.003,0.0012,0.0005,0.0007
CELDA 8.3,0.0081,,mg/L,79.5,0.0004,0.0034,0.0001,0.0004,0.0008
S. RICA,0.001,,mg/L,53.8,0.0002,0.0028,0.0004,0.0002,0.0001
PATRON,0.0481,,mg/L,6,0.0024,-0.0003,0.0025,0.0025,0.0023
BLANCO,-0.0005,,mg/L,64.8,0.0003,0.0008,0.0001,0.0004,0.0003
BLANCO REACTIVO,0,,mg/L,16.2,-0.0022,0.0003,-0.0018,-0.0023,-0.0025
H KCA PE,0.0129,,mg/L,14.8,0.0007,0.0046,0.0007,0.0005,0.0007
H KCA PE,0.0129,,mg/L,14.1,0.0006,0.0041,0.0006,0.0005,0.0007
H KCA PE,0.0129,,mg/L,18.5,0.0008,0.0031,0.0006,0.0008,0.0009
PATRON,0.0501,,mg/L,7.5,0.0025,0.0005,0.0027,0.0024,0.0024
H KCA PE,0.0129,,mg/L,6.2,0.0009,0.0041,0.0009,0.0008,0.0009
H KCA PE,0.0129,,mg/L,15.9,0.001,0.0052,0.0008,0.0011,0.001
PATRON,0.048,,mg/L,14.6,0.0024,0.0015,0.0028,0.0021,0.0024
BLANCO,-0.0061,,mg/L,>100,0,0.0014,0.0003,-0.0003,0.0001
BLANCO REACTIVO,0,,mg/L,13.7,-0.0024,-0.0007,-0.0027,-0.002,-0.0025
M1 PE,0.0119,,mg/L,39.1,0.0008,0.0049,0.0011,0.0009,0.0005
M2 PE,0.0052,,mg/L,29.1,0.0005,0.0044,0.0005,0.0004,0.0007
M3 PE,0.0072,,mg/L,34.7,0.0006,0.0035,0.0005,0.0005,0.0008
M4 PE,0.0084,,mg/L,11.8,0.0007,0.0029,0.0006,0.0006,0.0007
PATRON,0.0534,,mg/L,7.3,0.0027,0.0002,0.0028,0.0027,0.0024
P KCA PE,0.0038,,mg/L,49.7,0.0005,0.0038,0.0002,0.0007,0.0005
PATRON,0.0509,,mg/L,8.3,0.0025,-0.0003,0.0028,0.0023,0.0025
BLANCO,-0.0017,,mg/L,51.3,0.0002,0.0007,0.0001,0.0003,0.0002
BLANCO REACTIVO,0,,mg/L,5.9,-0.0025,-0.0006,-0.0024,-0.0023,-0.0026
ELY 1,0.011,,mg/L,10.9,0.0008,0.0041,0.0007,0.0008,0.0008
ELY 2,0.0081,,mg/L,44,0.0006,0.0034,0.0005,0.0004,0.001
ELY 3,0.004,,mg/L,34,0.0005,0.0028,0.0004,0.0006,0.0003
ELY 4,0.001,,mg/L,83.2,0.0003,0.0025,0.0005,0.0003,0
PATRON,0.0514,,mg/L,12.7,0.0026,-0.0003,0.0023,0.0029,0.0024
ELY P,0.0089,,mg/L,28.5,0.0007,0.0038,0.0007,0.0005,0.0008
PATRON,0.053,,mg/L,4.4,0.0026,-0.0002,0.0028,0.0026,0.0025
BLANCO,0.0068,,mg/L,80.1,0.0006,0.0004,0.0011,0.0005,0.0002
BLANCO REACTIVO,0,,mg/L,14.6,-0.0021,-0.0013,-0.0025,-0.0019,-0.002
TRITURADORA,0.001,,mg/L,95.9,0.0003,0.0032,0.0005,0,0.0005
VICTORIA,0.0053,,mg/L,11.1,0.0005,0.0022,0.0005,0.0006,0.0005
CELDA 1,0.0073,,mg/L,18.1,0.0006,0.0015,0.0005,0.0007,0.0007
CELDA 2,0.0169,,mg/L,14.7,0.001,0.0012,0.0009,0.001,0.0012
CELDA 3,0.0086,,mg/L,44,0.0007,0.0031,0.0004,0.0006,0.001
CELDA 4A,0.0196,,mg/L,24.6,0.0012,0.0034,0.0013,0.0008,0.0013
CELDA 4B,0.0247,,mg/L,22.1,0.0014,0.0021,0.0012,0.0012,0.0017
CELDA 5A,0.0036,,mg/L,27.3,0.0004,0.0018,0.0006,0.0004,0.0003
CELDA 5B,0.015,,mg/L,38.5,0.001,0.0011,0.0005,0.0012,0.0011
PATRON,0.0518,,mg/L,5,0.0026,-0.0007,0.0027,0.0025,0.0025
BLANCO,0.0062,,mg/L,21.5,0.0006,-0.0002,0.0006,0.0004,0.0007
BLANCO REACTIVO,0,,mg/L,11.3,-0.0019,-0.0012,-0.0022,-0.0017,-0.0019
