Analista,JGS,,,,,,,,,
Fecha de inicio,07/04/2024 03:13 a. m.  GMT: 07/04/2024 09:13 a. m.,,,,,,,,,
Hoja de trabajo,SA003491_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,BLANCO,-0.0007,,mg/L,>100,0,-0.0002,-0.0013,0.0008,0.0005
,BLANCO REACTIVO,0,,mg/L,39.4,0.0018,-0.0018,0.001,0.0021,0.0022
,PATRON,0.4894,,mg/L,6.1,0.0141,-0.0029,0.0145,0.0147,0.0131
,SA003491-001,0.1599,,mg/L,2.1,0.0132,-0.0015,0.0133,0.0133,0.0128
,SA003491-002,0.1799,,mg/L,7.2,0.0148,-0.0038,0.0136,0.0154,0.0154
,SA003491-003,0.2111,,mg/L,7.1,0.0174,-0.0023,0.0182,0.0159,0.0179
,SA003491-004,-0.0018,,mg/L,>100,-0.0001,-0.0036,0.0012,-0.0003,-0.0013
,SA003491-005,0.0813,,mg/L,10.2,0.0067,-0.0033,0.006,0.0069,0.0073
,PATRON,0.5025,,mg/L,4,0.0145,-0.0034,0.0151,0.014,0.0143
,SA003491-006,0.2887,,mg/L,6.2,0.0237,-0.0031,0.0222,0.0236,0.0252
,SA003491-007,0.1084,,mg/L,16.1,0.0089,-0.0031,0.0089,0.0075,0.0104
,SA003491-008,0.3705,,mg/L,1.5,0.0303,-0.0029,0.0302,0.03,0.0308
,SA003491-009,0.1507,,mg/L,6.9,0.0124,-0.0038,0.0122,0.0116,0.0133
,SA003491-010,0.1323,,mg/L,6.9,0.0109,-0.0032,0.0102,0.0108,0.0117
,PATRON,0.5089,,mg/L,2.1,0.0146,-0.0034,0.015,0.0145,0.0144
,BLANCO,0.0004,,mg/L,>100,0,-0.004,0.0001,-0.0001,0
,SA003491-011,0.3056,,mg/L,3.4,0.0251,-0.0033,0.0258,0.0253,0.0241
,SA003491-012,0.2252,,mg/L,6.3,0.0185,-0.003,0.0191,0.0192,0.0172
,SA003491-013,0.1699,,mg/L,1.6,0.014,-0.003,0.0139,0.0142,0.0138
,SA003491-014,0.2583,,mg/L,1.9,0.0212,-0.003,0.0209,0.0217,0.021
,SA003491-015,0.2524,,mg/L,3.3,0.0207,-0.0022,0.0212,0.02,0.0211
,PATRON,0.4897,,mg/L,3.5,0.0141,-0.0026,0.0135,0.0142,0.0145
,SA003491-016,0.2119,,mg/L,3.3,0.0174,-0.0019,0.0173,0.0169,0.0181
,SA003491-017,0.2128,,mg/L,1.7,0.0175,-0.0027,0.0174,0.0173,0.0178
,SA003491-018,-0.0061,,mg/L,>100,-0.0005,-0.0026,0.0001,-0.0014,-0.0003
,SA003491-019,0.2483,,mg/L,5.3,0.0204,-0.0029,0.0216,0.0202,0.0194
,SA003491-020,0.0565,,mg/L,22.3,0.0047,-0.0027,0.0036,0.0047,0.0057
,BLANCO REACTIVO,0,,mg/L,>100,0.0007,-0.0013,0.0013,-0.0004,0.0014
,PATRON,0.5123,,mg/L,7.6,0.0147,-0.0018,0.0146,0.0137,0.0159
,BLANCO,0.0029,,mg/L,>100,0.0001,-0.0021,0.0014,0.0004,-0.0016
,BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0009,0,0.0003,0.0008
,SA003491-021,0.1103,,mg/L,1.4,0.0091,-0.0021,0.0091,0.0092,0.009
,SA003491-022,0.9577,,mg/L,1.4,0.0774,-0.0019,0.0771,0.0766,0.0787
,SA003491-023,0.1541,,mg/L,5.6,0.0127,-0.0021,0.0129,0.0119,0.0133
,SA003491-024,0.1853,,mg/L,1.1,0.0152,-0.0006,0.0153,0.015,0.0154
,SA003491-025,0.1916,,mg/L,4.2,0.0158,-0.0015,0.0152,0.0156,0.0165
,PATRON,0.4989,,mg/L,3.9,0.0144,-0.0008,0.0137,0.0145,0.0148
,SA003491-026,0.1881,,mg/L,6.8,0.0155,-0.0009,0.0143,0.0157,0.0164
,SA003491-027,0.6727,,mg/L,1.6,0.0547,-0.0029,0.0548,0.0537,0.0555
,SA003491-028,0.4509,,mg/L,2.2,0.0369,-0.0015,0.0367,0.0361,0.0377
,SA003491-029,0.2143,,mg/L,4.9,0.0176,-0.0017,0.0186,0.017,0.0172
,SA003491-030,0.0126,,mg/L,55.8,0.001,-0.0026,0.0004,0.0016,0.0011
,PATRON,0.5117,,mg/L,7.4,0.0147,-0.0014,0.0155,0.0135,0.0152
,BLANCO REACTIVO,0,,mg/L,19.6,0.0013,-0.0019,0.0014,0.001,0.0015
,BLANCO,-0.0283,,mg/L,22.9,-0.0008,-0.0025,-0.0007,-0.001,-0.0007
,SA003491-031,0.164,,mg/L,8.7,0.0135,-0.0035,0.0124,0.0133,0.0148
,SA003491-032,0.0936,,mg/L,4.6,0.0077,-0.0024,0.0078,0.008,0.0073
,PATRON,0.483,,mg/L,5.2,0.0139,-0.0024,0.0132,0.0147,0.0138
,BLANCO,0.0147,,mg/L,>100,0.0004,-0.0035,0.0018,-0.0012,0.0007
,BLANCO REACTIVO,0,,mg/L,39.4,0.002,-0.0024,0.0017,0.0015,0.0029
,,,mg/L,,,,,,,
