VICTORIA,-0.0017,,mg/L,59,-0.0002,-0.0003,1,1,1,-0.0001,-0.0003,-0.0004
CELDA 1,-0.0025,,mg/L,>100,-0.0004,0,1,1,1,-0.0002,-0.0009,0
CELDA 2,0.0001,,mg/L,>100,0,-0.0003,1,1,1,0.0002,-0.0003,0.0001
CELDA 3,0.0006,,mg/L,>100,0.0001,-0.0004,1,1,1,0.0008,0.0003,-0.0008
PATRON,0.4938,,mg/L,0.6,0.0696,-0.0035,1,1,1,0.0695,0.0692,0.0701
BLANCO,0.0019,,mg/L,>100,0.0003,-0.0035,1,1,1,0.0004,-0.0001,0.0005
BLANCO REACTIVO,0,,mg/L,5.7,0.0016,-0.0022,1,1,1,0.0017,0.0017,0.0015
CELDA 4A,0.0017,,mg/L,>100,0.0002,-0.0013,1,1,1,0.0002,-0.0001,0.0006
CELDA 4B,0.0005,,mg/L,>100,0.0001,-0.0011,1,1,1,0,0,0.0001
CELDA 5A,0.0002,,mg/L,>100,0,-0.0014,1,1,1,0,0.0004,-0.0004
CELDA 5B,0.0009,,mg/L,>100,0.0001,-0.0017,1,1,1,-0.0004,0.0012,-0.0005
PATRON,0.4916,,mg/L,0.8,0.0658,-0.0004,1,1,1,0.0664,0.0653,0.0658
BLANCO,0.0003,,mg/L,>100,0,-0.0002,1,1,1,-0.0002,0.0003,0
BLANCO REACTIVO,0,,mg/L,9.3,0.0018,-0.0026,1,1,1,0.0016,0.0018,0.0019
