PATRON,5.0076,,mg/L,0.9,0.1012,0.1002,0.1019,0.1014
BLANCO,-0.0115,,mg/L,5.8,-0.0002,-0.0002,-0.0002,-0.0003
BLANCO REACTIVO,0,,mg/L,7.9,-0.0003,-0.0003,-0.0003,-0.0004
H,5.1,,mg/L,0.3,0.103,0.103,0.1033,0.1027
C1,5.0675,,mg/L,0.2,0.1023,0.1022,0.1022,0.1026
C2,5.0477,,mg/L,0.4,0.102,0.1018,0.1016,0.1024
PATRON,4.9862,,mg/L,0.8,0.1007,0.1008,0.0999,0.1015
BLANCO,-0.0092,,mg/L,26,-0.0002,-0.0002,-0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,57.3,-0.0002,-0.0003,-0.0001,-0.0002
C3,5.0619,,mg/L,0.4,0.1022,0.1027,0.1022,0.1018
C4,5.0947,,mg/L,0.1,0.1029,0.103,0.1028,0.1029
T,5.0834,,mg/L,0.5,0.1027,0.1027,0.1021,0.1032
PATRON,5.0368,,mg/L,0.4,0.1017,0.1018,0.1021,0.1013
BLANCO,-0.0024,,mg/L,>100,0,0,-0.0001,0
BLANCO REACTIVO,0,,mg/L,32,-0.0002,-0.0002,-0.0002,-0.0003
ELY1,5.1033,,mg/L,0.8,0.1031,0.1039,0.1028,0.1025
ELY2,5.0885,,mg/L,0.1,0.1028,0.1029,0.1028,0.1027
ELY3,5.008,,mg/L,0.4,0.1012,0.1009,0.101,0.1016
PATRON,5.0559,,mg/L,0.7,0.1021,0.102,0.1014,0.1029
BLANCO,-0.0046,,mg/L,55.8,-0.0001,-0.0001,0,-0.0001
BLANCO REACTIVO,0,,mg/L,38.9,-0.0002,-0.0003,-0.0001,-0.0003
ELY4,5.0013,,mg/L,0.4,0.101,0.1015,0.1007,0.1009
ELY5,5.017,,mg/L,0.9,0.1013,0.1017,0.1003,0.102
PATRON,5.0315,,mg/L,0.6,0.1016,0.101,0.1018,0.1021
BLANCO,0.0006,,mg/L,>100,0,0.0002,0,-0.0002
BLANCO REACTIVO,0,,mg/L,24.3,-0.0002,-0.0003,-0.0002,-0.0003
