Analista,JGS,,,,,,,,
Fecha de inicio,09/03/2023 10:51 p. m.  GMT: 10/03/2023 04:51 a. m.,,,,,,,,
Hoja de trabajo,SA000619-RE_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.0097,,mg/L,1,0.1176,0.1182,0.1162,0.1183
,BLANCO,-0.0005,,mg/L,>100,-0.0001,-0.0001,0.0001,-0.0002
,BLANCO REACTIVO,0,,mg/L,48,-0.0002,-0.0002,-0.0002,-0.0001
,SA000576-004,3.5924,,mg/L,2.2,0.0168,0.0167,0.0173,0.0166
,SA000576-005,1.4684,,mg/L,2.5,0.0069,0.0069,0.0067,0.007
,SA000576-006,2.5317,,mg/L,0.8,0.0119,0.012,0.0118,0.0118
,SA000576-007,15.1411,,mg/L,2.3,0.071,0.0728,0.0695,0.0707
,SA000576-008,1.3892,,mg/L,0.6,0.0065,0.0065,0.0065,0.0065
,PATRON,0.9928,,mg/L,0.6,0.1156,0.1149,0.1157,0.1164
,SA000576-009,3.3329,,mg/L,2.2,0.0156,0.0153,0.0157,0.016
,SA000576-010,2.1505,,mg/L,1.6,0.0101,0.01,0.0099,0.0102
,SA000580-003,3.2905,,mg/L,2.4,0.0154,0.0157,0.0155,0.015
,SA000580-005,2.7406,,mg/L,1.7,0.0128,0.013,0.013,0.0126
,SA000580-008,5.4249,,mg/L,4,0.0255,0.0253,0.0246,0.0266
,PATRON,1.0091,,mg/L,1.7,0.1175,0.1153,0.1179,0.1193
,BLANCO,0.0001,,mg/L,>100,0,0.0001,-0.0001,0
,BLANCO REACTIVO,0,,mg/L,24.8,-0.0003,-0.0004,-0.0002,-0.0003
,SA000580-009,25.5546,,mg/L,2.3,0.1192,0.1167,0.1221,0.1187
,SA000581-001,3.9326,,mg/L,2.2,0.0185,0.0183,0.0189,0.0181
,SA000581-006,15.1956,,mg/L,2.1,0.0714,0.0703,0.0708,0.073
,SA000589-018,7.2483,,mg/L,1.2,0.034,0.0338,0.0337,0.0344
,SA000589-019,19.5439,,mg/L,0.8,0.0916,0.0921,0.0921,0.0907
,PATRON,0.9879,,mg/L,0.6,0.1151,0.1151,0.1157,0.1144
,SA000589-020,3.1958,,mg/L,2.4,0.015,0.0146,0.0153,0.0152
,SA000589-021,14.9325,,mg/L,3,0.0701,0.0693,0.0685,0.0725
,PATRON,1.001,,mg/L,1.5,0.1166,0.117,0.1147,0.1181
,BLANCO,-0.0008,,mg/L,>100,-0.0001,-0.0002,-0.0002,0.0001
,BLANCO REACTIVO,0,,mg/L,32.7,-0.0003,-0.0002,-0.0004,-0.0003
