PATRON,4.9693,,mg/L,0.6,0.0496,1,1,1,0.0497,0.0493,0.0498
BLANCO,-0.0455,,mg/L,29.9,-0.0005,1,1,1,-0.0005,-0.0006,-0.0003
BLANCO REACTIVO,0,,mg/L,51.2,-0.0004,1,1,1,-0.0002,-0.0004,-0.0005
FASE 1,0.0537,,mg/L,27,0.0005,1,1,1,0.0005,0.0007,0.0004
FASE 2,0.038,,mg/L,25,0.0004,1,1,1,0.0005,0.0003,0.0004
FASE 3,0.0445,,mg/L,48,0.0005,1,1,1,0.0006,0.0002,0.0005
VSP NORTE,0.0428,,mg/L,35.9,0.0004,1,1,1,0.0004,0.0006,0.0003
CELDA 8.1,0.0585,,mg/L,32.2,0.0006,1,1,1,0.0007,0.0007,0.0004
CELDA 8.2,0.0399,,mg/L,60.2,0.0004,1,1,1,0.0005,0.0006,0.0001
CELDA 8.3,0.054,,mg/L,15.1,0.0005,1,1,1,0.0005,0.0005,0.0006
PATRON,5.0056,,mg/L,0.6,0.05,1,1,1,0.0497,0.05,0.0503
BLANCO,0.0198,,mg/L,48,0.0002,1,1,1,0.0003,0.0003,0.0001
BLANCO REACTIVO,0,,mg/L,16.6,-0.0003,1,1,1,-0.0003,-0.0002,-0.0003
