Analista,NR,,,,,,,,
Fecha de inicio,11:07 a. m. 07/01/2026  GMT: 05:07 p. m. 07/01/2026,,,,,,,,
Hoja de trabajo,SA007594,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.4941,,mg/L,1,2.2,0.0193,0.0016,
Au,BLANCO,0.0002,,mg/L,1,>100,0,-0.0002,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,0.0008,
Au,SA007594-001,0.064,,mg/L,1,1.6,0.0106,0.0013,30
Au,SA007594-002,0.2794,,mg/L,1,0.6,0.0461,0.0013,30
Au,SA007594-003,0.116,,mg/L,1,0.6,0.0192,0.0011,30
Au,SA007594-004,1.0305,,mg/L,1,0.8,0.1668,0.001,30.02
Au,SA007594-005,0.0026,,mg/L,1,>100,0.0004,0.0012,30
Au,PATRON,0.4882,,mg/L,1,0.8,0.0189,0.0021,
Au,SA007594-006,0.0939,,mg/L,1,1.4,0.0156,0.0013,30.02
Au,SA007594-007,0.0524,,mg/L,1,4.1,0.0087,0.0012,30
Au,SA007594-008,0.1796,,mg/L,1,2.7,0.0297,0.0009,30
Au,SA007594-009,0.0075,,mg/L,1,12.1,0.0012,0.0012,30
Au,SA007594-010,0.5875,,mg/L,1,1.4,0.0963,0.0002,30.01
Au,PATRON,0.5161,,mg/L,1,2.1,0.02,0.0013,
Au,BLANCO,-0.0044,,mg/L,1,>100,-0.0002,0.0002,
Au,BLANCO REACTIVO,0,,mg/L,1,74.9,-0.0003,0.0006,
Au,SA007594-011,0.1034,,mg/L,1,0.9,0.0172,0.0019,30.03
Au,SA007594-012,0.1798,,mg/L,1,1.6,0.0298,0.001,30.02
Au,SA007594-013,0.0913,,mg/L,1,0.7,0.0152,0.0011,30.01
Au,SA007594-014,0.3074,,mg/L,1,1,0.0507,0.001,30
Au,SA007594-015,0.139,,mg/L,1,2.3,0.023,0.0012,30.02
Au,PATRON,0.4964,,mg/L,1,1,0.0192,0.0016,
Au,SA007594-016,0.0041,,mg/L,1,33.8,0.0007,0.0013,3
Au,SA007594-017,0.2193,,mg/L,1,0.5,0.0363,0.0012,30.04
Au,SA007594-018,0.1149,,mg/L,1,1.2,0.019,0.0014,30.01
Au,SA007594-019,0.1231,,mg/L,1,1.5,0.0204,0.0007,30
Au,SA007594-020,0.1986,,mg/L,1,1.2,0.0329,0.0011,30.02
Au,PATRON,0.5077,,mg/L,1,0.5,0.0196,0.0016,
Au,BLANCO,0.004,,mg/L,1,>100,0.0002,0.0003,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0002,0.0002,
Au,SA007594-021,0.1179,,mg/L,1,0.4,0.0196,0.0012,30.02
Au,SA007594-022,0.0601,,mg/L,1,1.2,0.01,0.0008,30.03
Au,SA007594-023,0.1189,,mg/L,1,1.4,0.0197,0.0013,30.02
Au,SA007594-024,0.104,,mg/L,1,1.4,0.0173,0.0011,30.03
Au,SA007594-025,0.226,,mg/L,1,0.9,0.0374,0.0005,30.02
Au,PATRON,0.516,,mg/L,1,1.4,0.02,0.0011,
Au,SA007594-026,0.2124,,mg/L,1,0.5,0.0351,0.0009,30
Au,SA007594-027,0.2589,,mg/L,1,1,0.0428,0.0011,30.03
Au,SA007594-028,0.0703,,mg/L,1,1.2,0.0117,0.0009,30
Au,SA007594-029,0.0684,,mg/L,1,1.3,0.0114,0.0006,30.01
Au,SA007594-030,0.0765,,mg/L,1,2.4,0.0127,0.0006,30.01
Au,PATRON,0.5005,,mg/L,1,1.8,0.0196,0.0023,
Au,BLANCO,-0.0041,,mg/L,1,85.6,-0.0002,0.0006,
Au,BLANCO REACTIVO,0,,mg/L,1,71.9,-0.0005,-0.0001,
Au,SA007594-031,0.0419,,mg/L,1,4.7,0.007,0.0004,30
Au,PATRON,0.5061,,mg/L,1,15.5,0.0198,0.0008,
Au,BLANCO,0.0043,,mg/L,1,>100,0.0002,0.0007,
Au,BLANCO REACTIVO,0,,mg/L,1,>100,-0.0001,-0.0001,
