PATRON,5.025,,mg/L,0.3,0.1002,0.1005,0.1001,0.0999
BLANCO,-0.0043,,mg/L,63.7,-0.0001,0,-0.0002,-0.0001
BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0.0001,-0.0003,-0.0001
H,4.1162,,mg/L,0.5,0.0824,0.0828,0.0821,0.0822
C1,4.1499,,mg/L,0.8,0.083,0.0823,0.0833,0.0835
C2,4.13,,mg/L,0.6,0.0826,0.0832,0.0821,0.0826
PATRON,5.0526,,mg/L,0.3,0.1007,0.1009,0.1008,0.1004
BLANCO,-0.008,,mg/L,>100,-0.0002,-0.0002,-0.0003,0.0001
BLANCO REACTIVO,0,,mg/L,55.4,-0.0003,-0.0004,-0.0001,-0.0004
C3,4.1826,,mg/L,0.9,0.0837,0.0831,0.0835,0.0845
C4,4.1497,,mg/L,0.9,0.083,0.0821,0.0834,0.0836
T,4.1598,,mg/L,1,0.0832,0.0827,0.0842,0.0827
PATRON,5.0699,,mg/L,0.6,0.101,0.1004,0.1015,0.1013
BLANCO,0.0013,,mg/L,>100,0,0,0,0
BLANCO REACTIVO,0,,mg/L,38.4,-0.0003,-0.0002,-0.0002,-0.0004
ELY1,3.9736,,mg/L,0.5,0.0796,0.08,0.0794,0.0793
ELY2,4.134,,mg/L,0.5,0.0827,0.0832,0.0826,0.0824
ELY3,3.9504,,mg/L,0.6,0.0791,0.0797,0.0787,0.079
PATRON,5.0615,,mg/L,0.9,0.1009,0.0998,0.1015,0.1013
BLANCO,-0.0011,,mg/L,>100,0,0.0001,-0.0001,0
BLANCO REACTIVO,0,,mg/L,43.6,-0.0003,-0.0002,-0.0002,-0.0004
ELY4,4.1472,,mg/L,1.2,0.083,0.0825,0.0823,0.0841
ELY5,4.0741,,mg/L,1,0.0815,0.081,0.0825,0.0812
PATRON,5.0234,,mg/L,2.2,0.1001,0.1015,0.1013,0.0976
BLANCO,-0.0101,,mg/L,17.6,-0.0002,-0.0002,-0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,8.8,-0.0005,-0.0006,-0.0005,-0.0005
