Analista,JS,,,,,,,,
Fecha de inicio,10:39 a. m. 23/12/2025  GMT: 04:39 p. m. 23/12/2025,,,,,,,,
Hoja de trabajo,SA007345,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
Au,PATRON,0.5046,,mg/L,1,0.8,0.0198,0.0004,
Au,BLANCO,-0.0015,,mg/L,1,77.7,-0.0001,-0.0017,
Au,BLANCO REACTIVO,0,,mg/L,1,2.6,0.0017,0.0002,
Au,SA007345-001,0.42,,mg/L,1,0.8,0.0737,-0.0011,30
Au,SA007345-002,0.5014,,mg/L,1,0.9,0.089,-0.0019,30.02
Au,SA007345-003,0.004,,mg/L,1,17.6,0.0007,-0.0005,30
Au,SA007345-004,0.5305,,mg/L,1,0.8,0.0944,-0.0017,30
Au,SA007345-005,0.1204,,mg/L,1,2.1,0.0203,-0.001,30.01
Au,PATRON,0.4981,,mg/L,1,1.2,0.0195,0.0004,
Au,SA007345-006,0.118,,mg/L,1,2,0.0199,-0.0006,30.03
Au,SA007345-007,-0.0024,,mg/L,1,69.2,-0.0004,-0.0007,3
Au,SA007345-008,0.0965,,mg/L,1,1.3,0.0162,-0.0009,30
Au,SA007345-009,0.0971,,mg/L,1,2.6,0.0163,-0.0009,30.01
Au,SA007345-010,0.2342,,mg/L,1,0.3,0.0401,-0.0005,30
Au,PATRON,0.4913,,mg/L,1,1.2,0.0193,0.0014,
Au,BLANCO,-0.0152,,mg/L,1,73.2,-0.0006,-0.001,
Au,BLANCO REACTIVO,0,,mg/L,1,24.2,0.0013,0.0002,
Au,SA007345-011,0.1838,,mg/L,1,0.6,0.0313,-0.0002,30.03
Au,SA007345-012,0.0324,,mg/L,1,1.3,0.0054,-0.0003,30.01
Au,SA007345-013,0.1333,,mg/L,1,3.1,0.0225,-0.0001,30.04
Au,SA007345-014,0.6405,,mg/L,1,1.5,0.1154,0.0003,30.02
Au,SA007345-015,0.9691,,mg/L,1,0.9,0.1794,-0.0011,30.04
Au,PATRON,0.4906,,mg/L,1,1.6,0.0192,0.001,
Au,SA007345-016,5.3181,,mg/L,1,0.5,0.0947,-0.0004,30.02
Au,SA007345-017,0.0793,,mg/L,1,2.6,0.0132,-0.0003,30.01
Au,SA007345-018,0.1052,,mg/L,1,1.4,0.0176,-0.0003,30
Au,PATRON,0.4926,,mg/L,1,1.7,0.0193,0.0011,
Au,BLANCO,-0.0145,,mg/L,1,27.5,-0.0006,-0.0007,
Au,BLANCO REACTIVO,0,,mg/L,1,42.8,0.0008,0.0005,
