"Analista",""
"Fecha de inicio","23/01/2026 03:22 p. m.  GMT: 23/01/2026 09:22 p. m."
"Hoja de trabajo","SA007750"
"Comentario",""
"Métodos","Au,Ag,Cu"

"Método: Cu Cu-CN (Llama)"

"PATRON",1.0047,"","mg/L",3.0,0.0006,0.0202,0.0209,0.0201,0.0197
"BLANCO",0.0017,"","mg/L",">100",0.0001,0.0000,0.0000,0.0000,0.0001
"BLANCO REACTIVO",0.0000,"","mg/L",79.0,0.0001,0.0001,0.0002,0.0003,0.0000
"H",1.2051,"","mg/L",0.3,0.0001,0.0243,0.0243,0.0243,0.0242
"C1",1.2092,"","mg/L",0.4,0.0001,0.0243,0.0243,0.0243,0.0244
"C2",1.1928,"","mg/L",0.5,0.0001,0.0240,0.0241,0.0240,0.0239
"PATRON",1.0056,"","mg/L",0.6,0.0001,0.0203,0.0201,0.0203,0.0204
"BLANCO",-0.0036,"","mg/L",">100",0.0001,-0.0001,0.0000,-0.0002,0.0000
"BLANCO REACTIVO",0.0000,"","mg/L",">100",0.0001,0.0001,0.0002,0.0001,0.0000
"C3",1.1590,"","mg/L",0.5,0.0001,0.0233,0.0233,0.0232,0.0235
"C4",1.1376,"","mg/L",2.1,0.0005,0.0229,0.0224,0.0232,0.0232
"T",1.1424,"","mg/L",0.7,0.0002,0.0230,0.0232,0.0229,0.0229
"PATRON",1.0074,"","mg/L",1.5,0.0003,0.0203,0.0204,0.0200,0.0205
"BLANCO",-0.0029,"","mg/L",36.8,0.0000,-0.0001,-0.0001,0.0000,-0.0001
"BLANCO REACTIVO",0.0000,"","mg/L",52.2,0.0001,0.0003,0.0004,0.0001,0.0003
"ELY1",1.1576,"","mg/L",0.7,0.0002,0.0233,0.0232,0.0235,0.0232
"ELY2",1.1455,"","mg/L",0.3,0.0001,0.0231,0.0231,0.0231,0.0230
"ELY3",1.1392,"","mg/L",0.3,0.0001,0.0229,0.0230,0.0230,0.0229
"PATRON",1.0056,"","mg/L",2.4,0.0005,0.0203,0.0200,0.0200,0.0208
"BLANCO",0.0011,"","mg/L",">100",0.0000,0.0000,0.0001,0.0000,0.0000
"BLANCO REACTIVO",0.0000,"","mg/L",51.6,0.0001,0.0003,0.0002,0.0004,0.0002
"ELY4",1.1468,"","mg/L",0.4,0.0001,0.0231,0.0232,0.0230,0.0231
"ELY5",1.1487,"","mg/L",0.4,0.0001,0.0231,0.0230,0.0232,0.0232
"PATRON",1.0035,"","mg/L",2.1,0.0004,0.0202,0.0207,0.0198,0.0202
"BLANCO",0.0036,"","mg/L",83.2,0.0001,0.0001,0.0000,0.0001,0.0001
"BLANCO REACTIVO",0.0000,"","mg/L",26.8,0.0001,0.0003,0.0003,0.0002,0.0004
