PATRON,0.4915,,mg/L,0.6,0.0722,0.0011,1,1,1,0.0719,0.072,0.0727
BLANCO,0.0012,,mg/L,>100,0.0002,-0.0002,1,1,1,0.0001,0.0007,-0.0002
BLANCO REACTIVO,0,,mg/L,80.3,0.0006,-0.0005,1,1,1,0,0.0009,0.0008
CELDA 8,-0.0008,,mg/L,>100,-0.0001,0.002,1,1,1,0.0009,0.0004,-0.0016
CANAL,0.0026,,mg/L,89,0.0004,0.0009,1,1,1,0.0008,0.0003,0.0001
FASE 1,0.0066,,mg/L,73.9,0.001,0.0005,1,1,1,0.0004,0.0008,0.0019
PATRON,0.4981,,mg/L,0.9,0.0731,-0.0009,1,1,1,0.0733,0.0738,0.0724
FASE 2,0.0036,,mg/L,56,0.0006,0.001,1,1,1,0.0006,0.0009,0.0002
FASE 3,0.0076,,mg/L,93,0.0012,-0.0006,1,1,1,0.0022,0.0001,0.0012
PATRON,0.4899,,mg/L,1.5,0.072,-0.0007,1,1,1,0.0732,0.0718,0.0711
BLANCO,0.0026,,mg/L,84.1,0.0004,-0.0014,1,1,1,0.0008,0.0003,0.0001
BLANCO REACTIVO,0,,mg/L,31.5,0.0017,-0.0016,1,1,1,0.0021,0.0018,0.0011
VSP NORTE,-0.0041,,mg/L,>100,-0.0006,0.0005,1,1,1,-0.0007,-0.0014,0.0001
CELDA 8.1,-0.0005,,mg/L,>100,-0.0001,-0.0001,1,1,1,-0.0004,0.0004,-0.0002
CELDA 8.2,0.0608,,mg/L,8.6,0.0094,-0.0008,1,1,1,0.0089,0.0104,0.009
CELDA 8.3,-0.001,,mg/L,>100,-0.0002,0.001,1,1,1,-0.0005,-0.0006,0.0006
PATRON,0.4903,,mg/L,0.6,0.0721,-0.0022,1,1,1,0.0721,0.0725,0.0716
S. RICA,-0.0023,,mg/L,90.3,-0.0004,0.0007,1,1,1,0,-0.0007,-0.0004
PATRON,0.4913,,mg/L,0.7,0.0722,-0.0015,1,1,1,0.0719,0.072,0.0727
BLANCO,0.0007,,mg/L,>100,0.0001,-0.0032,1,1,1,-0.0001,-0.0002,0.0006
BLANCO REACTIVO,0,,mg/L,12.2,0.0018,-0.0015,1,1,1,0.0018,0.002,0.0016
TRITURADORA,-0.0006,,mg/L,>100,-0.0001,0.0002,1,1,1,0.0005,-0.0003,-0.0004
VICTORIA,-0.0033,,mg/L,>100,-0.0005,0.0004,1,1,1,-0.0001,-0.0002,-0.0012
CELDA 1,0.0021,,mg/L,>100,0.0003,-0.0004,1,1,1,-0.0002,0.0001,0.001
CELDA 2,0.0058,,mg/L,79.1,0.0009,-0.0007,1,1,1,0.0017,0.0006,0.0004
CELDA 3,0.0011,,mg/L,>100,0.0002,-0.0002,1,1,1,-0.0008,0.0002,0.0011
CELDA 4A,0.0023,,mg/L,>100,0.0004,0.0001,1,1,1,-0.0007,0.0017,0.0001
CELDA 4B,0.002,,mg/L,>100,0.0003,0.0003,1,1,1,-0.0001,0.0002,0.0008
CELDA 5A,0.002,,mg/L,78.7,0.0003,0.0004,1,1,1,0.0003,0.0001,0.0005
CELDA 5B,0.0049,,mg/L,49,0.0008,0,1,1,1,0.0012,0.0008,0.0004
PATRON,0.4829,,mg/L,0.6,0.071,-0.0023,1,1,1,0.0706,0.0714,0.0711
BLANCO,0.0004,,mg/L,>100,0.0001,-0.0032,1,1,1,0.0002,0.0001,-0.0001
BLANCO REACTIVO,0,,mg/L,55.2,0.002,-0.0016,1,1,1,0.0018,0.0031,0.001
