PATRON,0.0518,,mg/L,6.7,0.0002,0.0027,-0.0013
BLANCO,0.0041,,mg/L,>100,0.0002,0.0002,-0.0004
BLANCO REACTIVO,0,,mg/L,63.1,0.0006,-0.001,-0.0002
H KCA PO,0.0503,,mg/L,14.6,0.0004,0.0026,0.0019
H KCA PO,0.0525,,mg/L,16.6,0.0004,0.0027,-0.0013
H KCA PO,0.0488,,mg/L,8.3,0.0002,0.0025,0.0018
PATRON,0.0535,,mg/L,14.8,0.0004,0.0027,-0.0019
H KCA PO,0.0518,,mg/L,5.5,0.0001,0.0027,-0.0026
H KCA PO,0.0496,,mg/L,9.6,0.0002,0.0025,-0.0009
PATRON,0.0502,,mg/L,7.8,0.0002,0.0026,-0.0025
BLANCO,-0.0036,,mg/L,34.1,0.0001,-0.0003,-0.0015
BLANCO REACTIVO,0,,mg/L,>100,0.0003,-0.0002,-0.0016
M1 PO,0.0349,,mg/L,9.4,0.0002,0.0018,0.0014
M2 PO,0.0305,,mg/L,30,0.0005,0.0015,0.0009
M3 PO,0.0235,,mg/L,2,0,0.0012,0.001
M4 PO,0.0156,,mg/L,70.8,0.0005,0.0008,0.0009
PATRON,0.0469,,mg/L,2.8,0.0001,0.0024,-0.0027
P KCA PO,0.0162,,mg/L,14.5,0.0001,0.0008,0.0007
PATRON,0.0471,,mg/L,7.7,0.0002,0.0024,-0.0028
BLANCO,-0.0016,,mg/L,>100,0.0003,-0.0001,-0.0022
BLANCO REACTIVO,0,,mg/L,53.9,0.0002,-0.0004,-0.0019
CELDA 8,0.0339,,mg/L,19.7,0.0003,0.0017,0.0008
CANAL,0.0661,,mg/L,5.9,0.0002,0.0034,0.0008
FASE 1,0.0381,,mg/L,14.4,0.0003,0.0019,0.0003
FASE 2,0.0442,,mg/L,7,0.0002,0.0023,-0.0003
FASE 3,0.0444,,mg/L,16.6,0.0004,0.0023,0.0002
VSP NORTE,0.035,,mg/L,22.5,0.0004,0.0018,0.0005
CELDA 8.1,0.0452,,mg/L,21.3,0.0005,0.0023,-0.001
CELDA 8.2,0.0424,,mg/L,5.5,0.0001,0.0022,-0.001
CELDA 8.3,0.029,,mg/L,18.2,0.0003,0.0015,0
S. RICA,0.0426,,mg/L,9.2,0.0002,0.0022,-0.0007
PATRON,0.0469,,mg/L,13.5,0.0003,0.0024,-0.0056
BLANCO,-0.0104,,mg/L,33.7,0.0002,-0.0006,-0.0046
BLANCO REACTIVO,0,,mg/L,36.3,0.0004,0.001,-0.0037
H KCA PE,0.0332,,mg/L,16.6,0.0003,0.0017,-0.0033
H KCA PE,0.0357,,mg/L,11.3,0.0002,0.0018,-0.0028
H KCA PE,0.0334,,mg/L,11.4,0.0002,0.0017,-0.0029
PATRON,0.0496,,mg/L,13.8,0.0003,0.0025,-0.0062
H KCA PE,0.0363,,mg/L,6,0.0001,0.0018,-0.0028
H KCA PE,0.0352,,mg/L,8.9,0.0002,0.0018,-0.0032
PATRON,0.0508,,mg/L,14.2,0.0004,0.0026,-0.0068
BLANCO,0.0028,,mg/L,>100,0.0002,0.0001,-0.0062
BLANCO REACTIVO,0,,mg/L,17.8,0.0002,-0.0012,-0.0025
M1 PE,0.0263,,mg/L,7.2,0.0001,0.0013,-0.0039
M2 PE,0.0172,,mg/L,31.1,0.0003,0.0008,-0.0038
M3 PE,0.0157,,mg/L,42.8,0.0003,0.0008,-0.0038
M4 PE,0.012,,mg/L,23.5,0.0001,0.0006,-0.0038
PATRON,0.0516,,mg/L,11.4,0.0003,0.0026,-0.0023
P KCA PE,0.0111,,mg/L,63.9,0.0003,0.0005,0.0013
PATRON,0.0538,,mg/L,10.9,0.0003,0.0028,-0.0025
BLANCO,-0.0039,,mg/L,89.5,0.0002,-0.0003,-0.0013
BLANCO REACTIVO,0,,mg/L,22.3,0.0002,-0.0009,-0.0024
ELY 1,0.0303,,mg/L,13.8,0.0002,0.0015,0.0005
ELY 2,0.0321,,mg/L,7.6,0.0001,0.0016,-0.0001
ELY 3,0.0279,,mg/L,26.4,0.0004,0.0014,0
ELY 4,0.0305,,mg/L,26.4,0.0004,0.0015,-0.0001
PATRON,0.055,,mg/L,6.7,0.0002,0.0028,-0.0027
ELY P,0.0141,,mg/L,32.4,0.0002,0.0007,0.0011
PATRON,0.0464,,mg/L,2.9,0.0001,0.0024,-0.0024
BLANCO,0.0006,,mg/L,>100,0.0003,0,-0.0017
BLANCO REACTIVO,0,,mg/L,28.7,0.0003,-0.001,-0.002
NOROESTE,0.0262,,mg/L,18.4,0.0002,0.0013,0.0007
TRITURADORA,0.0176,,mg/L,47.7,0.0004,0.0009,0.0007
VICTORIA,0.0494,,mg/L,17.8,0.0005,0.0025,-0.0001
CELDA 1,0.0363,,mg/L,11,0.0002,0.0018,0.0003
CELDA 2,0.0815,,mg/L,11,0.0005,0.0042,0.0004
CELDA 3,0.0235,,mg/L,32,0.0004,0.0012,0.0009
CELDA 4A,0.0398,,mg/L,18.1,0.0004,0.002,0.001
CELDA 4B,0.0332,,mg/L,32.2,0.0005,0.0017,0.0013
CELDA 5A,0.0315,,mg/L,10.6,0.0002,0.0016,-0.0003
CELDA 5B,0.0351,,mg/L,7.8,0.0001,0.0018,-0.0006
PATRON,0.0547,,mg/L,6.8,0.0002,0.0028,-0.0029
BLANCO,0.0047,,mg/L,>100,0.0004,0.0002,-0.0023
BLANCO REACTIVO,0,,mg/L,67.5,0.0001,-0.0002,-0.0033
