PATRON,0.9877,,mg/L,0.8,0.0009,0.1202,0.003,1,1,1,0.1196,0.1196,0.1212
BLANCO,-0.0018,,mg/L,>100,0.0005,-0.0002,0.0002,1,1,1,0.0002,-0.0002,-0.0007
BLANCO REACTIVO,0,,mg/L,35.1,0.0002,-0.0006,0.0003,1,1,1,-0.0004,-0.0007,-0.0007
H KCA PO,0.0133,,mg/L,25.1,0.0004,0.0016,0.0028,1,1,1,0.0015,0.0013,0.0021
H KCA PO,0.0131,,mg/L,19.9,0.0003,0.0016,0.0028,1,1,1,0.0015,0.0014,0.002
H KCA PO,0.0156,,mg/L,32.1,0.0006,0.0019,0.0023,1,1,1,0.0025,0.0019,0.0013
PATRON,1.0072,,mg/L,1.5,0.0018,0.1225,0.0012,1,1,1,0.1246,0.1218,0.1211
H KCA PO,0.0164,,mg/L,38.3,0.0008,0.002,0.0021,1,1,1,0.0011,0.0023,0.0025
H KCA PO,0.0048,,mg/L,43.3,0.0003,0.0006,0.0024,1,1,1,0.0003,0.0008,0.0006
PATRON,0.987,,mg/L,0.4,0.0004,0.118,0.0036,1,1,1,0.1175,0.1184,0.1181
BLANCO,0.0016,,mg/L,>100,0.0005,0.0002,0.0004,1,1,1,0.0007,0.0001,-0.0002
BLANCO REACTIVO,0,,mg/L,>100,0.0004,-0.0002,0.0007,1,1,1,-0.0001,0.0002,-0.0006
M1 PO,0.0187,,mg/L,12.5,0.0003,0.0023,0.0019,1,1,1,0.0026,0.0022,0.002
M2 PO,0.0205,,mg/L,10.1,0.0003,0.0025,0.0019,1,1,1,0.0023,0.0028,0.0024
M3 PO,0.0237,,mg/L,20.6,0.0006,0.0029,0.0016,1,1,1,0.0024,0.0027,0.0035
M4 PO,0.0201,,mg/L,27.5,0.0007,0.0024,0.0017,1,1,1,0.0017,0.0025,0.0031
PATRON,0.9868,,mg/L,0.2,0.0002,0.119,0.0049,1,1,1,0.1193,0.1189,0.1188
P KCA PO,0.0124,,mg/L,20.1,0.0003,0.0015,0.0004,1,1,1,0.0012,0.0019,0.0015
PATRON,1.0122,,mg/L,0.9,0.0011,0.1249,-0.0017,1,1,1,0.1261,0.1239,0.1247
BLANCO,-0.0008,,mg/L,>100,0.0002,-0.0001,-0.0005,1,1,1,0.0001,-0.0004,0
BLANCO REACTIVO,0,,mg/L,97.6,0.0006,0.0006,-0.0008,1,1,1,0,0.0006,0.0012
CELDA 8,0.0028,,mg/L,30.6,0.0001,0.0003,0.0003,1,1,1,0.0004,0.0004,0.0002
PATRON,1.0004,,mg/L,1.1,0.0013,0.1235,-0.0025,1,1,1,0.1247,0.122,0.1237
BLANCO,0.0021,,mg/L,>100,0.0006,0.0003,-0.002,1,1,1,0.0002,0.0009,-0.0004
BLANCO REACTIVO,0,,mg/L,63.7,0.0003,0.0005,-0.001,1,1,1,0.0007,0.0006,0.0001
H KCA PE,0.0109,,mg/L,7.8,0.0001,0.0014,0.0006,1,1,1,0.0013,0.0015,0.0013
H KCA PE,0.0158,,mg/L,42.2,0.0008,0.0019,-0.0006,1,1,1,0.0024,0.0024,0.001
H KCA PE,0.0173,,mg/L,13.9,0.0003,0.0021,-0.0006,1,1,1,0.0019,0.002,0.0025
PATRON,0.987,,mg/L,0.5,0.0006,0.1218,-0.0028,1,1,1,0.1223,0.122,0.1212
H KCA PE,0.0102,,mg/L,32.3,0.0004,0.0013,0.0003,1,1,1,0.0017,0.0012,0.0009
H KCA PE,0.016,,mg/L,13.9,0.0003,0.002,-0.0005,1,1,1,0.0018,0.0018,0.0023
PATRON,0.9903,,mg/L,1.5,0.0018,0.1201,0.0036,1,1,1,0.1184,0.1199,0.122
BLANCO,0.0027,,mg/L,>100,0.0007,0.0003,0.0032,1,1,1,0.0002,0.0011,-0.0003
BLANCO REACTIVO,0,,mg/L,40.4,0.0005,0.0013,-0.0009,1,1,1,0.001,0.0009,0.0019
M1 PE,0.0101,,mg/L,38.4,0.0005,0.0012,-0.0002,1,1,1,0.0016,0.0014,0.0007
M2 PE,0.0111,,mg/L,57.4,0.0008,0.0014,-0.0004,1,1,1,0.0005,0.0015,0.002
M3 PE,0.0116,,mg/L,15.3,0.0002,0.0014,-0.0006,1,1,1,0.0015,0.0016,0.0012
M4 PE,0.0094,,mg/L,36,0.0004,0.0011,-0.0003,1,1,1,0.0007,0.0011,0.0016
PATRON,0.9916,,mg/L,1.2,0.0015,0.1203,-0.0012,1,1,1,0.1218,0.1202,0.1188
P KCA PE,0.0057,,mg/L,75.3,0.0005,0.0007,0.0013,1,1,1,0.0002,0.0007,0.0012
PATRON,1.0177,,mg/L,0.8,0.001,0.1248,0.0001,1,1,1,0.1244,0.1259,0.1241
BLANCO,-0.0074,,mg/L,43.8,0.0004,-0.0009,-0.0007,1,1,1,-0.0011,-0.0005,-0.0012
BLANCO REACTIVO,0,,mg/L,13.1,0.0001,-0.001,-0.001,1,1,1,-0.0011,-0.001,-0.0008
ELY 1,0.0101,,mg/L,21,0.0003,0.0012,0.0019,1,1,1,0.0014,0.0014,0.0009
ELY 2,0.0154,,mg/L,9.4,0.0002,0.0019,0.0017,1,1,1,0.002,0.002,0.0017
ELY 3,0.0173,,mg/L,15.5,0.0003,0.0021,0.0016,1,1,1,0.002,0.0025,0.0019
ELY 4,0.0192,,mg/L,17.6,0.0004,0.0024,0.0016,1,1,1,0.002,0.0028,0.0022
PATRON,0.9957,,mg/L,1.1,0.0013,0.1237,0.0043,1,1,1,0.1245,0.1221,0.1244
ELY P,0.0045,,mg/L,26.7,0.0002,0.0006,0.0019,1,1,1,0.0005,0.0004,0.0007
PATRON,0.9975,,mg/L,0.3,0.0004,0.1239,0.0039,1,1,1,0.1235,0.124,0.1243
BLANCO,-0.0011,,mg/L,>100,0.0005,-0.0001,0.0005,1,1,1,-0.0002,-0.0006,0.0004
BLANCO REACTIVO,0,,mg/L,>100,0.0007,-0.0001,0.0003,1,1,1,0.0006,-0.0005,-0.0005
