Analista,JCAN,,,,,,,,
Fecha de inicio,26/03/2023 01:39 p. m.  GMT: 26/03/2023 07:39 p. m.,,,,,,,,
Hoja de trabajo,SA000769_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.9873,,mg/L,0.2,0.1189,0.1192,0.1187,0.1189
,BLANCO,-0.0064,,mg/L,3.1,-0.0008,-0.0008,-0.0008,-0.0008
,BLANCO REACTIVO,0,,mg/L,12.8,-0.0007,-0.0007,-0.0007,-0.0008
,SA000769-001,1.2973,,mg/L,26.6,0.0064,0.0084,0.0056,0.0052
,SA000769-002,1.0763,,mg/L,0.6,0.0053,0.0053,0.0053,0.0054
,SA000769-003,1.2233,,mg/L,0.8,0.006,0.006,0.006,0.0061
,SA000769-004,24.6095,,mg/L,0.4,0.1189,0.1186,0.1195,0.1185
,SA000769-005,1.7146,,mg/L,1.1,0.0085,0.0084,0.0084,0.0086
,PATRON,1.0205,,mg/L,0.5,0.115,0.1154,0.1153,0.1143
,SA000769-006,1.7176,,mg/L,1.5,0.0079,0.0079,0.0078,0.008
,SA000769-007,1.8328,,mg/L,1.1,0.0084,0.0085,0.0084,0.0083
,SA000769-008,2.0381,,mg/L,1.3,0.0094,0.0094,0.0095,0.0093
,SA000769-009,1.8303,,mg/L,0.7,0.0084,0.0085,0.0083,0.0084
,SA000769-010,1.7434,,mg/L,1.2,0.008,0.0081,0.0081,0.0079
,PATRON,1.0112,,mg/L,0.4,0.114,0.1138,0.1136,0.1145
,BLANCO,0.0014,,mg/L,>100,0.0002,0.0003,0,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,0,0.0001,0
,SA000769-011,5.0721,,mg/L,0.6,0.0233,0.0232,0.0235,0.0233
,SA000769-012,1.8953,,mg/L,2.1,0.0087,0.0087,0.0089,0.0086
,SA000769-013,1.7835,,mg/L,1.4,0.0082,0.0081,0.0082,0.0083
,SA000769-014,1.1979,,mg/L,0.6,0.0055,0.0055,0.0055,0.0055
,SA000769-015,0.0368,,mg/L,>100,0.0002,0,0.0001,0.0004
,PATRON,1.0036,,mg/L,0.8,0.1131,0.1121,0.1134,0.1139
,SA000769-016,1.1131,,mg/L,0.2,0.0051,0.0051,0.0051,0.0051
,SA000769-017,1.0613,,mg/L,2.6,0.0049,0.0048,0.005,0.0049
,SA000769-018,2.9745,,mg/L,0.9,0.0137,0.0138,0.0135,0.0137
,SA000769-019,0.1275,,mg/L,4.4,0.0006,0.0006,0.0006,0.0006
,SA000769-020,0.9476,,mg/L,1.7,0.0044,0.0043,0.0044,0.0044
,PATRON,1.0132,,mg/L,0.8,0.1142,0.1146,0.1131,0.1149
,BLANCO,0.0006,,mg/L,>100,0.0001,0.0001,0,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0001,0.0001,0.0001
,SA000769-021,1.8533,,mg/L,2,0.0085,0.0085,0.0084,0.0087
,SA000769-022,1.0335,,mg/L,3.2,0.0048,0.0049,0.0046,0.0048
,SA000769-023,1.5244,,mg/L,1.4,0.007,0.0071,0.007,0.007
,SA000769-024,2.7155,,mg/L,1.3,0.0125,0.0123,0.0126,0.0125
,SA000769-025,0.9051,,mg/L,2.5,0.0042,0.0041,0.0043,0.0041
,PATRON,0.9933,,mg/L,0.4,0.112,0.1123,0.1116,0.1122
,SA000769-026,0.9533,,mg/L,2.6,0.0044,0.0045,0.0043,0.0044
,SA000769-027,1.3679,,mg/L,2.5,0.0063,0.0062,0.0065,0.0062
,SA000769-028,1.4208,,mg/L,2.7,0.0066,0.0064,0.0065,0.0068
,SA000769-029,1.3801,,mg/L,0.6,0.0063,0.0063,0.0063,0.0064
,SA000769-030,1.6198,,mg/L,0,0.0075,0.0075,0.0075,0.0075
,PATRON,0.9953,,mg/L,0.8,0.1122,0.1112,0.1128,0.1126
,BLANCO,0.0013,,mg/L,29.3,0.0001,0.0001,0.0002,0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0,0,-0.0001,0
,SA000769-031,2.0275,,mg/L,2.9,0.0093,0.0094,0.0095,0.009
,SA000769-032,14.0389,,mg/L,0.4,0.0642,0.0642,0.0644,0.0639
,PATRON,0.9924,,mg/L,0.2,0.1119,0.1122,0.1118,0.1118
