PATRON,4.9792,,mg/L,0.2,0.0415,0.0415,0.0415,0.0416
BLANCO,-0.0255,,mg/L,41.9,-0.0002,-0.0002,-0.0003,-0.0001
BLANCO REACTIVO,0,,mg/L,9.2,-0.0004,-0.0004,-0.0005,-0.0004
CANAL,0.0187,,mg/L,11.5,0.0002,0.0002,0.0001,0.0002
FASE 1,0.0068,,mg/L,95.4,0.0001,0.0001,0,0
FASE 2,0.0069,,mg/L,88.4,0.0001,0.0001,0,0.0001
FASE 3,0.0278,,mg/L,16.6,0.0002,0.0002,0.0002,0.0003
VSP NORTE,-0.0026,,mg/L,>100,0,-0.0001,0.0001,-0.0001
CELDA 8.1,-0.0026,,mg/L,>100,0,0,0,0
CELDA 8.2,-0.0054,,mg/L,>100,0,0,-0.0002,0
CELDA 8.3,0.3019,,mg/L,3.5,0.0025,0.0025,0.0026,0.0025
PATRON,5.071,,mg/L,0.5,0.0423,0.0425,0.0424,0.0421
BLANCO,0.0181,,mg/L,24.5,0.0002,0.0002,0.0001,0.0002
BLANCO REACTIVO,0,,mg/L,27,-0.0003,-0.0002,-0.0004,-0.0003
