Analista,GGP,,,,,,,,,,,,
Fecha de inicio,11/10/2024 08:28 a. m.  GMT: 11/10/2024 02:28 p. m.,,,,,,,,,,,,
Hoja de trabajo,SA005654_3,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Au,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.5012,,mg/L,2.5,0.0165,-0.0024,,,,0.0164,0.0161,0.0169
,BLANCO,0.0024,,mg/L,83.1,0.0001,-0.0025,,,,0,0.0001,0.0002
,BLANCO REACTIVO,0,,mg/L,23.6,0.0006,-0.0018,,,,0.0007,0.0006,0.0004
,SA005654-001,0.0025,,mg/L,>100,0.0002,-0.0031,20,,,0.0003,0,0.0004
,SA005654-002,0.0892,,mg/L,4.6,0.0084,-0.0031,20.04,,,0.0079,0.0085,0.0087
,SA005654-003,0.0725,,mg/L,1.4,0.0068,-0.0027,20.03,,,0.0068,0.0069,0.0067
,SA005654-004,0.0722,,mg/L,1.5,0.0062,-0.0026,20.03,,,0.0062,0.0063,0.0061
,SA005654-005,0.0469,,mg/L,8,0.0044,-0.0025,20.01,,,0.0044,0.004,0.0047
,PATRON,0.4899,,mg/L,1.1,0.0161,-0.0021,,,,0.0159,0.0161,0.0163
,SA005654-006,0.0602,,mg/L,0.5,0.0056,-0.0026,20.01,,,0.0056,0.0057,0.0057
,SA005654-007,-0.0081,,mg/L,32,-0.0008,-0.0028,20.01,,,-0.0006,-0.0006,-0.001
,SA005654-008,0.1385,,mg/L,1.6,0.013,-0.0026,20.01,,,0.0128,0.0131,0.0132
,SA005654-009,0.0524,,mg/L,8.4,0.0049,-0.0031,20.02,,,0.0053,0.0049,0.0045
,SA005654-010,0.0879,,mg/L,4.6,0.0082,-0.003,20.02,,,0.0083,0.0086,0.0078
,PATRON,0.5009,,mg/L,2.2,0.0165,-0.0017,,,,0.0169,0.0163,0.0162
,BLANCO,0.0049,,mg/L,>100,0.0002,-0.0017,,,,-0.0001,0.0002,0.0004
,BLANCO REACTIVO,0,,mg/L,4.6,-0.0013,-0.0015,,,,-0.0014,-0.0013,-0.0012
,SA005654-011,0.1459,,mg/L,3.3,0.0137,-0.0021,20.02,,,0.0132,0.0139,0.0141
,SA005654-012,-0.0004,,mg/L,>100,0,-0.0017,20.04,,,0.0001,-0.0001,-0.0001
,SA005654-013,0.1135,,mg/L,2.7,0.0107,-0.0017,20.04,,,0.0105,0.011,0.0106
,SA005654-014,0.1101,,mg/L,0.5,0.0094,-0.0015,20.03,,,0.0095,0.0094,0.0094
,SA005654-015,0.1186,,mg/L,2.4,0.0111,-0.0017,20.03,,,0.0114,0.0108,0.0112
,PATRON,0.4981,,mg/L,0.7,0.0164,0.0002,,,,0.0162,0.0164,0.0164
,PATRON,0.485,,mg/L,3.2,0.0159,0.0008,,,,0.0155,0.0158,0.0165
,BLANCO,-0.0036,,mg/L,>100,-0.0001,-0.0004,,,,0.0001,-0.0003,-0.0002
,BLANCO REACTIVO,0,,mg/L,9.5,-0.0013,-0.0015,,,,-0.0013,-0.0015,-0.0012
