Analista,,,,,,,,,
Fecha de inicio,03/05/2023 11:55 a. m.  GMT: 03/05/2023 05:55 p. m.,,,,,,,,
Hoja de trabajo,SA001033_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.9808,,mg/L,0.8,0.1292,0.1305,0.1285,0.1288
,BLANCO,-0.0022,,mg/L,38.3,-0.0003,-0.0003,-0.0002,-0.0004
,BLANCO REACTIVO,0,,mg/L,56,0.0003,0.0002,0.0004,0.0001
,SA001033-001,8.1924,,mg/L,1.1,0.0444,0.0439,0.0444,0.045
,SA001033-002,24.3398,,mg/L,0.6,0.1289,0.1298,0.1287,0.1283
,SA001033-003,6.4657,,mg/L,0.7,0.0345,0.0348,0.0343,0.0344
,SA001033-004,1.8227,,mg/L,1,0.0096,0.0098,0.0096,0.0096
,SA001033-005,7.2326,,mg/L,0.9,0.0392,0.0393,0.0388,0.0394
,PATRON,1.0011,,mg/L,0.2,0.1254,0.1254,0.1257,0.1251
,SA001033-006,5.426,,mg/L,0.5,0.0281,0.0281,0.028,0.0283
,SA001033-007,6.0186,,mg/L,0.7,0.0314,0.0312,0.0314,0.0316
,SA001033-008,3.6877,,mg/L,3.5,0.0187,0.0185,0.0195,0.0182
,SA001033-009,3.8631,,mg/L,0.8,0.0196,0.0196,0.0197,0.0194
,SA001033-010,2.6246,,mg/L,0.9,0.0134,0.0135,0.0133,0.0133
,PATRON,0.9824,,mg/L,0.5,0.1231,0.1228,0.1238,0.1227
,BLANCO,-0.002,,mg/L,>100,-0.0003,-0.0003,0,-0.0005
,BLANCO REACTIVO,0,,mg/L,16.5,-0.0005,-0.0005,-0.0004,-0.0005
,SA001033-011,-0.039,,mg/L,18.7,-0.0002,-0.0002,-0.0002,-0.0002
,SA001033-012,2.0154,,mg/L,0.4,0.0103,0.0103,0.0102,0.0103
,SA001033-013,2.3708,,mg/L,1.8,0.0122,0.0121,0.0121,0.0125
,SA001033-014,2.4728,,mg/L,1.3,0.0128,0.0129,0.0129,0.0126
,SA001033-015,3.8465,,mg/L,1.3,0.0193,0.0194,0.019,0.0195
,PATRON,0.9839,,mg/L,0.6,0.1233,0.1225,0.1234,0.1239
,SA001033-016,4.6139,,mg/L,1.3,0.024,0.0239,0.0237,0.0243
,SA001033-017,3.1239,,mg/L,1.1,0.0161,0.0162,0.0159,0.0161
,SA001033-018,2.4179,,mg/L,1.3,0.0121,0.0121,0.0119,0.0122
,SA001033-019,3.2971,,mg/L,0.1,0.0166,0.0166,0.0165,0.0166
,SA001033-020,3.197,,mg/L,0.7,0.016,0.016,0.0161,0.0159
,PATRON,1.0031,,mg/L,0.7,0.1213,0.1222,0.1207,0.121
,BLANCO,0.0007,,mg/L,>100,0.0001,0.0003,0,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,0,-0.0002,0
,SA001033-021,3.806,,mg/L,0.6,0.019,0.0191,0.0189,0.019
,SA001033-022,3.0819,,mg/L,1,0.0152,0.0151,0.0153,0.0153
,SA001033-023,-0.1844,,mg/L,4.4,-0.0009,-0.0009,-0.001,-0.0009
,SA001033-024,2.5194,,mg/L,1.4,0.0126,0.0127,0.0126,0.0124
,SA001033-025,2.5446,,mg/L,0.2,0.0127,0.0127,0.0127,0.0127
,PATRON,1.0011,,mg/L,0.4,0.1211,0.1212,0.1206,0.1215
,SA001033-026,4,,mg/L,1.2,0.0202,0.0204,0.0201,0.02
,SA001033-027,0.8682,,mg/L,1.6,0.0043,0.0043,0.0043,0.0042
,SA001033-028,5.1036,,mg/L,0.2,0.0257,0.0257,0.0257,0.0256
,SA001033-029,5.0502,,mg/L,0.6,0.0254,0.0253,0.0256,0.0254
,SA001033-030,3.2097,,mg/L,0.8,0.0162,0.0163,0.0162,0.0161
,PATRON,0.9852,,mg/L,0.3,0.1192,0.119,0.1196,0.119
,BLANCO,-0.0031,,mg/L,25.8,-0.0004,-0.0005,-0.0003,-0.0004
,BLANCO REACTIVO,0,,mg/L,34.7,-0.0004,-0.0005,-0.0004,-0.0002
,SA001033-031,4.1231,,mg/L,0.8,0.0203,0.0201,0.0203,0.0204
,SA001033-032,4.3852,,mg/L,0.8,0.0216,0.0218,0.0214,0.0215
,PATRON,0.9924,,mg/L,0.6,0.1201,0.1193,0.1205,0.1205
,BLANCO,-0.0011,,mg/L,94.8,-0.0001,-0.0002,0,-0.0002
,BLANCO REACTIVO,0,,mg/L,15.2,-0.0004,-0.0005,-0.0004,-0.0003
