PATRON,4.8843,,mg/L,0.8,0.0004,0.0529,-0.0035
BLANCO,-0.0042,,mg/L,>100,0.0002,0,-0.001
BLANCO REACTIVO,0,,mg/L,27.9,0.0003,0.001,0.0001
FASE 1,0.1282,,mg/L,17.5,0.0003,0.0015,-0.0025
FASE 2,0.0705,,mg/L,56.5,0.0005,0.0008,-0.0019
FASE 3,0.0496,,mg/L,97.5,0.0006,0.0006,-0.0018
VSP NORTE,0.0723,,mg/L,37.1,0.0003,0.0008,-0.0016
CELDA 8.1,0.1051,,mg/L,62.5,0.0008,0.0012,-0.002
CELDA 8.2,0.0824,,mg/L,28.2,0.0003,0.0009,-0.0021
CELDA 8.3,0.1021,,mg/L,50.2,0.0006,0.0012,-0.0018
PATRON,4.8737,,mg/L,1.4,0.0008,0.0528,-0.0031
BLANCO,0.0029,,mg/L,>100,0.0001,0,-0.0025
BLANCO REACTIVO,0,,mg/L,32.3,0.0005,0.0015,-0.0008
