PATRON,4.8992,,mg/L,0.3,0.054,0.054,0.0539,0.0542
BLANCO,-0.0182,,mg/L,58.2,-0.0002,-0.0003,-0.0002,-0.0001
BLANCO REACTIVO,0,,mg/L,18.6,-0.0002,-0.0002,-0.0002,-0.0002
FASE 1,0.0397,,mg/L,25.7,0.0004,0.0005,0.0005,0.0003
FASE 2,0.0299,,mg/L,14,0.0003,0.0003,0.0004,0.0003
FASE 3,0.0307,,mg/L,7.6,0.0003,0.0003,0.0003,0.0004
VSP NORTE,0.0571,,mg/L,8.3,0.0006,0.0007,0.0006,0.0006
CELDA 8.1,0.0448,,mg/L,33.4,0.0005,0.0005,0.0003,0.0007
CELDA 8.2,0.0414,,mg/L,14.6,0.0005,0.0005,0.0005,0.0004
CELDA 8.3,0.0755,,mg/L,8.8,0.0008,0.0009,0.0009,0.0008
PATRON,4.9878,,mg/L,0.2,0.055,0.0549,0.0551,0.055
BLANCO,0.0269,,mg/L,60.8,0.0003,0.0005,0.0002,0.0002
BLANCO REACTIVO,0,,mg/L,28.3,-0.0002,-0.0002,-0.0003,-0.0002
