PATRON,4.8496,,mg/L,0.3,0.0498,1,1,1,0.0497,0.0499,0.0499
BLANCO,-0.0729,,mg/L,24,-0.0008,1,1,1,-0.0005,-0.0009,-0.0008
BLANCO REACTIVO,0,,mg/L,6,-0.0017,1,1,1,-0.0018,-0.0016,-0.0017
FASE 1,0.0239,,mg/L,44.5,0.0002,1,1,1,0.0004,0.0002,0.0002
FASE 2,0.0085,,mg/L,95.3,0.0001,1,1,1,0.0001,0,0.0002
FASE 3,0.0351,,mg/L,0.5,0.0004,1,1,1,0.0004,0.0004,0.0004
VSP NORTE,0.0266,,mg/L,50.8,0.0003,1,1,1,0.0004,0.0003,0.0001
CELDA 8.1,0.0578,,mg/L,30.2,0.0006,1,1,1,0.0005,0.0005,0.0008
CELDA 8.2,0.0384,,mg/L,12.4,0.0004,1,1,1,0.0004,0.0004,0.0003
CELDA 8.3,0.0687,,mg/L,6.1,0.0007,1,1,1,0.0008,0.0007,0.0007
PATRON,4.937,,mg/L,1.5,0.0507,1,1,1,0.0516,0.0504,0.0502
BLANCO,0.0327,,mg/L,63.8,0.0003,1,1,1,0.0001,0.0004,0.0005
BLANCO REACTIVO,0,,mg/L,3.5,-0.0012,1,1,1,-0.0012,-0.0012,-0.0012
