PATRON,1.0005,,mg/L,0.3,0.1256,0.0009,0.126,0.1253,0.1256
BLANCO,0.0019,,mg/L,66.4,0.0002,-0.0001,0.0001,0.0002,0.0004
BLANCO REACTIVO,0,,mg/L,42.8,0.0004,-0.0004,0.0004,0.0002,0.0006
H KCA PO,0.0072,,mg/L,33,0.0009,0.0013,0.0006,0.0012,0.0009
H KCA PO,0.0085,,mg/L,26.8,0.0011,0.001,0.0013,0.0012,0.0007
H KCA PO,0.0035,,mg/L,74.9,0.0004,0.0015,0.0005,0.0008,0.0001
PATRON,0.9934,,mg/L,0.3,0.1248,0.0006,0.1249,0.1244,0.125
H KCA PO,0.0042,,mg/L,6.8,0.0005,0.0017,0.0005,0.0006,0.0005
H KCA PO,0.005,,mg/L,48.1,0.0006,0.0017,0.001,0.0005,0.0004
PATRON,1.0021,,mg/L,0.6,0.1258,0.0006,0.125,0.1266,0.1259
BLANCO,-0.007,,mg/L,35.8,-0.0009,0,-0.0012,-0.0006,-0.0009
BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.0001,0,-0.0005,-0.0003
M1 PO,0.0092,,mg/L,25,0.0012,0.0019,0.0011,0.0015,0.0009
M2 PO,0.0036,,mg/L,55.2,0.0005,0.0021,0.0003,0.0004,0.0007
M3 PO,0.0001,,mg/L,>100,0,0.0021,0.0001,-0.0001,0.0001
M4 PO,0.001,,mg/L,77.3,0.0001,0.0021,0.0001,0.0001,0.0002
PATRON,0.9904,,mg/L,0.2,0.1244,0.001,0.1241,0.1247,0.1243
P KCA PO,0.0001,,mg/L,>100,0,0.002,-0.0001,0.0003,-0.0002
PATRON,0.9915,,mg/L,0.3,0.1245,0.001,0.1249,0.1244,0.1243
BLANCO,-0.0018,,mg/L,>100,-0.0002,0.0002,0.0001,-0.0002,-0.0006
BLANCO REACTIVO,0,,mg/L,18.8,-0.0006,0,-0.0005,-0.0007,-0.0005
CELDA 8,0.0031,,mg/L,50.5,0.0004,0.0025,0.0002,0.0003,0.0006
CANAL,0.0112,,mg/L,27.5,0.0014,0.0023,0.0016,0.0017,0.001
FASE 1,0.0018,,mg/L,99.2,0.0002,0.0025,0,0.0002,0.0004
FASE 2,0.0006,,mg/L,>100,0.0001,0.0024,-0.0001,0.0002,0.0001
FASE 3,0,,mg/L,>100,0,0.0025,-0.0002,0.0002,0
VSP NORTE,-0.0026,,mg/L,>100,-0.0003,0.003,0.0001,-0.0006,-0.0004
CELDA 8.1,0.0345,,mg/L,3.2,0.0044,0.0021,0.0043,0.0043,0.0045
CELDA 8.2,-0.0022,,mg/L,60.1,-0.0003,0.0018,-0.0002,-0.0001,-0.0004
CELDA 8.3,-0.002,,mg/L,>100,-0.0002,0.0028,0.0002,-0.0003,-0.0007
S. RICA,-0.0006,,mg/L,>100,-0.0001,0.0026,-0.0008,-0.0001,0.0007
PATRON,1.0155,,mg/L,0.4,0.1346,0.0008,0.135,0.1341,0.1348
BLANCO,0.0037,,mg/L,65.2,0.0005,-0.0002,0.0004,0.0003,0.0009
BLANCO REACTIVO,0,,mg/L,41.2,0.0006,-0.0003,0.0006,0.0008,0.0003
H KCA PE,0.0002,,mg/L,>100,0,0.0018,0.0002,-0.0001,0
H KCA PE,-0.0012,,mg/L,>100,-0.0002,0.0019,-0.0004,0.0002,-0.0003
H KCA PE,-0.0014,,mg/L,56.4,-0.0002,0.0021,-0.0001,-0.0003,-0.0002
PATRON,1.0143,,mg/L,1.1,0.1344,-0.0003,0.1355,0.1351,0.1327
H KCA PE,0.0012,,mg/L,>100,0.0002,0.0016,-0.0001,0.0003,0.0003
H KCA PE,0.0006,,mg/L,65.2,0.0001,0.0016,0.0001,0.0001,0
PATRON,1.0092,,mg/L,0.3,0.1338,-0.0003,0.1342,0.1334,0.1338
BLANCO,0.0012,,mg/L,>100,0.0002,-0.0012,0.0004,-0.0001,0.0002
BLANCO REACTIVO,0,,mg/L,10.2,0.0009,-0.0009,0.0008,0.0009,0.001
M1 PE,-0.0021,,mg/L,93.4,-0.0003,0.0012,-0.0003,0,-0.0005
M2 PE,-0.0022,,mg/L,>100,-0.0003,0.0013,-0.0003,0,-0.0006
M3 PE,-0.0012,,mg/L,>100,-0.0002,0.0011,0,-0.0001,-0.0004
M4 PE,-0.0021,,mg/L,71,-0.0003,0.0012,-0.0005,-0.0001,-0.0002
PATRON,1.0042,,mg/L,0.7,0.1331,-0.0008,0.1322,0.1332,0.134
P KCA PE,0.0015,,mg/L,>100,0.0002,0.0009,0.0003,0.0004,-0.0001
PATRON,1.0042,,mg/L,0.2,0.1331,-0.0006,0.1332,0.1328,0.1334
BLANCO,0.0028,,mg/L,42.3,0.0004,-0.002,0.0002,0.0004,0.0005
BLANCO REACTIVO,0,,mg/L,11,0.0011,-0.0011,0.0012,0.001,0.0011
ELY 1,-0.0005,,mg/L,>100,-0.0001,0.0006,-0.0004,-0.0001,0.0003
ELY 2,-0.0005,,mg/L,>100,-0.0001,0.0005,0.0003,-0.0003,-0.0002
ELY 3,0.0012,,mg/L,96.8,0.0002,0.0004,0.0003,0,0.0002
ELY 4,-0.0024,,mg/L,53,-0.0003,0.0008,-0.0001,-0.0005,-0.0004
PATRON,0.991,,mg/L,1.5,0.1314,-0.0015,0.1334,0.1314,0.1294
ELY P,0.0012,,mg/L,93.2,0.0002,0.0003,0,0.0003,0.0001
PATRON,1.0159,,mg/L,0.5,0.1306,0.0005,0.1299,0.1313,0.1306
BLANCO,0,,mg/L,>100,0,-0.0023,-0.0003,-0.0001,0.0004
BLANCO REACTIVO,0,,mg/L,59.5,0.0008,-0.0009,0.001,0.0002,0.001
TRITURADORA,0.0013,,mg/L,>100,0.0002,0.0018,0.0003,0.0003,-0.0001
VICTORIA,0.0013,,mg/L,>100,0.0002,0.0022,-0.0002,0.0004,0.0003
CELDA 1,-0.0003,,mg/L,>100,0,0.0022,-0.0003,0.0001,0.0001
CELDA 2,0.0013,,mg/L,>100,0.0002,0.0021,0.0006,0.0001,-0.0001
CELDA 3,0.0002,,mg/L,>100,0,0.0022,-0.0001,0.0001,0
CELDA 4A,0.0023,,mg/L,57.1,0.0003,0.0026,0.0005,0.0001,0.0003
CELDA 4B,0.0004,,mg/L,>100,0,0.003,0.0001,0.0001,-0.0001
CELDA 5A,0.0026,,mg/L,>100,0.0003,0.0028,0.0007,0.0004,-0.0001
CELDA 5B,-0.0039,,mg/L,66.9,-0.0005,0.0004,-0.0007,-0.0006,-0.0001
PATRON,1.0087,,mg/L,1.1,0.1204,0.0008,0.1189,0.1206,0.1215
BLANCO,-0.0012,,mg/L,>100,-0.0001,0,-0.0002,-0.0004,0.0001
BLANCO REACTIVO,0,,mg/L,26.3,0.0007,-0.0004,0.0005,0.0008,0.0008
