Analista,,,,,,,,,,
Fecha de inicio,12/04/2024 04:41 a. m.  GMT: 12/04/2024 10:41 a. m.,,,,,,,,,
Hoja de trabajo,SA003552_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.4901,,mg/L,3.4,0.0111,0.0012,0.0109,0.0116,0.0109
,BLANCO,0.0194,,mg/L,91.5,0.0004,-0.0002,0.0002,0.0002,0.0009
,BLANCO REACTIVO,0,,mg/L,67.7,-0.0003,0.0002,-0.0003,-0.0006,-0.0001
,SA003552-001,0.1161,,mg/L,3,0.0075,0.0007,0.0073,0.0076,0.0077
,SA003552-002,0.1335,,mg/L,9,0.0086,0.0004,0.008,0.0095,0.0084
,SA003552-003,0.0873,,mg/L,7,0.0056,0.0003,0.006,0.0057,0.0052
,SA003552-004,0.081,,mg/L,3.5,0.0052,0.0001,0.0051,0.0055,0.0052
,SA003552-005,-0.0076,,mg/L,>100,-0.0005,0.0006,-0.0007,0.0002,-0.001
,PATRON,0.4966,,mg/L,4,0.0113,0.0012,0.0112,0.0118,0.0109
,SA003552-006,0.0038,,mg/L,>100,0.0002,0.0006,0.0009,0,-0.0002
,SA003552-007,0.9965,,mg/L,0.3,0.0665,-0.0007,0.0665,0.0667,0.0663
,PATRON,0.4963,,mg/L,0.7,0.0113,0.0013,0.0112,0.0112,0.0114
,BLANCO,-0.0037,,mg/L,>100,-0.0001,0.0008,0.0002,-0.0001,-0.0003
,BLANCO REACTIVO,0,,mg/L,>100,-0.0002,0.0002,0.0004,-0.0003,-0.0007
