Analista,,,,,,,,,,
Fecha de inicio,06/03/2023 03:19 p. m.  GMT: 06/03/2023 09:19 p. m.,,,,,,,,,
Hoja de trabajo,SA000572_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,BLANCO,-0.0075,,mg/L,25.8,-0.0002,0.001,-0.0002,-0.0003,-0.0002
,PATRON,0.497,,mg/L,0.8,0.0154,0.0014,0.0153,0.0155,0.0154
,SA000572-001,0.1359,,mg/L,4.2,0.012,0.0015,0.0126,0.0117,0.0117
,SA000572-002,0.13,,mg/L,1.5,0.0115,0.0018,0.0114,0.0114,0.0117
,SA000572-003,0.0134,,mg/L,5.7,0.0012,0.0019,0.0012,0.0012,0.0011
,SA000572-004,0.0854,,mg/L,1.9,0.0075,0.0017,0.0074,0.0075,0.0077
,SA000572-005,0.0111,,mg/L,44.3,0.001,0.0015,0.0005,0.0014,0.001
,BLANCO REACTIVO,0,,mg/L,49.9,-0.0003,0.0002,-0.0004,-0.0001,-0.0004
,PATRON,0.4882,,mg/L,1.1,0.0151,0.0009,0.0151,0.0153,0.0149
,SA000572-006,0.2876,,mg/L,0.8,0.0257,0.0009,0.0258,0.0258,0.0254
,SA000572-007,0.1843,,mg/L,1.3,0.0163,0.001,0.0166,0.0163,0.0161
,SA000572-008,0.09,,mg/L,1.2,0.0079,0.0008,0.0079,0.0079,0.008
,SA000572-009,0.1152,,mg/L,2.6,0.0102,0.0009,0.0103,0.0099,0.0104
,SA000572-010,0.0888,,mg/L,2.1,0.0078,0.0009,0.0077,0.0077,0.008
,BLANCO,-0.0079,,mg/L,>100,-0.0002,0.0004,0,-0.0007,-0.0001
,PATRON,0.5078,,mg/L,0.7,0.0157,0.001,0.0158,0.0157,0.0156
,SA000572-011,0.1914,,mg/L,1.7,0.017,0.0013,0.0168,0.0173,0.0169
,SA000572-012,0.2008,,mg/L,0.7,0.0179,0.0013,0.0177,0.018,0.0179
,SA000572-013,0.2733,,mg/L,0.6,0.0244,0.0015,0.0244,0.0245,0.0242
,SA000572-014,0.4312,,mg/L,0.7,0.0389,0.0018,0.0392,0.0389,0.0386
,SA000572-015,0.3393,,mg/L,0.3,0.0305,0.0015,0.0305,0.0306,0.0305
,BLANCO REACTIVO,0,,mg/L,18.5,-0.0003,0.0004,-0.0003,-0.0003,-0.0004
,PATRON,0.496,,mg/L,1.5,0.0154,0.0007,0.0155,0.0151,0.0155
,SA000572-016,0.1634,,mg/L,0.9,0.0145,0.001,0.0146,0.0143,0.0145
,SA000572-017,0.117,,mg/L,0.4,0.0103,0.001,0.0104,0.0103,0.0103
,SA000572-018,0.0831,,mg/L,2.9,0.0073,0.0009,0.0074,0.0071,0.0075
,SA000572-019,0.0734,,mg/L,4.3,0.0065,0.001,0.0065,0.0062,0.0067
,SA000572-020,0.0821,,mg/L,4.5,0.0072,0.0011,0.0069,0.0071,0.0076
,SA000572-021,0.0888,,mg/L,4.1,0.0078,0.0011,0.0082,0.0075,0.0078
,SA000572-022,0.0417,,mg/L,6,0.0037,0.0013,0.0035,0.0036,0.0039
,SA000572-023,0.1242,,mg/L,1.9,0.011,0.0011,0.0108,0.0109,0.0112
,SA000572-024,0.1879,,mg/L,2.5,0.0167,0.0012,0.0171,0.0168,0.0163
,SA000572-025,0.1663,,mg/L,1.6,0.0147,0.0014,0.015,0.0145,0.0146
,BLANCO,0,,mg/L,>100,0,0.0008,0.0001,-0.0002,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,0.0003,0.0002,0.0004,0
,PATRON,0.5054,,mg/L,1.3,0.0156,-0.0007,0.0154,0.0157,0.0158
,PATRON,0.4932,,mg/L,1.1,0.0152,-0.0005,0.0151,0.0152,0.0154
,SA000572-026,0.1033,,mg/L,2.3,0.0091,-0.0003,0.0093,0.009,0.009
,SA000572-027,0.0355,,mg/L,1.6,0.0031,0,0.0031,0.0031,0.0031
,SA000572-028,0.0348,,mg/L,1.9,0.0031,-0.0003,0.003,0.003,0.0031
,SA000572-029,0.105,,mg/L,1.3,0.0093,-0.0002,0.0093,0.0094,0.0091
,SA000572-030,0.1293,,mg/L,1.1,0.0114,-0.0002,0.0112,0.0115,0.0115
,PATRON,0.5087,,mg/L,1.6,0.0157,-0.0005,0.0158,0.0159,0.0154
,BLANCO,-0.0017,,mg/L,67.3,-0.0001,-0.0002,0,-0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0,0.0001,-0.0001,0.0002,-0.0001
,SA000572-031,0.0634,,mg/L,2.8,0.0056,0,0.0055,0.0055,0.0058
,SA000572-032,0.1284,,mg/L,3.4,0.0113,-0.0003,0.011,0.0113,0.0118
,PATRON,0.5154,,mg/L,0.7,0.0159,-0.0003,0.016,0.016,0.0158
,BLANCO,0.0003,,mg/L,>100,0,0,-0.0001,0.0001,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,-0.0002,0.0004,0.0002,0
,,,mg/L,,,,,,,
