PATRON,4.9473,,mg/L,0.7,0.0524,0.0528,0.0521,0.0523
BLANCO,0.0043,,mg/L,>100,0,0.0001,0,0
BLANCO REACTIVO,0,,mg/L,4,0.0005,0.0005,0.0005,0.0005
FASE 1,0.0485,,mg/L,21.4,0.0005,0.0005,0.0005,0.0007
FASE 2,0.0513,,mg/L,16.7,0.0006,0.0005,0.0005,0.0007
FASE 3,0.0614,,mg/L,4.1,0.0007,0.0007,0.0007,0.0006
VSP NORTE,0.0524,,mg/L,10.2,0.0006,0.0006,0.0006,0.0005
CELDA 8.1,0.0766,,mg/L,10.2,0.0008,0.0008,0.0007,0.0009
CELDA 8.2,0.0779,,mg/L,8.6,0.0008,0.0008,0.0008,0.0009
CELDA 8.3,0.1539,,mg/L,9.8,0.0017,0.0019,0.0016,0.0016
PATRON,5.1311,,mg/L,0.9,0.0543,0.0537,0.0547,0.0544
BLANCO,-0.0086,,mg/L,65.1,-0.0001,-0.0001,-0.0001,0
BLANCO REACTIVO,0,,mg/L,6.8,0.001,0.0009,0.001,0.0011
