PATRON,4.9512,,mg/L,0.5,0.0499,1,1,1,0.0502,0.0499,0.0497
BLANCO,0.0006,,mg/L,>100,0,1,1,1,0.0001,0,-0.0001
BLANCO REACTIVO,0,,mg/L,46.7,0.0001,1,1,1,0.0002,0.0001,0.0002
FASE 1,0.018,,mg/L,71.9,0.0002,1,1,1,0.0003,0.0002,0.0001
PATRON,4.9206,,mg/L,1,0.0496,1,1,1,0.0491,0.0495,0.0502
FASE 2,0.0355,,mg/L,24,0.0004,1,1,1,0.0004,0.0003,0.0004
FASE 3,0.0414,,mg/L,17.6,0.0004,1,1,1,0.0004,0.0003,0.0005
PATRON,4.9002,,mg/L,0.3,0.0494,1,1,1,0.0493,0.0495,0.0495
BLANCO,0.0273,,mg/L,27.7,0.0003,1,1,1,0.0004,0.0002,0.0002
BLANCO REACTIVO,0,,mg/L,28.2,0.0003,1,1,1,0.0003,0.0002,0.0004
VSP NORTE,0.0282,,mg/L,78.4,0.0003,1,1,1,0.0004,0,0.0005
CELDA 8.1,0.0384,,mg/L,25.6,0.0004,1,1,1,0.0003,0.0003,0.0005
CELDA 8.2,0.0314,,mg/L,11.7,0.0003,1,1,1,0.0003,0.0003,0.0003
CELDA 8.3,0.2695,,mg/L,1.4,0.0027,1,1,1,0.0027,0.0027,0.0027
PATRON,4.9655,,mg/L,0.6,0.0501,1,1,1,0.0499,0.0504,0.0499
BLANCO,0.0299,,mg/L,18.3,0.0003,1,1,1,0.0002,0.0003,0.0003
BLANCO REACTIVO,0,,mg/L,14,0.0006,1,1,1,0.0007,0.0005,0.0005
