PATRON,4.892,,mg/L,0.6,0.0544,1,1,1,0.0547,0.054,0.0544
BLANCO,-0.0201,,mg/L,42.2,-0.0002,1,1,1,-0.0001,-0.0003,-0.0003
BLANCO REACTIVO,0,,mg/L,1.7,-0.0011,1,1,1,-0.0011,-0.0011,-0.0011
FASE 1,0.0073,,mg/L,18.1,0.0001,1,1,1,0.0001,0.0001,0.0001
FASE 2,0.0139,,mg/L,51.5,0.0002,1,1,1,0.0002,0.0002,0.0001
FASE 3,0.011,,mg/L,66.3,0.0001,1,1,1,0.0002,0,0.0002
VSP NORTE,0.002,,mg/L,>100,0,1,1,1,0.0001,0,-0.0001
CELDA 8.1,0.0026,,mg/L,>100,0,1,1,1,0.0001,-0.0001,0.0001
CELDA 8.2,0.0076,,mg/L,77.1,0.0001,1,1,1,0,0.0002,0.0001
CELDA 8.3,0.0116,,mg/L,>100,0.0001,1,1,1,0.0002,0.0003,-0.0001
PATRON,4.924,,mg/L,0.3,0.0547,1,1,1,0.0546,0.0549,0.0547
BLANCO,-0.0477,,mg/L,24.4,-0.0005,1,1,1,-0.0005,-0.0005,-0.0007
BLANCO REACTIVO,0,,mg/L,10.1,-0.0014,1,1,1,-0.0015,-0.0013,-0.0015
