Analista,,,,,,,,,,
Fecha de inicio,06/03/2023 05:23 p. m.  GMT: 06/03/2023 11:23 p. m.,,,,,,,,,
Hoja de trabajo,SA000575_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,BLANCO,-0.0004,,mg/L,>100,0,0.0006,-0.0002,0.0001,0
,PATRON,0.5101,,mg/L,1,0.0154,-0.0008,0.0155,0.0152,0.0155
,SA000575-001,0.2434,,mg/L,0.4,0.0211,-0.0006,0.0212,0.021,0.021
,SA000575-002,0.0991,,mg/L,2.9,0.0085,-0.0005,0.0088,0.0083,0.0084
,SA000575-003,0.0846,,mg/L,0.4,0.0072,-0.0004,0.0073,0.0073,0.0072
,SA000575-004,0.0822,,mg/L,1.7,0.007,-0.0003,0.007,0.0072,0.0069
,SA000575-005,0.1732,,mg/L,1.2,0.015,-0.0003,0.0152,0.0149,0.0149
,BLANCO REACTIVO,0,,mg/L,70,0.0004,-0.0007,0.0005,0.0001,0.0006
,PATRON,0.5092,,mg/L,1.9,0.0153,-0.0008,0.0151,0.0152,0.0157
,SA000575-006,0.1309,,mg/L,1.6,0.0112,-0.0007,0.0111,0.0115,0.0112
,SA000575-007,0.2142,,mg/L,0.8,0.0186,-0.0003,0.0185,0.0185,0.0187
,SA000575-008,0.1579,,mg/L,1.1,0.0136,-0.0005,0.0135,0.0136,0.0138
,SA000575-009,0.1935,,mg/L,1.1,0.0167,-0.0003,0.0166,0.0166,0.0169
,SA000575-010,0.4758,,mg/L,0.9,0.0419,-0.0004,0.0418,0.0423,0.0416
,SA000575-011,0.4745,,mg/L,0.1,0.0418,-0.0006,0.0419,0.0418,0.0419
,SA000575-012,0.1572,,mg/L,0.8,0.0136,-0.0008,0.0137,0.0135,0.0136
,SA000575-013,0.1607,,mg/L,0.7,0.0139,-0.0007,0.0138,0.014,0.0138
,SA000575-014,0.2328,,mg/L,1,0.0202,-0.0006,0.0204,0.02,0.0202
,SA000575-015,0.7716,,mg/L,0.1,0.0691,-0.0003,0.0692,0.0691,0.0691
,BLANCO,-0.0074,,mg/L,29.2,-0.0002,0.0009,-0.0002,-0.0003,-0.0002
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,0.0003,0.0002,-0.0001,0.0003
,PATRON,0.4931,,mg/L,2,0.0153,-0.0001,0.0155,0.0153,0.0149
,PATRON,0.5051,,mg/L,1.7,0.0156,-0.0006,0.0159,0.0153,0.0157
,SA000575-016,0.0103,,mg/L,40.8,0.0009,-0.0004,0.0013,0.0006,0.0008
,SA000575-017,0.2815,,mg/L,0.1,0.0251,-0.0003,0.0251,0.0251,0.0252
,SA000575-018,0.2677,,mg/L,1,0.0239,-0.0002,0.0236,0.0241,0.0239
,SA000575-019,0.1902,,mg/L,0.5,0.0169,-0.0001,0.0169,0.017,0.0168
,SA000575-020,0.2409,,mg/L,0.2,0.0214,-0.0001,0.0215,0.0214,0.0214
,BLANCO,0.001,,mg/L,>100,0,-0.0004,0.0002,0,-0.0001
,PATRON,0.5091,,mg/L,0.9,0.0158,-0.0007,0.0156,0.0159,0.0158
,SA000575-021,0.1751,,mg/L,1.3,0.0155,-0.0005,0.0157,0.0155,0.0153
,SA000575-022,0.1341,,mg/L,1.8,0.0119,-0.0004,0.0116,0.012,0.0119
,SA000575-023,0.1499,,mg/L,0.3,0.0132,-0.0004,0.0133,0.0133,0.0132
,SA000575-024,0.114,,mg/L,0.8,0.0101,-0.0003,0.0101,0.0102,0.01
,SA000575-025,0.1366,,mg/L,0.3,0.0121,-0.0003,0.0121,0.0121,0.0121
,BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0001,0.0001,-0.0001,0.0003
,PATRON,0.5071,,mg/L,1.1,0.0157,-0.0005,0.0156,0.0156,0.0159
,SA000575-026,0.234,,mg/L,0.6,0.0209,-0.0001,0.0209,0.0207,0.0209
,SA000575-027,0.0047,,mg/L,39.8,0.0004,-0.0003,0.0006,0.0004,0.0003
,SA000575-028,0.3632,,mg/L,0.1,0.0326,0,0.0326,0.0326,0.0325
,SA000575-029,0.634,,mg/L,0.9,0.0581,-0.0001,0.0576,0.058,0.0586
,SA000575-030,0.2584,,mg/L,1.3,0.023,0.0001,0.0233,0.0228,0.0229
,BLANCO,0.0042,,mg/L,>100,0.0001,-0.0005,0,0.0001,0.0003
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0001,-0.0001,0,0.0001
,PATRON,0.5124,,mg/L,1.4,0.0159,-0.0003,0.0156,0.016,0.016
,SA000575-031,0.152,,mg/L,2.3,0.0134,0.0002,0.0135,0.0137,0.0131
,SA000575-032,0.4638,,mg/L,0.6,0.042,0,0.0418,0.0423,0.042
,BLANCO,0.0014,,mg/L,>100,0,-0.0002,0.0003,-0.0001,-0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0,-0.0002,0,0.0001,-0.0001
,PATRON,0.5053,,mg/L,2,0.0156,-0.0003,0.016,0.0156,0.0154
BLANCO ,,,mg/L,,,,,,,
