PATRON,4.8522,,mg/L,0.4,0.05,1,1,1,0.0502,0.05,0.0498
BLANCO,0.0155,,mg/L,>100,0.0002,1,1,1,0.0001,0.0004,0
BLANCO REACTIVO,0,,mg/L,58.1,-0.0003,1,1,1,-0.0001,-0.0003,-0.0004
FASE 1,0.0256,,mg/L,48.4,0.0003,1,1,1,0.0004,0.0001,0.0003
PATRON,4.8501,,mg/L,0.6,0.05,1,1,1,0.0503,0.05,0.0497
FASE 2,-0.011,,mg/L,>100,-0.0001,1,1,1,0,0,-0.0003
FASE 3,0.0087,,mg/L,>100,0.0001,1,1,1,0,0,0.0002
PATRON,4.8961,,mg/L,1.4,0.0505,1,1,1,0.0504,0.0498,0.0512
BLANCO,-0.0239,,mg/L,24.7,-0.0003,1,1,1,-0.0002,-0.0003,-0.0002
BLANCO REACTIVO,0,,mg/L,37.6,-0.0004,1,1,1,-0.0002,-0.0005,-0.0005
VSP NORTE,0.0096,,mg/L,>100,0.0001,1,1,1,0.0001,0,0.0002
CELDA 8.1,0.0227,,mg/L,>100,0.0002,1,1,1,0.0002,0,0.0005
CELDA 8.2,0.0186,,mg/L,>100,0.0002,1,1,1,0.0002,0.0004,-0.0001
CELDA 8.3,0.9274,,mg/L,1.5,0.0098,1,1,1,0.0099,0.0096,0.0098
PATRON,4.8488,,mg/L,1.4,0.05,1,1,1,0.0503,0.0505,0.0492
BLANCO,-0.0219,,mg/L,53.5,-0.0002,1,1,1,-0.0001,-0.0004,-0.0002
BLANCO REACTIVO,0,,mg/L,2.6,-0.001,1,1,1,-0.001,-0.001,-0.001
