Analista,RDB,,,,,,,,,
Fecha de inicio,07/01/2024 02:12 a. m.  GMT: 07/01/2024 08:12 a. m.,,,,,,,,,
Hoja de trabajo,SA002870_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.5182,,mg/L,1.6,0.0179,0.0006,0.0182,0.018,0.0176
,BLANCO,0.0076,,mg/L,43.1,0.0003,-0.0002,0.0004,0.0002,0.0002
,BLANCO REACTIVO,0,,mg/L,43.8,0.0008,-0.0007,0.0006,0.0012,0.0005
,SA002870-001,0.3281,,mg/L,1.6,0.0323,-0.001,0.0329,0.0321,0.0319
,SA002870-002,0.5279,,mg/L,0.3,0.0516,-0.0012,0.0516,0.0515,0.0518
,SA002870-003,0.4285,,mg/L,0.8,0.0421,-0.0014,0.0425,0.0419,0.0419
,SA002870-004,0.418,,mg/L,0.7,0.041,-0.0013,0.0407,0.041,0.0413
,SA002870-005,0.3847,,mg/L,1.3,0.0378,-0.0012,0.0378,0.0373,0.0383
,PATRON,0.5194,,mg/L,2,0.0179,-0.0006,0.0183,0.018,0.0176
,SA002870-006,0.3524,,mg/L,0.6,0.0347,-0.0014,0.0346,0.0346,0.0349
,SA002870-007,0.5612,,mg/L,0.3,0.0548,-0.0013,0.055,0.0549,0.0547
,SA002870-008,0.0031,,mg/L,33.6,0.0003,-0.0014,0.0004,0.0002,0.0003
,SA002870-009,0.6515,,mg/L,0.8,0.0636,-0.0015,0.0631,0.064,0.0636
,SA002870-010,0.4115,,mg/L,0.4,0.0404,-0.0015,0.0406,0.0403,0.0404
,PATRON,0.4925,,mg/L,0.5,0.017,-0.0009,0.017,0.0171,0.017
,BLANCO,0.0078,,mg/L,52.6,0.0003,-0.002,0.0004,0.0001,0.0003
,BLANCO REACTIVO,0,,mg/L,19.4,0.0009,-0.0011,0.0008,0.0008,0.0011
,SA002870-011,0.3384,,mg/L,1,0.0333,-0.0014,0.033,0.0332,0.0336
,SA002870-012,0.3409,,mg/L,0.2,0.0335,-0.0017,0.0336,0.0336,0.0335
,SA002870-013,0.4162,,mg/L,0.6,0.0409,-0.0017,0.0407,0.0411,0.0407
,SA002870-014,1.6884,,mg/L,0.7,0.1606,-0.0016,0.1604,0.1617,0.1596
,SA002870-015,0.7983,,mg/L,0.8,0.0776,-0.0018,0.0783,0.0772,0.0772
,PATRON,0.5198,,mg/L,1.1,0.018,-0.0012,0.018,0.0181,0.0177
,SA002870-016,0.4004,,mg/L,0.8,0.0393,-0.0019,0.0396,0.0389,0.0394
,SA002870-017,0.2252,,mg/L,0.7,0.0222,-0.002,0.0222,0.0224,0.0221
,SA002870-018,0.4553,,mg/L,0.8,0.0446,-0.002,0.0449,0.0442,0.0448
,SA002870-019,0.2321,,mg/L,1.3,0.0229,-0.0019,0.0226,0.0228,0.0232
,SA002870-020,0.4117,,mg/L,1.3,0.0404,-0.0022,0.041,0.0402,0.0401
,PATRON,0.5203,,mg/L,1.1,0.018,-0.0016,0.0177,0.0181,0.0181
,BLANCO,0.016,,mg/L,59,0.0006,-0.0028,0.0003,0.0005,0.0009
,BLANCO REACTIVO,0,,mg/L,20.2,0.0017,-0.0021,0.0013,0.002,0.0019
,SA002870-021,0.4434,,mg/L,0.8,0.0435,-0.0032,0.0438,0.0435,0.0431
,SA002870-022,0.1574,,mg/L,0.7,0.0156,-0.0032,0.0155,0.0155,0.0157
,SA002870-023,0.0028,,mg/L,50.9,0.0003,-0.0035,0.0004,0.0004,0.0001
,SA002870-024,0.4322,,mg/L,0.4,0.0424,-0.0031,0.0422,0.0424,0.0426
,SA002870-025,0.659,,mg/L,0.5,0.0642,-0.0032,0.0645,0.0638,0.0643
,PATRON,0.4994,,mg/L,2.8,0.0173,-0.0023,0.0171,0.0178,0.0169
,SA002870-026,0.8223,,mg/L,0.4,0.0798,-0.0031,0.0795,0.0801,0.0797
,SA002870-027,0.522,,mg/L,0.7,0.0511,-0.0034,0.0513,0.0507,0.0512
,SA002870-028,0.0048,,mg/L,68.2,0.0005,-0.0033,0.0002,0.0008,0.0005
,SA002870-029,1.1852,,mg/L,0.3,0.1141,-0.0031,0.1139,0.1138,0.1145
,SA002870-030,0.4339,,mg/L,0.5,0.0426,-0.0034,0.0423,0.0426,0.0428
,PATRON,0.4841,,mg/L,1.3,0.0167,-0.0025,0.017,0.0167,0.0165
,BLANCO,-0.0137,,mg/L,28.4,-0.0005,-0.0038,-0.0004,-0.0006,-0.0004
,BLANCO REACTIVO,0,,mg/L,17.6,0.0015,-0.0022,0.0016,0.0012,0.0016
,SA002870-031,0.3355,,mg/L,0.4,0.033,-0.0031,0.0332,0.033,0.033
,SA002870-032,0.1899,,mg/L,0.9,0.0188,-0.0029,0.0186,0.0188,0.0189
,PATRON,0.5,,mg/L,2.2,0.0173,-0.0025,0.017,0.0177,0.0171
,BLANCO,-0.0058,,mg/L,71.3,-0.0002,-0.0037,-0.0002,-0.0001,-0.0004
,BLANCO REACTIVO,0,,mg/L,21.5,0.0011,-0.0022,0.0013,0.001,0.0009
