PATRON,1.004,,mg/L,0.2,0.0002,0.1336,0,0.1335,0.1339,0.1334
BLANCO,0.0015,,mg/L,>100,0.0003,0.0002,-0.0002,0.0005,0,0.0002
BLANCO REACTIVO,0,,mg/L,59.6,0.0001,0.0002,0,0.0002,0.0001,0.0003
H,0.1262,,mg/L,1,0.0002,0.017,-0.0001,0.0171,0.0168,0.0171
C1,0.1219,,mg/L,1.6,0.0003,0.0164,0.0001,0.0167,0.0165,0.0161
C2,0.114,,mg/L,0.5,0.0001,0.0154,0,0.0153,0.0154,0.0153
PATRON,0.2067,,mg/L,2.4,0.0007,0.0278,-0.0015,0.0285,0.0278,0.0272
BLANCO,-0.0042,,mg/L,38.7,0.0002,-0.0006,0.0015,-0.0007,-0.0003,-0.0006
BLANCO REACTIVO,0,,mg/L,17.3,0.0002,-0.001,0.0006,-0.0008,-0.0011,-0.0011
C3,0.0991,,mg/L,2.4,0.0003,0.0133,0.003,0.0137,0.0132,0.0131
C4,0.0841,,mg/L,1.1,0.0001,0.0113,0.003,0.0112,0.0113,0.0115
T,0.0667,,mg/L,3.2,0.0003,0.009,0.003,0.0093,0.0089,0.0088
PATRON,0.1999,,mg/L,2.9,0.0008,0.0269,0.0018,0.0269,0.0262,0.0277
BLANCO,0.0015,,mg/L,>100,0.0003,0.0002,0.0014,0.0005,0.0003,-0.0001
BLANCO REACTIVO,0,,mg/L,17.2,0.0002,-0.0009,0.0004,-0.0008,-0.001,-0.0008
DP1,0.0871,,mg/L,1.4,0.0002,0.0117,0.0023,0.0115,0.0118,0.0118
DP2,0.2393,,mg/L,0.5,0.0001,0.0322,0.0006,0.0321,0.0322,0.0324
DP3,0.111,,mg/L,0.4,0.0001,0.015,0.0007,0.015,0.0149,0.0149
PATRON,0.1981,,mg/L,2,0.0005,0.0267,0.0017,0.0266,0.0262,0.0272
BLANCO,-0.0001,,mg/L,>100,0.0001,0,0.0015,0,0.0001,-0.0001
BLANCO REACTIVO,0,,mg/L,11.1,0.0001,-0.001,0.0006,-0.0009,-0.0012,-0.001
DP4,0.1213,,mg/L,0.4,0.0001,0.0163,0.0035,0.0164,0.0163,0.0163
DP5,0,,mg/L,>100,0.0001,0,0.0036,0,-0.0001,0.0001
DP6,0.0145,,mg/L,18.4,0.0004,0.002,0.0027,0.0023,0.002,0.0016
PATRON,0.2044,,mg/L,1,0.0003,0.0275,0.0019,0.0277,0.0277,0.0272
BLANCO,0.0015,,mg/L,85.8,0.0002,0.0002,0.0016,0.0001,0.0001,0.0004
BLANCO REACTIVO,0,,mg/L,13.5,0.0001,-0.0009,0.0007,-0.0008,-0.0009,-0.001
ELY1,0.1089,,mg/L,1.4,0.0002,0.0147,0.0028,0.0149,0.0145,0.0146
ELY2,0.0948,,mg/L,3.3,0.0004,0.0128,0.003,0.0133,0.0125,0.0125
ELY3,0.0795,,mg/L,1.8,0.0002,0.0107,0.003,0.0106,0.0109,0.0106
PATRON,0.2065,,mg/L,1.5,0.0004,0.0278,0.0014,0.0283,0.0275,0.0276
BLANCO,0.0013,,mg/L,>100,0.0003,0.0002,0.0015,0.0005,0.0001,-0.0001
BLANCO REACTIVO,0,,mg/L,25.9,0.0001,-0.0005,0.0004,-0.0006,-0.0004,-0.0007
ELY4,0.0613,,mg/L,2.3,0.0002,0.0083,0.0026,0.0081,0.0082,0.0085
ELY5,0.0446,,mg/L,3.4,0.0002,0.006,0.0025,0.006,0.0062,0.0058
PATRON,0.2052,,mg/L,1.3,0.0003,0.0276,0.0012,0.0278,0.0272,0.0279
BLANCO,0.0013,,mg/L,65.8,0.0001,0.0002,0.001,0.0001,0.0003,0.0002
BLANCO REACTIVO,0,,mg/L,13.2,0.0001,-0.0008,0.0008,-0.0007,-0.0007,-0.0009
