Analista,MVG,,,,,,,,
Fecha de inicio,03:35 a. m. 26/02/2026  GMT: 09:35 a. m. 26/02/2026,,,,,,,,
Hoja de trabajo,SA008102,,,,,,,,
Comentario,,,,,,,,,
Métodos,Au,,,,,,,,
,,,,,,,,,
Peso nominal,1,Volumen nominal,1,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,0.5155,,mg/L,1,0.5,0.0155,-0.0029,
,BLANCO,0.0013,,mg/L,1,>100,0,-0.0009,
,BLANCO REACTIVO,0,,mg/L,1,56,0.0004,-0.0003,
,SA008102-001,0.0023,,mg/L,1,71.3,0.0003,-0.0016,30.03
,SA008102-002,0.1617,,mg/L,1,2,0.0209,-0.0014,30.05
,SA008102-003,0.1602,,mg/L,1,2,0.0207,-0.0011,30.04
,SA008102-004,0.0594,,mg/L,1,4.2,0.0077,-0.0013,30
,SA008102-005,0.0796,,mg/L,1,4.9,0.0103,-0.0015,30.04
,PATRON,0.5113,,mg/L,1,0.9,0.0154,-0.003,
,SA008102-006,0.0705,,mg/L,1,2.3,0.0091,-0.0017,30.05
,SA008102-007,0.0813,,mg/L,1,1,0.0105,-0.0015,30
,SA008102-008,0.0063,,mg/L,1,54.2,0.0008,-0.0019,3
,SA008102-009,0.0043,,mg/L,1,63.7,0.0006,-0.0017,30.04
,SA008102-010,0.0563,,mg/L,1,2.8,0.0073,-0.0019,30
,PATRON,0.5164,,mg/L,1,3.9,0.0155,-0.0031,
,BLANCO,-0.0078,,mg/L,1,9,-0.0002,-0.0011,
,BLANCO REACTIVO,0,,mg/L,1,>100,0.0004,-0.0008,
,SA008102-011,0.6279,,mg/L,1,1.1,0.0813,-0.0025,30.05
,PATRON,0.51,,mg/L,1,3,0.0153,-0.0029,
,BLANCO,0.0015,,mg/L,1,>100,0,-0.0012,
,BLANCO REACTIVO,0,,mg/L,1,60.1,0.0005,-0.0007,
