PATRON,1.0122,,mg/L,0.4,0.0005,0.1399,0.0016,0.1398,0.1404,0.1394
BLANCO,-0.0042,,mg/L,44.7,0.0003,-0.0006,0.0001,-0.0003,-0.0008,-0.0007
BLANCO REACTIVO,0,,mg/L,33.3,0.0004,-0.0012,0.0007,-0.0013,-0.0016,-0.0008
H KCA PO,0.0093,,mg/L,23.6,0.0003,0.0013,0.0043,0.001,0.0015,0.0015
H KCA PO,0.0091,,mg/L,11.9,0.0002,0.0013,0.0042,0.0013,0.0014,0.0011
H KCA PO,0.008,,mg/L,10.3,0.0001,0.0011,0.0042,0.0012,0.0011,0.001
PATRON,1.017,,mg/L,0.4,0.0006,0.1405,0.0032,0.1399,0.1405,0.1412
H KCA PO,0.0063,,mg/L,35.2,0.0003,0.0009,0.0042,0.0011,0.001,0.0005
H KCA PO,0.0055,,mg/L,27.7,0.0002,0.0008,0.0042,0.0008,0.0006,0.001
PATRON,1.0154,,mg/L,1.1,0.0016,0.1403,0.0028,0.1385,0.1408,0.1415
BLANCO,-0.0089,,mg/L,7.1,0.0001,-0.0013,0.0023,-0.0012,-0.0014,-0.0012
BLANCO REACTIVO,0,,mg/L,11.6,0.0003,-0.0024,0,-0.0027,-0.0021,-0.0024
M1 PO,0.0142,,mg/L,4.5,0.0001,0.002,0.005,0.0021,0.002,0.0019
M2 PO,0.0194,,mg/L,4.7,0.0001,0.0027,0.0047,0.0028,0.0028,0.0026
M3 PO,0.0193,,mg/L,27,0.0007,0.0027,0.005,0.0021,0.0035,0.0026
M4 PO,0.019,,mg/L,8.4,0.0002,0.0027,0.0049,0.0028,0.0024,0.0028
PATRON,1.0154,,mg/L,0.4,0.0005,0.1337,0.0012,0.1342,0.1332,0.1339
P KCA PO,0.0127,,mg/L,9.9,0.0002,0.0017,0.0024,0.0017,0.0015,0.0019
PATRON,1.0189,,mg/L,0.6,0.0008,0.1342,0.0014,0.1343,0.1333,0.135
BLANCO,-0.0057,,mg/L,55.5,0.0004,-0.0008,0.0006,-0.0008,-0.0011,-0.0003
BLANCO REACTIVO,0,,mg/L,26.4,0.0002,-0.0007,0.0004,-0.0008,-0.0005,-0.0008
CELDA 8,0.0045,,mg/L,58.6,0.0004,0.0006,0.0027,0.0009,0.0007,0.0002
PATRON,1.0201,,mg/L,0.8,0.0011,0.1344,0.002,0.1357,0.1337,0.1337
BLANCO,0.0019,,mg/L,39.4,0.0001,0.0003,0.0008,0.0002,0.0003,0.0004
BLANCO REACTIVO,0,,mg/L,32.2,0.0003,-0.001,0.0004,-0.0008,-0.0014,-0.0008
H KCA PE,0.0113,,mg/L,7.3,0.0001,0.0015,0.0035,0.0016,0.0015,0.0014
H KCA PE,0.0161,,mg/L,7.7,0.0002,0.0022,0.0028,0.002,0.0023,0.0021
H KCA PE,0.0123,,mg/L,26.9,0.0004,0.0016,0.0034,0.002,0.0012,0.0017
PATRON,1.0023,,mg/L,0.4,0.0006,0.1373,0.0011,0.1369,0.138,0.137
H KCA PE,0.0149,,mg/L,21.5,0.0005,0.0021,0.0019,0.0016,0.0025,0.0021
H KCA PE,0.0181,,mg/L,12.2,0.0003,0.0025,0.0016,0.0023,0.0024,0.0029
PATRON,1.0175,,mg/L,0.5,0.0007,0.1393,0.0005,0.1401,0.1386,0.1393
BLANCO,0.0023,,mg/L,>100,0.0003,0.0003,-0.0001,0.0003,0,0.0007
BLANCO REACTIVO,0,,mg/L,35,0.0004,0.0012,-0.0007,0.001,0.0017,0.0009
M1 PE,0.0133,,mg/L,9.8,0.0002,0.0019,-0.0003,0.0021,0.0017,0.0019
M2 PE,0.0091,,mg/L,19.4,0.0002,0.0013,0.0001,0.0014,0.001,0.0015
M3 PE,0.0118,,mg/L,24.4,0.0004,0.0017,-0.0003,0.0016,0.0021,0.0013
M4 PE,0.0105,,mg/L,45.5,0.0007,0.0015,-0.0002,0.0022,0.0008,0.0015
PATRON,1.0146,,mg/L,0.5,0.0007,0.1389,-0.001,0.139,0.1382,0.1396
P KCA PE,0.0122,,mg/L,29.8,0.0005,0.0017,-0.0003,0.0012,0.0018,0.0022
PATRON,1.0114,,mg/L,0.2,0.0003,0.1385,-0.0014,0.1382,0.1387,0.1386
BLANCO,0.0006,,mg/L,>100,0.0002,0.0001,-0.0023,0.0001,-0.0001,0.0003
BLANCO REACTIVO,0,,mg/L,23.1,0.0002,0.001,-0.0009,0.0008,0.0011,0.0012
ELY 1,0.012,,mg/L,27.1,0.0005,0.0017,0.0001,0.0012,0.0018,0.0021
ELY 2,0.0114,,mg/L,27.9,0.0004,0.0016,-0.0001,0.0012,0.0021,0.0015
ELY 3,0.008,,mg/L,29.2,0.0003,0.0011,0.0001,0.0015,0.0009,0.001
ELY 4,0.0009,,mg/L,>100,0.0004,0.0001,-0.0003,-0.0003,0.0006,0.0001
PATRON,1.0135,,mg/L,0.8,0.0011,0.1388,-0.0012,0.1401,0.138,0.1383
ELY P,0.0079,,mg/L,13.6,0.0002,0.0011,-0.0001,0.001,0.0013,0.0011
PATRON,1.0173,,mg/L,0.5,0.0007,0.1393,-0.001,0.1392,0.1386,0.14
BLANCO,-0.0015,,mg/L,>100,0.0003,-0.0002,-0.0021,-0.0001,-0.0005,0
BLANCO REACTIVO,0,,mg/L,38,0.0002,0.0006,-0.0009,0.0006,0.0004,0.0008
