PATRON,5.0206,,mg/L,0.6,0.1019,0.1023,0.1022,0.1012
BLANCO,-0.0054,,mg/L,85.4,-0.0001,0,-0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,>100,0,0,-0.0001,0.0001
H,1.7757,,mg/L,0.7,0.0363,0.0361,0.0362,0.0366
C1,1.7867,,mg/L,0.3,0.0365,0.0365,0.0366,0.0364
C2,1.8364,,mg/L,0.5,0.0375,0.0373,0.0376,0.0376
PATRON,5.0337,,mg/L,0.5,0.1022,0.102,0.1017,0.1028
BLANCO,-0.0038,,mg/L,87.7,-0.0001,-0.0001,0,-0.0001
BLANCO REACTIVO,0,,mg/L,55.9,-0.0001,0,-0.0002,-0.0001
C3,1.7982,,mg/L,0.5,0.0367,0.0365,0.0368,0.0368
C4,1.7989,,mg/L,0.2,0.0367,0.0368,0.0367,0.0367
T,1.7765,,mg/L,0.3,0.0363,0.0362,0.0363,0.0364
PATRON,5.0659,,mg/L,0.2,0.1028,0.1026,0.103,0.1029
BLANCO,0.0042,,mg/L,>100,0.0001,0.0001,0.0002,0
BLANCO REACTIVO,0,,mg/L,41.4,-0.0002,-0.0002,-0.0002,-0.0001
ELY1,1.7678,,mg/L,0.8,0.0361,0.0358,0.0362,0.0363
ELY2,1.7267,,mg/L,0.8,0.0353,0.0354,0.0355,0.035
ELY3,1.69,,mg/L,0.1,0.0345,0.0345,0.0346,0.0345
PATRON,4.9913,,mg/L,0.1,0.1013,0.1015,0.1012,0.1012
BLANCO,0.0012,,mg/L,>100,0,0,0.0001,0
BLANCO REACTIVO,0,,mg/L,>100,0.0001,0,0.0002,0
ELY4,1.6283,,mg/L,0.4,0.0333,0.0334,0.0331,0.0333
ELY5,1.6377,,mg/L,0.9,0.0335,0.0333,0.0338,0.0333
PATRON,4.9656,,mg/L,0.4,0.1008,0.1011,0.101,0.1003
BLANCO,-0.0039,,mg/L,>100,-0.0001,-0.0002,0,-0.0001
BLANCO REACTIVO,0,,mg/L,>100,0,0.0002,-0.0001,-0.0002
