Analista,JGS,,,,,,,,
Fecha de inicio,04/03/2023 12:33 a. m.  GMT: 04/03/2023 06:33 a. m.,,,,,,,,
Hoja de trabajo,SA000549-RE_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.0112,,mg/L,2.5,0.0974,0.0984,0.0991,0.0947
,BLANCO,0.0058,,mg/L,54.1,0.0006,0.0007,0.0008,0.0002
,BLANCO REACTIVO,0,,mg/L,19.3,0.0004,0.0004,0.0003,0.0005
,SA000521-025,1.1164,,mg/L,7.9,0.0044,0.004,0.0046,0.0045
,SA000521-026,2.0594,,mg/L,4.1,0.0081,0.0077,0.0081,0.0084
,SA000521-027,2.3311,,mg/L,6,0.0092,0.0086,0.0097,0.0092
,SA000521-028,15.9892,,mg/L,2,0.0621,0.0615,0.0635,0.0613
,SA000521-029,2.596,,mg/L,5.5,0.0102,0.0103,0.0107,0.0096
,PATRON,0.9961,,mg/L,3.3,0.096,0.0978,0.0923,0.0979
,SA000521-030,1.8738,,mg/L,3.9,0.0074,0.0076,0.007,0.0074
,SA000521-031,1.9264,,mg/L,5.2,0.0076,0.0071,0.0077,0.0079
,PATRON,1.0159,,mg/L,2.6,0.0978,0.095,0.0993,0.0993
,BLANCO,-0.0017,,mg/L,>100,-0.0002,0.0002,-0.0007,0.0001
,BLANCO REACTIVO,0,,mg/L,>100,0.0002,0.0002,0,0.0005
