PATRON,4.9104,,mg/L,0.9,0.0005,0.0512,0.0008,1,1,1,0.0517,0.0513,0.0507
BLANCO,-0.0719,,mg/L,26,0.0002,-0.0008,0.0002,1,1,1,-0.0009,-0.0008,-0.0005
BLANCO REACTIVO,0,,mg/L,26.3,0.0002,-0.0009,0.0002,1,1,1,-0.0011,-0.0006,-0.0008
FASE 1,0.0165,,mg/L,>100,0.0004,0.0002,0.001,1,1,1,0.0006,0,-0.0001
FASE 2,0.0818,,mg/L,21.7,0.0002,0.0009,0.0005,1,1,1,0.0011,0.0009,0.0007
FASE 3,0.0547,,mg/L,45.5,0.0003,0.0006,0.0011,1,1,1,0.0007,0.0003,0.0008
VSP NORTE,0.1126,,mg/L,71.3,0.0009,0.0012,0.0007,1,1,1,0.0008,0.0022,0.0006
CELDA 8.1,0.0814,,mg/L,32.1,0.0003,0.0009,0.0009,1,1,1,0.0008,0.0012,0.0007
CELDA 8.2,0.0885,,mg/L,49.8,0.0005,0.0009,0.0008,1,1,1,0.0014,0.001,0.0004
PATRON,5.0146,,mg/L,1.2,0.0006,0.0523,0.0013,1,1,1,0.0516,0.0529,0.0524
BLANCO,0.0355,,mg/L,63.5,0.0002,0.0004,-0.0004,1,1,1,0.0006,0.0003,0.0002
BLANCO REACTIVO,0,,mg/L,>100,0.0003,-0.0001,-0.0003,1,1,1,-0.0001,-0.0004,0.0002
