Analista,GGP,,,,,,,,,,,,
Fecha de inicio,07/09/2024 12:59 a. m.  GMT: 07/09/2024 06:59 a. m.,,,,,,,,,,,,
Hoja de trabajo,SA005407_6,,,,,,,,,,,,
Comentario,,,,,,,,,,,,,
Métodos,Ag,,,,,,,,,,,,
,,,,,,,,,,,,,
Peso nominal,1,Volumen nominal,1,Nominal Dilution,1,,,,,,,,
Método: Ag VHAAAg (Llama),,,,,,,,,,,,,
,,,,,,,,,,,,,
,PATRON,0.9895,,mg/L,0.3,0.1317,0.0003,,,,0.1318,0.1313,0.1321
,BLANCO,0.0017,,mg/L,>100,0.0002,-0.0002,,,,0.0003,-0.0004,0.0008
,BLANCO REACTIVO,0,,mg/L,43.8,0.0005,-0.0004,,,,0.0007,0.0003,0.0004
,SA005407-001,12.8299,,mg/L,0.9,0.0704,0.0062,2,5,,0.0705,0.0698,0.071
,SA005407-002,13.1129,,mg/L,0.4,0.0719,0.0068,2,5,,0.0717,0.0723,0.0718
,SA005407-003,5.4002,,mg/L,1.2,0.0302,0.0062,2,5,,0.03,0.0306,0.0299
,SA005407-004,6.1061,,mg/L,0.7,0.034,0.0053,2,5,,0.0343,0.0339,0.0338
,SA005407-005,3.4063,,mg/L,0.5,0.0193,0.0057,2.02,5,,0.0193,0.0194,0.0192
,PATRON,1.0155,,mg/L,0.4,0.135,-0.0007,,,,0.1354,0.1344,0.1353
,SA005407-006,10.3437,,mg/L,0.4,0.0575,0.0072,2.02,5,,0.0577,0.0573,0.0575
,SA005407-007,2.8455,,mg/L,1.3,0.0161,0.0046,2.03,5,,0.0161,0.016,0.0164
,SA005407-008,0.0704,,mg/L,59.9,0.0004,0.0007,2.03,5,,0.0002,0.0007,0.0003
,SA005407-009,46.0498,,mg/L,0.7,0.2335,0.0087,2,5,,0.2334,0.2319,0.2352
,SA005407-010,41.3252,,mg/L,0.5,0.2122,0.0082,2,5,,0.2133,0.211,0.2124
,PATRON,0.9949,,mg/L,0.5,0.1324,-0.0004,,,,0.1322,0.1332,0.1318
,BLANCO,0.0008,,mg/L,>100,0.0001,-0.0012,,,,0.0004,0.0002,-0.0003
,BLANCO REACTIVO,0,,mg/L,66.1,0.0005,-0.0004,,,,0.0003,0.0003,0.0009
,SA005407-011,5.9996,,mg/L,1,0.0337,0.0058,2.02,5,,0.0341,0.0336,0.0334
,SA005407-012,2.4332,,mg/L,1.7,0.0138,0.006,2.03,5,,0.0141,0.0137,0.0137
,SA005407-013,7.2006,,mg/L,0.5,0.0405,0.0053,2.03,5,,0.0404,0.0403,0.0408
,SA005407-014,0.0078,,mg/L,>100,0,-0.0005,,5,,-0.0003,0.0001,0.0003
,SA005407-015,2.8819,,mg/L,1.7,0.0163,0.0052,2.02,5,,0.0165,0.016,0.0164
,PATRON,1.0064,,mg/L,0.6,0.1338,0.0002,,,,0.1336,0.1348,0.1331
,SA005407-016,3.6674,,mg/L,1.6,0.0206,0.0084,2.01,5,,0.0202,0.0206,0.0209
,SA005407-017,-0.011,,mg/L,>100,-0.0001,0.0064,2.02,5,,0.0001,-0.0008,0.0005
,SA005407-018,4.3973,,mg/L,0.9,0.0248,0.0045,2.02,5,,0.0247,0.0251,0.0247
,SA005407-019,9.6264,,mg/L,0.6,0.0539,0.0066,2.03,5,,0.0537,0.0542,0.0536
,SA005407-020,10.2875,,mg/L,1.1,0.0571,0.0061,2.01,5,,0.057,0.0565,0.0578
,PATRON,1.0108,,mg/L,0.9,0.1344,-0.0002,,,,0.135,0.1352,0.133
,BLANCO,0.0006,,mg/L,>100,0.0001,-0.001,,,,0.0003,-0.0006,0.0005
,BLANCO REACTIVO,0,,mg/L,18.5,0.0009,-0.0008,,,,0.0007,0.0009,0.001
,SA005407-021,3.8503,,mg/L,1.5,0.0215,0.0043,1.99,5,,0.0217,0.0215,0.0211
,SA005407-022,0.4638,,mg/L,13.1,0.0027,0.0023,2,5,,0.0031,0.0024,0.0025
,SA005407-023,2.0077,,mg/L,3.3,0.0115,0.003,2.03,5,,0.0111,0.0119,0.0114
,SA005407-024,2.0113,,mg/L,2.7,0.0114,0.0029,2.02,5,,0.0117,0.0111,0.0115
,SA005407-025,4.5617,,mg/L,2.2,0.0255,0.0036,2.01,5,,0.0256,0.0261,0.0249
,PATRON,1.0203,,mg/L,0.6,0.1356,-0.0007,,,,0.1364,0.1354,0.135
,SA005407-026,0.7322,,mg/L,8.7,0.0041,0.0054,2.01,5,,0.0043,0.0037,0.0043
,SA005407-027,2.4816,,mg/L,1.4,0.014,0.0066,2.01,5,,0.0142,0.0141,0.0138
,SA005407-028,23.2255,,mg/L,0.2,0.1266,0.0063,2.04,5,,0.1267,0.1263,0.1269
,SA005407-029,48.2908,,mg/L,1.1,0.2459,0.0093,2.02,5,,0.2488,0.2454,0.2435
,SA005407-030,19.6869,,mg/L,1,0.1074,0.0067,2.02,5,,0.1087,0.107,0.1065
,PATRON,1.0064,,mg/L,1.3,0.1339,-0.0007,,,,0.135,0.1318,0.1347
,BLANCO,-0.0038,,mg/L,12.3,-0.0005,-0.0012,,,,-0.0005,-0.0005,-0.0006
,BLANCO REACTIVO,0,,mg/L,12.3,0.0004,-0.0005,,,,0.0004,0.0005,0.0004
,SA005407-031,7.3873,,mg/L,0.5,0.0409,0.0072,2,5,,0.0407,0.0411,0.041
,SA005407-032,16.6792,,mg/L,0.8,0.091,0.0069,2.01,5,,0.0917,0.0904,0.0908
,PATRON,1.0147,,mg/L,0.4,0.1349,-0.0002,,,,0.1346,0.1345,0.1356
,BLANCO,-0.0037,,mg/L,13.9,-0.0005,-0.0006,,,,-0.0005,-0.0004,-0.0006
,BLANCO REACTIVO,0,,mg/L,>100,-0.0003,0,,,,-0.0004,-0.0006,0
