PATRON,4.9061,,mg/L,0.3,0.0526,0.0528,0.0525,0.0525
BLANCO,0.0436,,mg/L,52,0.0005,0.0004,0.0003,0.0007
BLANCO REACTIVO,0,,mg/L,5.6,-0.001,-0.0011,-0.001,-0.001
FASE 1,0.0205,,mg/L,32.8,0.0002,0.0003,0.0003,0.0001
FASE 2,0.0311,,mg/L,27.1,0.0003,0.0004,0.0003,0.0002
FASE 3,0.0267,,mg/L,25.3,0.0003,0.0004,0.0002,0.0003
VSP NORTE,0.0442,,mg/L,16.7,0.0005,0.0004,0.0005,0.0006
CELDA 8.1,0.0763,,mg/L,4.4,0.0008,0.0008,0.0008,0.0009
CELDA 8.2,0.0835,,mg/L,12.3,0.0009,0.001,0.0008,0.0009
CELDA 8.3,0.1111,,mg/L,5.2,0.0012,0.0011,0.0013,0.0012
PATRON,5.071,,mg/L,0.9,0.0544,0.0548,0.0545,0.0538
BLANCO,0.0482,,mg/L,31.8,0.0005,0.0006,0.0006,0.0003
BLANCO REACTIVO,0,,mg/L,14,0.0004,0.0004,0.0003,0.0004
