Analista,,,,,,,,,
Fecha de inicio,11/03/2023 03:11 a. m.  GMT: 11/03/2023 09:11 a. m.,,,,,,,,
Hoja de trabajo,SA000643-RE_6,,,,,,,,
Comentario,,,,,,,,,
Métodos,Ag,,,,,,,,
,,,,,,,,,
Método: Ag HCL (Llama),,,,,,,,,
,,,,,,,,,
,PATRON,1.0077,,mg/L,0.5,0.1153,0.1156,0.1157,0.1147
,BLANCO,0.0001,,mg/L,>100,0,0.0001,0,0
,BLANCO REACTIVO,0,,mg/L,>100,-0.0001,-0.0003,0.0003,-0.0002
,SA000605-001,4.5499,,mg/L,0.4,0.0208,0.0207,0.0208,0.0209
,SA000605-002,5.1208,,mg/L,0.6,0.0234,0.0234,0.0236,0.0233
,SA000605-006,3.3464,,mg/L,0.9,0.0153,0.0152,0.0153,0.0155
,SA000605-007,8.2571,,mg/L,0.5,0.0377,0.0376,0.0377,0.0379
,SA000606-028,1.3588,,mg/L,1,0.0062,0.0062,0.0062,0.0061
,PATRON,0.984,,mg/L,0.1,0.1127,0.1125,0.1127,0.1127
,SA000606-029,2.0691,,mg/L,1.1,0.0094,0.0095,0.0093,0.0095
,SA000606-030,1.4386,,mg/L,1.3,0.0065,0.0066,0.0066,0.0065
,SA000606-031,-0.0015,,mg/L,>100,-0.0001,0,0,-0.0002
,SA000606-032,1.3737,,mg/L,0.3,0.0062,0.0063,0.0062,0.0062
,PATRON,0.991,,mg/L,1,0.1105,0.1117,0.1096,0.1102
,BLANCO,-0.0001,,mg/L,>100,0,0,0,-0.0001
,BLANCO REACTIVO,0,,mg/L,55.7,-0.0001,-0.0002,-0.0001,-0.0001
