Analista,,,,,,,,,,
Fecha de inicio,22/12/2023 07:21 a. m.  GMT: 22/12/2023 01:21 p. m.,,,,,,,,,
Hoja de trabajo,SA002766-RE_3,,,,,,,,,
Comentario,,,,,,,,,,
Métodos,Au,,,,,,,,,
,,,,,,,,,,
Método: Au EFAA30 (Llama),,,,,,,,,,
,,,,,,,,,,
,PATRON,0.4899,,mg/L,1.8,0.0156,0.0008,0.0153,0.0157,0.0158
,BLANCO,-0.0091,,mg/L,>100,-0.0003,0.0007,-0.0006,-0.0003,0
,BLANCO REACTIVO,0,,mg/L,21.2,-0.0003,0.0003,-0.0002,-0.0003,-0.0003
,SA002760-020,0.1394,,mg/L,1.3,0.0127,0.0003,0.0128,0.0128,0.0125
,SA002760-021,0.161,,mg/L,1.5,0.0147,0.0004,0.0145,0.0147,0.0149
,SA002760-022,0.2015,,mg/L,0.7,0.0184,0.0005,0.0184,0.0182,0.0184
,SA002760-023,0.156,,mg/L,0.7,0.0142,0.0007,0.0141,0.0143,0.0142
,SA002760-024,0.104,,mg/L,0.5,0.0095,0.0006,0.0095,0.0096,0.0095
,PATRON,0.493,,mg/L,1.3,0.015,0.0015,0.0152,0.0148,0.0149
,SA002760-025,0.0852,,mg/L,2.6,0.0078,0.0008,0.0078,0.008,0.0076
,SA002760-026,0.1482,,mg/L,2,0.0135,0.0009,0.0137,0.0132,0.0136
,SA002761-001,0.1131,,mg/L,2.5,0.0098,0.0009,0.0097,0.0096,0.0101
,SA002761-002,0.1104,,mg/L,4.4,0.0096,0.001,0.0101,0.0094,0.0093
,SA002761-003,0.0942,,mg/L,3.3,0.0082,0.001,0.008,0.0081,0.0085
,PATRON,0.4839,,mg/L,1.8,0.0147,0.0016,0.015,0.0145,0.0146
,BLANCO,-0.0024,,mg/L,>100,-0.0001,0.0007,0.0004,-0.0006,0
,BLANCO REACTIVO,0,,mg/L,32.8,-0.0007,0.0008,-0.0007,-0.0004,-0.0009
,SA002761-004,0.1152,,mg/L,4.6,0.01,0.0011,0.01,0.0096,0.0105
,SA002761-005,0.235,,mg/L,0.2,0.0204,0.0007,0.0203,0.0203,0.0204
,SA002761-006,0.1907,,mg/L,0.5,0.0165,0.0004,0.0165,0.0166,0.0164
,PATRON,0.4938,,mg/L,1.6,0.015,0.0015,0.0147,0.015,0.0152
,BLANCO,0.0101,,mg/L,92.9,0.0003,0.0002,0,0.0004,0.0005
,BLANCO REACTIVO,0,,mg/L,97.9,-0.0003,0.0001,-0.0004,-0.0005,0
