PATRON,4.8682,,mg/L,0.5,0.0504,1,1,1,0.0501,0.0505,0.0505
BLANCO,0.0676,,mg/L,14,0.0007,1,1,1,0.0007,0.0006,0.0008
BLANCO REACTIVO,0,,mg/L,45.3,0.0004,1,1,1,0.0006,0.0005,0.0002
FASE 1,0.0198,,mg/L,25.9,0.0002,1,1,1,0.0002,0.0003,0.0002
PATRON,4.8735,,mg/L,1,0.0504,1,1,1,0.0498,0.0507,0.0507
FASE 2,0.0191,,mg/L,27.7,0.0002,1,1,1,0.0002,0.0001,0.0002
FASE 3,0.0143,,mg/L,46.6,0.0001,1,1,1,0.0001,0.0001,0.0002
PATRON,4.8741,,mg/L,0.9,0.0508,1,1,1,0.0509,0.0503,0.0512
BLANCO,0.1217,,mg/L,9.4,0.0013,1,1,1,0.0013,0.0012,0.0014
BLANCO REACTIVO,0,,mg/L,1.5,0.0015,1,1,1,0.0015,0.0015,0.0016
VSP NORTE,0.0412,,mg/L,19.2,0.0004,1,1,1,0.0004,0.0004,0.0005
CELDA 8.1,0.0393,,mg/L,18.3,0.0004,1,1,1,0.0004,0.0005,0.0004
CELDA 8.2,0.0455,,mg/L,5.6,0.0005,1,1,1,0.0005,0.0005,0.0005
CELDA 8.3,0.4464,,mg/L,2.1,0.0047,1,1,1,0.0048,0.0048,0.0046
PATRON,4.8802,,mg/L,1.5,0.0509,1,1,1,0.0503,0.0518,0.0506
BLANCO,0.0017,,mg/L,>100,0,1,1,1,0.0001,0.0001,-0.0001
BLANCO REACTIVO,0,,mg/L,10.7,0.0015,1,1,1,0.0017,0.0014,0.0014
