PATRON,5.1203,,mg/L,0.3,0.0535,0.0533,0.0536,0.0535
BLANCO,-0.0075,,mg/L,>100,-0.0001,-0.0001,-0.0002,0
BLANCO REACTIVO,0,,mg/L,13.2,-0.0011,-0.0009,-0.0012,-0.0012
FASE 1,0.0067,,mg/L,30,0.0001,0.0001,0.0001,0
FASE 2,0.0102,,mg/L,>100,0.0001,0.0001,-0.0002,0.0004
FASE 3,0.0175,,mg/L,43.8,0.0002,0.0003,0.0001,0.0002
VSP NORTE,0.0182,,mg/L,31.1,0.0002,0.0003,0.0001,0.0002
CELDA 8.1,0.0192,,mg/L,59.9,0.0002,0.0003,0.0003,0.0001
CELDA 8.2,0.0066,,mg/L,>100,0.0001,0.0002,0,0
CELDA 8.3,0.5959,,mg/L,2.5,0.0063,0.0063,0.0062,0.0065
PATRON,5.0954,,mg/L,1.5,0.0532,0.0524,0.0533,0.054
BLANCO,0.0069,,mg/L,40.8,0.0001,0.0001,0,0.0001
BLANCO REACTIVO,0,,mg/L,1.2,-0.0016,-0.0016,-0.0016,-0.0016
