PATRON,1.0093,,mg/L,2.2,0.0004,0.0207,0.0211,0.0207,0.0203
BLANCO,-0.0032,,mg/L,61.9,0,-0.0001,0,0,-0.0001
BLANCO REACTIVO,0,,mg/L,>100,0.0001,-0.0001,-0.0003,-0.0001,0
H,0.0843,,mg/L,0.4,0,0.0017,0.0017,0.0017,0.0017
C1,0.0847,,mg/L,4.9,0.0001,0.0017,0.0018,0.0017,0.0017
C2,0.0827,,mg/L,1,0,0.0017,0.0017,0.0017,0.0017
PATRON,1.0073,,mg/L,1.6,0.0003,0.0207,0.0203,0.021,0.0207
BLANCO,-0.0023,,mg/L,71.3,0,0,-0.0001,-0.0001,0
BLANCO REACTIVO,0,,mg/L,4.1,0,-0.0006,-0.0007,-0.0006,-0.0006
C3,0.1023,,mg/L,2.9,0.0001,0.0021,0.0022,0.002,0.0021
C4,0.0963,,mg/L,3.8,0.0001,0.002,0.0019,0.002,0.002
T,0.0845,,mg/L,0.9,0,0.0017,0.0017,0.0017,0.0018
PATRON,1.008,,mg/L,2.5,0.0005,0.0207,0.0211,0.0208,0.0201
BLANCO,-0.0071,,mg/L,28.6,0,-0.0001,-0.0002,-0.0001,-0.0002
BLANCO REACTIVO,0,,mg/L,5.9,0.0001,-0.0009,-0.0009,-0.0009,-0.001
DP1,0.0721,,mg/L,8.2,0.0001,0.0015,0.0013,0.0015,0.0016
DP2,0.1385,,mg/L,1.9,0.0001,0.0028,0.0029,0.0029,0.0028
DP3,0.0165,,mg/L,18.3,0.0001,0.0003,0.0004,0.0003,0.0003
PATRON,0.9981,,mg/L,2.1,0.0004,0.0205,0.0201,0.0204,0.021
BLANCO,0.001,,mg/L,>100,0.0001,0,0,0,0.0001
BLANCO REACTIVO,0,,mg/L,3.1,0.0001,-0.0019,-0.0019,-0.0019,-0.0018
DP4,0.0948,,mg/L,1.7,0,0.0019,0.002,0.0019,0.002
DP5,0.0406,,mg/L,4.3,0,0.0008,0.0008,0.0008,0.0009
DP6,0.1993,,mg/L,1.8,0.0001,0.0041,0.0042,0.0041,0.004
PATRON,1.0074,,mg/L,2.8,0.0006,0.0207,0.021,0.021,0.02
BLANCO,-0.007,,mg/L,77.2,0.0001,-0.0001,0,-0.0002,-0.0002
BLANCO REACTIVO,0,,mg/L,2.5,0.0001,-0.0024,-0.0023,-0.0023,-0.0024
ELY1,0.0701,,mg/L,5.9,0.0001,0.0014,0.0014,0.0015,0.0014
ELY2,0.0786,,mg/L,4.7,0.0001,0.0016,0.0017,0.0016,0.0015
ELY3,0.0609,,mg/L,2.4,0,0.0013,0.0012,0.0013,0.0012
PATRON,1.0071,,mg/L,3.2,0.0007,0.0207,0.0213,0.0207,0.02
BLANCO,-0.0033,,mg/L,65.9,0,-0.0001,-0.0001,0,-0.0001
BLANCO REACTIVO,0,,mg/L,3.3,0.0001,-0.0025,-0.0024,-0.0026,-0.0024
ELY4,0.0526,,mg/L,2.6,0,0.0011,0.0011,0.0011,0.0011
ELY5,0.0498,,mg/L,3.7,0,0.001,0.001,0.001,0.001
PATRON,1.0009,,mg/L,3.6,0.0007,0.0205,0.0213,0.0205,0.0198
BLANCO,-0.0036,,mg/L,64.1,0,-0.0001,-0.0001,0,-0.0001
BLANCO REACTIVO,0,,mg/L,3.6,0.0001,-0.0026,-0.0025,-0.0026,-0.0027
